Orthogroup	sacCer_protein	BG2_protein
OG0000417	NP_012195.1, NP_010997.3	QNG15006.1
OG0000418	NP_014425.3, NP_009995.1	QNG15019.1
OG0000419	NP_015185.1, NP_014874.1	QNG15032.1
OG0000420	NP_015191.1, NP_014865.1	QNG15045.1
OG0000421	NP_014243.3, NP_012001.1	QNG15124.1
OG0000422	NP_012007.1, NP_014239.1	QNG15130.1
OG0000423	NP_010843.1, NP_010103.1	QNG15143.1
OG0000424	NP_010100.1, NP_010152.1	QNG15147.1
OG0000425	NP_013998.1, NP_013601.1	QNG15156.1
OG0000426	NP_015033.1, NP_014125.1	QNG15232.1
OG0000427	NP_013288.1, NP_014121.1	QNG15235.1
OG0000428	NP_014312.1, NP_014729.1	QNG15244.1
OG0000429	NP_010145.1, NP_010090.1	QNG15266.1
OG0000430	NP_012152.3, NP_014343.1	QNG15302.1
OG0000431	NP_014340.1, NP_012149.1	QNG15310.1
OG0000432	NP_012135.1, NP_014331.3	QNG15312.1
OG0000433	NP_012133.1, NP_014330.1	QNG15313.1
OG0000434	NP_010598.3, NP_011933.1	QNG15346.1
OG0000435	NP_014226.1, NP_012016.1	QNG15357.1
OG0000436	NP_011112.3, NP_011729.1	QNG15420.1
OG0000437	NP_011725.3, NP_013144.1	QNG15424.1
OG0000438	NP_014585.1, NP_010263.1	QNG15464.1
OG0000439	NP_011057.1, NP_011326.1	QNG15482.1
OG0000440	NP_011336.3, NP_011055.3	QNG15484.1
OG0000441	NP_013820.1, NP_012801.1	QNG15537.1
OG0000442	NP_012790.1, NP_013831.1	QNG15546.1
OG0000443	NP_012789.2, NP_013833.1	QNG15548.1
OG0000444	NP_013843.1, NP_013131.1	QNG15553.1
OG0000445	NP_011552.1, NP_013454.1	QNG15572.1
OG0000446	NP_011384.1, NP_015356.1	QNG15620.1
OG0000447	NP_015357.1, NP_009444.2	QNG15621.1
OG0000448	NP_013017.2, NP_014726.1	QNG15638.1
OG0000449	NP_009907.2, NP_010795.3	QNG15641.1
OG0000450	NP_009895.1, NP_010801.1	QNG15646.1
OG0000451	NP_013688.1, NP_010735.3	QNG15658.1
OG0000452	NP_011870.1, NP_010751.4	QNG15671.1
OG0000453	NP_011874.1, NP_010759.1	QNG15678.1
OG0000454	NP_009773.1, NP_011459.2	QNG15683.1
OG0000455	NP_011455.1, NP_009775.3	QNG15685.1
OG0000456	NP_009778.3, NP_009779.3	QNG15688.1
OG0000457	NP_009797.1, NP_011408.1	QNG15697.1
OG0000458	NP_014961.3, NP_013970.1	QNG15713.1
OG0000459	NP_014957.2, NP_013969.3	QNG15714.1
OG0000460	NP_012402.1, NP_012978.1	QNG15750.1
OG0000461	NP_015030.3, NP_014047.1	QNG15754.1
OG0000462	NP_012399.1, NP_012983.3	QNG15756.1
OG0000463	NP_009987.2, NP_014162.1	QNG15790.1
OG0000464	NP_014770.1, NP_010667.1	QNG15839.1
OG0000465	NP_013920.1, NP_015074.1	QNG15862.1
OG0000466	NP_013731.1, NP_010530.1	QNG15875.1
OG0000467	NP_009553.1, NP_010510.3	QNG15887.1
OG0000468	NP_010308.3, NP_009604.1	QNG15898.1
OG0000469	NP_013396.1, NP_014828.1	QNG15973.1
OG0000470	NP_010198.1, NP_013865.1	QNG15980.1
OG0000471	NP_013863.2, NP_010200.1	QNG15982.1
OG0000472	NP_012582.1, NP_010875.1	QNG16010.1
OG0000473	NP_011759.1, NP_012032.1	QNG16040.1
OG0000474	NP_010892.1, NP_012565.1	QNG16077.1
OG0000475	NP_010147.1, NP_010093.1	QNG16112.1
OG0000476	NP_012985.3, NP_012397.1	QNG16131.1
OG0000477	NP_009570.1, NP_010274.1	QNG16140.1
OG0000478	NP_009598.1, NP_010301.1	QNG16143.1
OG0000479	NP_011011.3, NP_010936.1	QNG16165.1
OG0000480	NP_013729.1, NP_012881.1	QNG16196.1
OG0000481	NP_011846.1, NP_012885.2	QNG16202.1
OG0000482	NP_009589.1, NP_012886.3	QNG16203.1
OG0000483	NP_010900.1, NP_009955.2	QNG16267.1
OG0000484	NP_010328.3, NP_009622.1	QNG16287.1
OG0000485	NP_010188.1, NP_010190.1	QNG16299.1
OG0000486	NP_010201.1, NP_013862.1	QNG16314.1
OG0000487	NP_012406.1, NP_012976.1	QNG16368.1
OG0000488	NP_015457.1, NP_011633.3	QNG16402.1
OG0000489	NP_010697.3, NP_014799.1	QNG16429.1
OG0000490	NP_014282.1, NP_012297.3	QNG16443.1
OG0000491	NP_011983.1, NP_014283.3	QNG16444.1
OG0000492	NP_012436.1, NP_012952.3	QNG16460.1
OG0000493	NP_010988.1, NP_116585.1	QNG16505.1
OG0000494	NP_015334.1, NP_011353.1	QNG16538.1
OG0000495	NP_010559.3, NP_014685.1	QNG16558.1
OG0000496	NP_010563.3, NP_014690.1	QNG16563.1
OG0000497	NP_013004.3, NP_014712.2	QNG16579.1
OG0000498	NP_013934.1, NP_014413.1	QNG16593.1
OG0000499	NP_013646.1, NP_013547.3	QNG16615.1
OG0000500	NP_013641.1, NP_116602.1	QNG16620.1
OG0000501	NP_013553.1, NP_013638.1	QNG16623.1
OG0000502	NP_013555.1, NP_013636.1	QNG16625.1
OG0000503	NP_010381.1, NP_011096.1	QNG16641.1
OG0000504	NP_013193.1, NP_009853.3	QNG16662.1
OG0000505	NP_015293.1, NP_010537.3	QNG16666.1
OG0000506	NP_015288.1, NP_010538.1	QNG16668.1
OG0000507	NP_010539.1, NP_015287.1	QNG16669.1
OG0000508	NP_013744.1, NP_012874.1	QNG16685.1
OG0000509	NP_013181.1, NP_116606.1	QNG16700.1
OG0000510	NP_013546.1, NP_013648.1	QNG16739.1
OG0000511	NP_014877.3, NP_015182.1	QNG16813.1
OG0000512	NP_011730.1, NP_013149.1	QNG16828.1
OG0000513	NP_012451.1, NP_012946.3	QNG16841.1
OG0000514	NP_012944.3, NP_012452.1	QNG16842.1
OG0000515	NP_014529.1, NP_014106.1	QNG16864.1
OG0000516	NP_014528.1, NP_014101.1	QNG16868.1
OG0000517	NP_013234.1, NP_010431.3	QNG16897.1
OG0000518	NP_013245.1, NP_014465.1	QNG16906.1
OG0000519	NP_013957.1, NP_014936.1	QNG16920.1
OG0000520	NP_013960.1, NP_014938.3	QNG16923.1
OG0000521	NP_013964.1, NP_014943.1	QNG16927.1
OG0000522	NP_009764.3, NP_009758.3	QNG16946.1
OG0000523	NP_012396.1, NP_012987.3	QNG16962.1
OG0000524	NP_014461.3, NP_012990.1	QNG16965.1
OG0000525	NP_015219.1, NP_009728.1	QNG16973.1
OG0000526	NP_009736.3, NP_015230.1	QNG16980.1
OG0000527	NP_015246.1, NP_009750.1	QNG16993.1
OG0000528	NP_012354.1, NP_012564.3	QNG17059.1
OG0000529	NP_012741.1, NP_012358.1	QNG17061.1
OG0000530	NP_009854.2, NP_010556.1	QNG17081.1
OG0000531	NP_014677.1, NP_010550.1	QNG17086.1
OG0000532	NP_012624.1, NP_015367.1	QNG17103.1
OG0000533	NP_009449.1, NP_015355.1	QNG17117.1
OG0000534	NP_011862.1, NP_012920.1	QNG17155.1
OG0000535	NP_009559.1, NP_010286.3	QNG17163.1
OG0000536	NP_009978.1, NP_014416.1	QNG17169.1
OG0000537	NP_009993.1, NP_014423.1	QNG17175.1
OG0000538	NP_014428.1, NP_009998.2	QNG17179.1
OG0000539	NP_009349.3, NP_015008.3	QNG17245.1
OG0000540	NP_015010.1, NP_009348.2	QNG17246.1
OG0000541	NP_010980.1, NP_012214.3	QNG17247.1
OG0000542	NP_012212.1, NP_010977.2	QNG17250.1
OG0000543	NP_011004.3, NP_012191.1	QNG17267.1
OG0000544	NP_013754.1, NP_012858.2	QNG17286.1
OG0000545	NP_011772.3, NP_012053.3	QNG17290.1
OG0000556	NP_011492.3	QNG12110.1
OG0000557	NP_011493.1	QNG12111.1
OG0000558	NP_011495.1	QNG12113.1
OG0000559	NP_011496.3	QNG12114.1
OG0000560	NP_011497.1	QNG12115.1
OG0000561	NP_011498.1	QNG12116.1
OG0000562	NP_011505.1	QNG12117.1
OG0000563	NP_011506.1	QNG12118.1
OG0000564	NP_011499.1	QNG12119.1
OG0000565	NP_011504.3	QNG12120.1
OG0000566	NP_011503.1	QNG12121.1
OG0000567	NP_011501.1	QNG12123.1
OG0000568	NP_011509.1	QNG12125.1
OG0000569	NP_011510.1	QNG12126.1
OG0000570	NP_011511.3	QNG12127.1
OG0000571	NP_011512.1	QNG12129.1
OG0000572	NP_009399.2	QNG12136.1
OG0000573	NP_009400.1	QNG12137.1
OG0000574	NP_013420.2	QNG12139.1
OG0000575	NP_013422.2	QNG12140.1
OG0000576	NP_013423.1	QNG12141.1
OG0000577	NP_013424.1	QNG12142.1
OG0000578	NP_013427.1	QNG12143.1
OG0000579	NP_013429.1	QNG12145.1
OG0000580	NP_013430.1	QNG12146.1
OG0000581	NP_015061.1	QNG12148.1
OG0000582	NP_015060.1	QNG12149.1
OG0000583	NP_015051.1	QNG12150.1
OG0000584	NP_015052.1	QNG12151.1
OG0000585	NP_015053.2	QNG12152.1
OG0000586	NP_015054.1	QNG12153.1
OG0000587	NP_015055.1	QNG12154.1
OG0000588	NP_015058.1	QNG12156.1
OG0000589	NP_010022.1	QNG12158.1
OG0000590	NP_011489.1	QNG12163.1
OG0000591	NP_011488.1	QNG12164.1
OG0000592	NP_011485.1	QNG12166.1
OG0000593	NP_011483.3	QNG12168.1
OG0000594	NP_011482.3	QNG12169.1
OG0000595	NP_011480.1	QNG12170.1
OG0000596	NP_011479.1	QNG12173.1
OG0000597	NP_011478.3	QNG12174.1
OG0000598	NP_011477.1	QNG12175.1
OG0000599	NP_011966.1	QNG12180.1
OG0000600	NP_011967.1	QNG12183.1
OG0000601	NP_014620.1	QNG12184.1
OG0000602	NP_014619.1	QNG12185.1
OG0000603	NP_116672.1	QNG12186.1
OG0000604	NP_014617.1	QNG12187.1
OG0000605	NP_011884.1	QNG12189.1
OG0000606	NP_011883.1	QNG12190.1
OG0000607	NP_011881.1	QNG12191.1
OG0000609	NP_010633.3	QNG12200.1
OG0000610	NP_010634.3	QNG12201.1
OG0000611	NP_010635.1	QNG12202.1
OG0000612	NP_010636.1	QNG12203.1
OG0000613	NP_010637.4	QNG12204.1
OG0000614	NP_010639.1	QNG12206.1
OG0000615	NP_010641.3	QNG12209.1
OG0000616	NP_010643.3	QNG12210.1
OG0000617	NP_010644.1	QNG12211.1
OG0000618	NP_010646.4	QNG12213.1
OG0000619	NP_010648.3	QNG12214.1
OG0000620	NP_010649.1	QNG12215.1
OG0000621	NP_010650.1	QNG12216.1
OG0000622	NP_010651.3	QNG12217.1
OG0000623	NP_014760.3	QNG12218.1
OG0000624	NP_010652.3	QNG12219.1
OG0000625	NP_010655.1	QNG12220.1
OG0000626	NP_010657.3	QNG12222.1
OG0000627	NP_010658.3	QNG12223.1
OG0000628	NP_010659.1	QNG12225.1
OG0000629	NP_010660.1	QNG12226.1
OG0000630	NP_010661.3	QNG12227.1
OG0000631	NP_010662.3	QNG12228.1
OG0000632	NP_010663.1	QNG12230.1
OG0000633	NP_010664.3	QNG12231.1
OG0000634	NP_010665.3	QNG12232.1
OG0000635	NP_010666.2	QNG12233.1
OG0000636	NP_076888.3	QNG12235.1
OG0000637	NP_010668.3	QNG12236.1
OG0000638	NP_010669.1	QNG12237.1
OG0000639	NP_219495.2	QNG12238.1
OG0000640	NP_010670.3	QNG12239.1
OG0000641	NP_010671.4	QNG12240.1
OG0000642	NP_010672.1	QNG12241.1
OG0000643	NP_010674.3	QNG12243.1
OG0000644	NP_011323.3	QNG12245.1
OG0000645	NP_011321.1	QNG12246.1
OG0000646	NP_014390.2	QNG12247.1
OG0000647	NP_013132.1	QNG12251.1
OG0000648	NP_013133.1	QNG12252.1
OG0000649	NP_013134.1	QNG12253.1
OG0000650	NP_013135.1	QNG12254.1
OG0000651	NP_013139.1	QNG12255.1
OG0000652	NP_013140.1	QNG12256.1
OG0000653	NP_013141.1	QNG12257.1
OG0000654	NP_011561.3	QNG12259.1
OG0000655	NP_009700.1	QNG12260.1
OG0000656	NP_009699.2	QNG12261.1
OG0000657	NP_010944.1	QNG12262.1
OG0000658	NP_011309.1	QNG12263.1
OG0000659	NP_011310.1	QNG12264.1
OG0000660	NP_014940.4	QNG12265.1
OG0000661	NP_014941.1	QNG12266.1
OG0000662	NP_014945.3	QNG12267.1
OG0000663	NP_013307.1	QNG12268.1
OG0000664	NP_013306.2	QNG12270.1
OG0000665	NP_013304.1	QNG12271.1
OG0000666	NP_013302.1	QNG12272.1
OG0000667	NP_013301.1	QNG12273.1
OG0000668	NP_013300.2	QNG12274.1
OG0000669	NP_013298.1	QNG12275.1
OG0000670	NP_013297.1	QNG12276.1
OG0000671	NP_013296.1	QNG12277.1
OG0000672	NP_013295.1	QNG12278.1
OG0000673	NP_013294.1	QNG12279.1
OG0000674	NP_013293.1	QNG12280.1
OG0000675	NP_013292.1	QNG12281.1
OG0000676	NP_013291.1	QNG12282.1
OG0000677	NP_009502.1	QNG12284.1
OG0000678	NP_009501.1	QNG12285.1
OG0000679	NP_009498.1	QNG12287.1
OG0000680	NP_009496.2	QNG12289.1
OG0000681	NP_009495.1	QNG12290.1
OG0000682	NP_031358.1	QNG12291.1
OG0000683	NP_009494.1	QNG12292.1
OG0000684	NP_009489.1	QNG12294.1
OG0000685	NP_009487.2	QNG12295.1
OG0000686	NP_660100.1	QNG12297.1
OG0000687	NP_009479.1	QNG12299.1
OG0000688	NP_011036.1	QNG12300.1
OG0000689	NP_009471.1	QNG12301.1
OG0000690	NP_009472.1	QNG12302.1
OG0000691	NP_009473.2	QNG12303.1
OG0000692	NP_009475.1	QNG12304.1
OG0000693	NP_116707.3	QNG12305.1
OG0000694	NP_116708.1	QNG12306.1
OG0000695	NP_116709.3	QNG12307.1
OG0000696	NP_011262.1	QNG12308.1
OG0000697	NP_116710.1	QNG12309.1
OG0000698	NP_001018030.1	QNG12316.1
OG0000699	NP_009870.1	QNG12317.1
OG0000700	NP_009871.2	QNG12318.1
OG0000701	NP_009872.1	QNG12319.1
OG0000702	NP_001018031.2	QNG12320.1
OG0000703	NP_065435.1	QNG12321.1
OG0000704	NP_009874.1	QNG12322.1
OG0000705	NP_009876.1	QNG12324.1
OG0000706	NP_009877.1	QNG12325.1
OG0000707	NP_009878.1	QNG12326.1
OG0000708	NP_009883.1	QNG12331.1
OG0000709	NP_009884.1	QNG12332.1
OG0000710	NP_009886.1	QNG12333.1
OG0000711	NP_009887.1	QNG12334.1
OG0000712	NP_009891.1	QNG12337.1
OG0000713	NP_009892.1	QNG12338.1
OG0000714	NP_009896.2	QNG12340.1
OG0000715	NP_009897.1	QNG12341.1
OG0000716	NP_009898.1	QNG12342.1
OG0000717	NP_009899.1	QNG12343.1
OG0000718	NP_009900.2	QNG12344.1
OG0000719	NP_009901.1	QNG12345.1
OG0000720	NP_009902.2	QNG12346.1
OG0000721	NP_009903.2	QNG12347.1
OG0000722	NP_065436.1	QNG12348.1
OG0000723	NP_013282.1	QNG12353.1
OG0000724	NP_013283.1	QNG12354.1
OG0000725	NP_013287.1	QNG12357.1
OG0000726	NP_014492.1	QNG12360.1
OG0000727	NP_014493.1	QNG12361.1
OG0000728	NP_014496.2	QNG12362.1
OG0000729	NP_014497.1	QNG12363.1
OG0000730	NP_014498.1	QNG12364.1
OG0000731	NP_014069.1	QNG12365.1
OG0000732	NP_014499.2	QNG12366.1
OG0000733	NP_014500.2	QNG12367.1
OG0000734	NP_014501.1	QNG12368.1
OG0000735	NP_010426.1	QNG12369.1
OG0000736	NP_010425.1	QNG12370.1
OG0000737	NP_010424.3	QNG12371.1
OG0000738	NP_010423.4	QNG12372.1
OG0000739	NP_010422.1	QNG12374.1
OG0000740	NP_010421.1	QNG12375.1
OG0000741	NP_010393.3	QNG12377.1
OG0000742	NP_010394.3	QNG12378.1
OG0000743	NP_010395.1	QNG12380.1
OG0000744	NP_010400.1	QNG12381.1
OG0000745	NP_010401.1	QNG12382.1
OG0000746	NP_010402.3	QNG12383.1
OG0000747	NP_010403.3	QNG12384.1
OG0000748	NP_001032575.1	QNG12385.1
OG0000749	NP_010405.3	QNG12386.1
OG0000750	NP_010406.3	QNG12387.1
OG0000751	NP_010408.1	QNG12389.1
OG0000752	NP_010410.3	QNG12390.1
OG0000753	NP_010411.1	QNG12391.1
OG0000754	NP_010413.3	QNG12392.1
OG0000755	NP_010414.3	QNG12393.1
OG0000756	NP_010415.1	QNG12394.1
OG0000757	NP_011740.3	QNG12395.1
OG0000758	NP_011739.1	QNG12396.1
OG0000759	NP_011738.3	QNG12397.1
OG0000760	NP_011736.1	QNG12399.1
OG0000761	NP_011734.3	QNG12400.1
OG0000762	NP_011733.3	QNG12401.1
OG0000763	NP_011732.1	QNG12402.1
OG0000764	NP_011731.3	QNG12403.1
OG0000765	NP_013594.1	QNG12404.1
OG0000766	NP_013593.1	QNG12405.1
OG0000767	NP_013592.1	QNG12406.1
OG0000768	NP_013589.1	QNG12408.1
OG0000769	NP_013587.1	QNG12410.1
OG0000770	NP_013586.1	QNG12411.1
OG0000771	NP_013585.1	QNG12412.1
OG0000772	NP_013583.1	QNG12413.1
OG0000773	NP_013579.1	QNG12416.1
OG0000774	NP_013578.1	QNG12417.1
OG0000775	NP_010519.3	QNG12418.1
OG0000776	NP_010518.1	QNG12419.1
OG0000777	NP_010540.3	QNG12422.1
OG0000778	NP_010541.3	QNG12423.1
OG0000779	NP_013466.1	QNG12425.1
OG0000780	NP_013464.3	QNG12428.1
OG0000781	NP_013463.1	QNG12429.1
OG0000782	NP_013460.1	QNG12432.1
OG0000783	NP_013459.1	QNG12439.1
OG0000784	NP_013458.1	QNG12440.1
OG0000785	NP_013456.1	QNG12442.1
OG0000786	NP_012936.1	QNG12444.1
OG0000787	NP_009842.1	QNG12446.1
OG0000788	NP_009841.1	QNG12447.1
OG0000789	NP_009840.3	QNG12448.1
OG0000790	NP_009839.4	QNG12449.1
OG0000791	NP_009838.1	QNG12450.1
OG0000792	NP_009837.1	QNG12451.1
OG0000793	NP_009835.3	QNG12452.1
OG0000794	NP_009834.4	QNG12453.1
OG0000795	NP_013354.1	QNG12455.1
OG0000796	NP_013352.1	QNG12456.1
OG0000797	NP_009941.2	QNG12459.1
OG0000798	NP_010859.1	QNG12460.1
OG0000799	NP_010858.3	QNG12461.1
OG0000800	NP_010856.1	QNG12462.1
OG0000801	NP_010853.2	QNG12465.1
OG0000802	NP_009930.1	QNG12467.1
OG0000803	NP_012539.1	QNG12468.1
OG0000804	NP_011707.1	QNG12469.1
OG0000805	NP_012540.3	QNG12470.1
OG0000806	NP_012541.1	QNG12471.1
OG0000807	NP_012543.3	QNG12472.1
OG0000808	NP_012544.1	QNG12473.1
OG0000809	NP_012546.4	QNG12476.1
OG0000810	NP_012547.2	QNG12477.1
OG0000811	NP_012548.1	QNG12478.1
OG0000812	NP_012550.1	QNG12481.1
OG0000813	NP_011718.1	QNG12482.1
OG0000814	NP_012551.2	QNG12483.1
OG0000815	NP_012553.3	QNG12484.1
OG0000816	NP_015434.1	QNG12485.1
OG0000817	NP_015435.1	QNG12486.1
OG0000818	NP_015437.1	QNG12488.1
OG0000819	NP_015439.1	QNG12489.1
OG0000820	NP_009586.1	QNG12493.1
OG0000821	NP_009584.1	QNG12494.1
OG0000822	NP_009582.1	QNG12495.1
OG0000823	NP_009581.1	QNG12496.1
OG0000824	NP_009578.1	QNG12499.1
OG0000825	NP_014747.1	QNG12502.1
OG0000826	NP_014746.2	QNG12503.1
OG0000827	NP_014743.1	QNG12505.1
OG0000828	NP_014742.1	QNG12506.1
OG0000829	NP_014291.1	QNG12507.1
OG0000830	NP_014292.3	QNG12508.1
OG0000831	NP_009925.1	QNG12511.1
OG0000832	NP_009923.2	QNG12513.1
OG0000833	NP_009922.2	QNG12514.1
OG0000834	NP_009917.1	QNG12515.1
OG0000835	NP_014394.2	QNG12516.1
OG0000836	NP_976246.1	QNG12517.1
OG0000837	NP_009914.2	QNG12518.1
OG0000838	NP_009913.2	QNG12519.1
OG0000839	NP_013274.1	QNG12522.1
OG0000840	NP_013273.1	QNG12523.1
OG0000841	NP_013271.1	QNG12524.1
OG0000842	NP_013348.1	QNG12525.1
OG0000843	NP_012367.2	QNG12532.1
OG0000844	NP_012363.1	QNG12533.1
OG0000845	NP_012362.1	QNG12534.1
OG0000846	NP_012361.1	QNG12535.1
OG0000847	NP_013196.1	QNG12536.1
OG0000848	NP_013195.1	QNG12537.1
OG0000849	NP_013194.2	QNG12538.1
OG0000850	NP_009695.2	QNG12539.1
OG0000851	NP_009694.3	QNG12540.1
OG0000852	NP_009693.3	QNG12541.1
OG0000853	NP_009691.1	QNG12542.1
OG0000854	NP_009690.1	QNG12543.1
OG0000855	NP_009689.3	QNG12544.1
OG0000856	NP_009687.1	QNG12546.1
OG0000857	NP_009686.1	QNG12547.1
OG0000858	NP_009685.3	QNG12548.1
OG0000859	NP_013320.1	QNG12549.1
OG0000860	NP_013321.1	QNG12550.1
OG0000861	NP_013322.1	QNG12551.1
OG0000862	NP_013323.1	QNG12552.1
OG0000863	NP_013324.1	QNG12553.1
OG0000864	NP_013325.1	QNG12559.1
OG0000865	NP_013327.1	QNG12560.1
OG0000866	NP_010497.3	QNG12562.1
OG0000867	NP_012150.1	QNG12563.1
OG0000868	NP_012151.1	QNG12564.1
OG0000869	NP_012154.1	QNG12566.1
OG0000870	NP_014346.1	QNG12567.1
OG0000871	NP_012156.1	QNG12568.1
OG0000872	NP_012158.1	QNG12570.1
OG0000873	NP_015140.1	QNG12572.1
OG0000874	NP_015141.1	QNG12573.1
OG0000875	NP_015142.1	QNG12574.1
OG0000876	NP_015145.1	QNG12575.1
OG0000877	NP_015144.1	QNG12576.1
OG0000878	NP_015146.1	QNG12577.1
OG0000879	NP_015147.1	QNG12578.1
OG0000880	NP_015148.1	QNG12579.1
OG0000881	NP_009808.1	QNG12580.1
OG0000882	NP_009807.3	QNG12581.1
OG0000883	NP_009806.3	QNG12583.1
OG0000884	NP_009805.1	QNG12584.1
OG0000885	NP_009802.3	QNG12587.1
OG0000886	NP_009801.1	QNG12588.1
OG0000887	NP_009789.1	QNG12590.1
OG0000888	NP_009467.1	QNG12591.1
OG0000889	NP_009469.2	QNG12594.1
OG0000890	NP_011268.1	QNG12596.1
OG0000891	NP_011269.2	QNG12597.1
OG0000892	NP_683716.1	QNG12598.1
OG0000893	NP_116704.1	QNG12599.1
OG0000894	NP_116703.5	QNG12600.1
OG0000895	NP_116702.1	QNG12601.1
OG0000896	NP_116701.3	QNG12603.1
OG0000897	NP_116700.1	QNG12604.1
OG0000898	NP_116699.3	QNG12605.1
OG0000899	NP_116698.3	QNG12606.1
OG0000900	NP_116697.3	QNG12607.1
OG0000901	NP_010961.3	QNG12608.1
OG0000902	NP_010874.3	QNG12609.1
OG0000903	NP_010960.1	QNG12610.1
OG0000904	NP_010959.2	QNG12611.1
OG0000905	NP_010958.3	QNG12612.1
OG0000906	NP_010955.3	QNG12613.1
OG0000907	NP_010953.1	QNG12615.1
OG0000908	NP_010951.1	QNG12617.1
OG0000909	NP_010950.1	QNG12618.1
OG0000910	NP_010949.4	QNG12619.1
OG0000911	NP_010948.1	QNG12620.1
OG0000912	NP_010947.2	QNG12621.1
OG0000913	NP_010946.3	QNG12622.1
OG0000914	NP_010945.1	QNG12623.1
OG0000915	NP_013503.1	QNG12624.1
OG0000916	NP_013502.3	QNG12625.1
OG0000917	NP_013501.1	QNG12626.1
OG0000918	NP_013500.3	QNG12627.1
OG0000919	NP_013499.1	QNG12628.1
OG0000920	NP_013498.3	QNG12629.1
OG0000921	NP_013497.1	QNG12630.1
OG0000922	NP_013496.3	QNG12631.1
OG0000923	NP_009392.2	QNG12632.1
OG0000924	NP_009393.1	QNG12633.1
OG0000925	NP_009394.1	QNG12634.1
OG0000926	NP_011841.1	QNG12636.1
OG0000927	NP_014905.1	QNG12637.1
OG0000928	NP_014907.3	QNG12638.1
OG0000929	NP_014908.1	QNG12639.1
OG0000930	NP_014909.3	QNG12640.1
OG0000931	NP_014912.1	QNG12642.1
OG0000932	NP_009980.1	QNG12645.1
OG0000933	NP_009981.1	QNG12646.1
OG0000934	NP_011308.1	QNG12647.1
OG0000935	NP_010943.3	QNG12648.1
OG0000936	NP_013374.1	QNG12650.1
OG0000937	NP_013370.1	QNG12651.1
OG0000938	NP_013060.1	QNG12652.1
OG0000939	NP_013058.1	QNG12654.1
OG0000940	NP_013049.1	QNG12658.1
OG0000941	NP_014452.1	QNG12659.1
OG0000942	NP_014451.1	QNG12660.1
OG0000943	NP_014450.3	QNG12661.1
OG0000944	NP_014449.1	QNG12662.1
OG0000945	NP_014448.1	QNG12663.1
OG0000946	NP_014447.3	QNG12664.1
OG0000947	NP_014444.1	QNG12667.1
OG0000948	NP_014443.3	QNG12668.1
OG0000949	NP_010012.1	QNG12670.1
OG0000950	NP_014441.1	QNG12672.1
OG0000951	NP_014439.3	QNG12673.1
OG0000952	NP_014438.3	QNG12674.1
OG0000953	NP_010374.1	QNG12675.1
OG0000954	NP_012259.3	QNG12677.1
OG0000955	NP_012258.3	QNG12678.1
OG0000956	NP_012255.3	QNG12679.1
OG0000957	NP_012254.1	QNG12680.1
OG0000958	NP_010290.3	QNG12686.1
OG0000959	NP_009561.2	QNG12689.1
OG0000960	NP_009560.1	QNG12690.1
OG0000961	NP_009558.2	QNG12692.1
OG0000962	NP_009557.1	QNG12693.1
OG0000963	NP_009556.1	QNG12694.1
OG0000964	NP_010285.1	QNG12695.1
OG0000965	NP_009554.1	QNG12697.1
OG0000966	NP_010281.1	QNG12700.1
OG0000967	NP_010280.1	QNG12701.1
OG0000968	NP_010279.3	QNG12702.1
OG0000969	NP_010278.3	QNG12703.1
OG0000970	NP_012630.1	QNG12704.1
OG0000971	NP_012631.3	QNG12705.1
OG0000972	NP_012632.2	QNG12706.1
OG0000973	NP_012633.1	QNG12707.1
OG0000974	NP_012634.3	QNG12708.1
OG0000975	NP_012635.1	QNG12709.1
OG0000976	NP_012636.1	QNG12710.1
OG0000977	NP_012638.1	QNG12711.1
OG0000979	NP_012649.3	QNG12713.1
OG0000980	NP_012647.1	QNG12714.1
OG0000981	NP_012646.3	QNG12716.1
OG0000982	NP_012645.1	QNG12717.1
OG0000983	NP_012644.1	QNG12718.1
OG0000984	NP_012641.2	QNG12721.1
OG0000985	NP_012640.4	QNG12722.1
OG0000986	NP_012639.1	QNG12723.1
OG0000987	NP_009411.2	QNG12724.1
OG0000988	NP_014584.1	QNG12728.1
OG0000989	NP_014583.2	QNG12729.1
OG0000990	NP_014581.1	QNG12731.1
OG0000991	NP_014580.1	QNG12732.1
OG0000992	NP_014579.1	QNG12733.1
OG0000993	NP_014578.1	QNG12734.1
OG0000994	NP_014577.1	QNG12735.1
OG0000995	NP_014576.1	QNG12736.1
OG0000996	NP_014575.1	QNG12737.1
OG0000997	NP_010244.1	QNG12738.1
OG0000998	NP_014574.1	QNG12739.1
OG0000999	NP_010051.1	QNG12742.1
OG0001000	NP_010050.1	QNG12743.1
OG0001001	NP_010049.1	QNG12744.1
OG0001002	NP_010047.1	QNG12746.1
OG0001003	NP_010045.1	QNG12747.1
OG0001004	NP_010044.2	QNG12748.1
OG0001005	NP_010043.1	QNG12749.1
OG0001006	NP_014174.1	QNG12750.1
OG0001007	NP_010041.2	QNG12751.1
OG0001008	NP_009971.1	QNG12757.1
OG0001009	NP_012368.1	QNG12758.1
OG0001010	NP_012749.1	QNG12759.1
OG0001011	NP_013614.1	QNG12760.1
OG0001012	NP_013616.1	QNG12761.1
OG0001013	NP_013914.1	QNG12763.1
OG0001014	NP_013913.1	QNG12764.1
OG0001015	NP_013912.1	QNG12765.1
OG0001016	NP_013910.1	QNG12767.1
