Orthogroup	sacCer_protein	CBS138_protein
OG0000416	NP_012198.3, NP_010993.1	XP_447841.1
OG0000417	NP_012195.1, NP_010997.3	XP_447845.1
OG0000418	NP_014425.3, NP_009995.1	XP_447857.1
OG0000419	NP_015185.1, NP_014874.1	XP_447871.1
OG0000420	NP_015191.1, NP_014865.1	XP_447884.1
OG0000421	NP_014243.3, NP_012001.1	XP_447963.1
OG0000422	NP_012007.1, NP_014239.1	XP_447969.1
OG0000423	NP_010843.1, NP_010103.1	XP_447981.1
OG0000424	NP_010100.1, NP_010152.1	XP_447984.1
OG0000425	NP_013998.1, NP_013601.1	XP_447993.1
OG0000426	NP_015033.1, NP_014125.1	XP_448068.1
OG0000427	NP_013288.1, NP_014121.1	XP_448072.1
OG0000428	NP_014312.1, NP_014729.1	XP_448081.1
OG0000429	NP_010145.1, NP_010090.1	XP_448104.1
OG0000430	NP_012152.3, NP_014343.1	XP_448140.1
OG0000431	NP_014340.1, NP_012149.1	XP_448148.1
OG0000432	NP_012135.1, NP_014331.3	XP_448150.1
OG0000433	NP_012133.1, NP_014330.1	XP_448152.1
OG0000434	NP_010598.3, NP_011933.1	XP_448185.1
OG0000435	NP_014226.1, NP_012016.1	XP_448196.1
OG0000436	NP_011112.3, NP_011729.1	XP_448255.1
OG0000437	NP_011725.3, NP_013144.1	XP_448259.1
OG0000438	NP_014585.1, NP_010263.1	XP_448299.1
OG0000439	NP_011057.1, NP_011326.1	XP_448317.1
OG0000440	NP_011336.3, NP_011055.3	XP_448319.1
OG0000441	NP_013820.1, NP_012801.1	XP_448371.1
OG0000442	NP_012790.1, NP_013831.1	XP_448379.1
OG0000443	NP_012789.2, NP_013833.1	XP_448381.1
OG0000444	NP_013843.1, NP_013131.1	XP_448386.1
OG0000445	NP_011552.1, NP_013454.1	XP_448405.1
OG0000446	NP_011384.1, NP_015356.1	XP_448454.1
OG0000447	NP_015357.1, NP_009444.2	XP_448455.1
OG0000448	NP_013017.2, NP_014726.1	XP_448471.1
OG0000449	NP_009907.2, NP_010795.3	XP_448474.1
OG0000450	NP_009895.1, NP_010801.1	XP_002999578.1
OG0000451	NP_013688.1, NP_010735.3	XP_448490.1
OG0000452	NP_011870.1, NP_010751.4	XP_448502.1
OG0000453	NP_011874.1, NP_010759.1	XP_448509.1
OG0000454	NP_009773.1, NP_011459.2	XP_448514.1
OG0000455	NP_011455.1, NP_009775.3	XP_448516.1
OG0000456	NP_009778.3, NP_009779.3	XP_448519.1
OG0000457	NP_009797.1, NP_011408.1	XP_448528.1
OG0000458	NP_014961.3, NP_013970.1	XP_448542.1
OG0000459	NP_014957.2, NP_013969.3	XP_448543.1
OG0000460	NP_012402.1, NP_012978.1	XP_448580.1
OG0000461	NP_015030.3, NP_014047.1	XP_448584.1
OG0000462	NP_012399.1, NP_012983.3	XP_448586.1
OG0000463	NP_009987.2, NP_014162.1	XP_448620.1
OG0000464	NP_014770.1, NP_010667.1	XP_448668.1
OG0000465	NP_013920.1, NP_015074.1	XP_002999583.1
OG0000466	NP_013731.1, NP_010530.1	XP_448702.1
OG0000467	NP_009553.1, NP_010510.3	XP_448714.1
OG0000468	NP_010308.3, NP_009604.1	XP_448726.1
OG0000469	NP_013396.1, NP_014828.1	XP_447279.1
OG0000470	NP_010198.1, NP_013865.1	XP_447286.1
OG0000471	NP_013863.2, NP_010200.1	XP_447288.1
OG0000472	NP_012582.1, NP_010875.1	XP_447316.1
OG0000473	NP_011759.1, NP_012032.1	XP_447346.1
OG0000474	NP_010892.1, NP_012565.1	XP_447385.1
OG0000475	NP_010147.1, NP_010093.1	XP_447420.1
OG0000476	NP_012985.3, NP_012397.1	XP_447438.1
OG0000477	NP_009570.1, NP_010274.1	XP_447447.1
OG0000478	NP_009598.1, NP_010301.1	XP_447450.1
OG0000479	NP_011011.3, NP_010936.1	XP_002999558.1
OG0000480	NP_013729.1, NP_012881.1	XP_448847.1
OG0000481	NP_011846.1, NP_012885.2	XP_448851.1
OG0000482	NP_009589.1, NP_012886.3	XP_448852.1
OG0000483	NP_010900.1, NP_009955.2	XP_449123.1
OG0000484	NP_010328.3, NP_009622.1	XP_449103.1
OG0000485	NP_010188.1, NP_010190.1	XP_449091.1
OG0000486	NP_010201.1, NP_013862.1	XP_449076.2
OG0000487	NP_012406.1, NP_012976.1	XP_449021.1
OG0000488	NP_015457.1, NP_011633.3	XP_448986.1
OG0000489	NP_010697.3, NP_014799.1	XP_448961.1
OG0000490	NP_014282.1, NP_012297.3	XP_448947.1
OG0000491	NP_011983.1, NP_014283.3	XP_448946.1
OG0000492	NP_012436.1, NP_012952.3	XP_448930.1
OG0000493	NP_010988.1, NP_116585.1	XP_448885.1
OG0000494	NP_015334.1, NP_011353.1	XP_449183.1
OG0000495	NP_010559.3, NP_014685.1	XP_449204.1
OG0000496	NP_010563.3, NP_014690.1	XP_449207.1
OG0000497	NP_013004.3, NP_014712.2	XP_449222.1
OG0000498	NP_013934.1, NP_014413.1	XP_449236.1
OG0000499	NP_013646.1, NP_013547.3	XP_449258.1
OG0000500	NP_013641.1, NP_116602.1	XP_449263.1
OG0000501	NP_013553.1, NP_013638.1	XP_449266.2
OG0000502	NP_013555.1, NP_013636.1	XP_449268.1
OG0000503	NP_010381.1, NP_011096.1	XP_449284.1
OG0000504	NP_013193.1, NP_009853.3	XP_449305.1
OG0000505	NP_015293.1, NP_010537.3	XP_449309.1
OG0000506	NP_015288.1, NP_010538.1	XP_449313.1
OG0000507	NP_010539.1, NP_015287.1	XP_449314.1
OG0000508	NP_013744.1, NP_012874.1	XP_449330.1
OG0000509	NP_013181.1, NP_116606.1	XP_449345.1
OG0000510	NP_013546.1, NP_013648.1	XP_449381.1
OG0000511	NP_014877.3, NP_015182.1	XP_449454.1
OG0000512	NP_011730.1, NP_013149.1	XP_449470.1
OG0000513	NP_012451.1, NP_012946.3	XP_449483.1
OG0000514	NP_012944.3, NP_012452.1	XP_449484.1
OG0000515	NP_014529.1, NP_014106.1	XP_449504.1
OG0000516	NP_014528.1, NP_014101.1	XP_449508.1
OG0000517	NP_013234.1, NP_010431.3	XP_449537.1
OG0000518	NP_013245.1, NP_014465.1	XP_449546.1
OG0000519	NP_013957.1, NP_014936.1	XP_449559.1
OG0000520	NP_013960.1, NP_014938.3	XP_449562.1
OG0000521	NP_013964.1, NP_014943.1	XP_449566.1
OG0000522	NP_009764.3, NP_009758.3	XP_449585.1
OG0000523	NP_012396.1, NP_012987.3	XP_449600.1
OG0000524	NP_014461.3, NP_012990.1	XP_449603.1
OG0000525	NP_015219.1, NP_009728.1	XP_449611.1
OG0000526	NP_009736.3, NP_015230.1	XP_449618.1
OG0000527	NP_015246.1, NP_009750.1	XP_449631.1
OG0000528	NP_012354.1, NP_012564.3	XP_449697.1
OG0000529	NP_012741.1, NP_012358.1	XP_449699.1
OG0000530	NP_009854.2, NP_010556.1	XP_449719.1
OG0000531	NP_014677.1, NP_010550.1	XP_449724.1
OG0000532	NP_012624.1, NP_015367.1	XP_449741.1
OG0000533	NP_009449.1, NP_015355.1	XP_449755.1
OG0000534	NP_011862.1, NP_012920.1	XP_449792.1
OG0000535	NP_009559.1, NP_010286.3	XP_449800.1
OG0000536	NP_009978.1, NP_014416.1	XP_449806.1
OG0000537	NP_009993.1, NP_014423.1	XP_449812.1
OG0000538	NP_014428.1, NP_009998.2	XP_002999605.1
OG0000539	NP_009349.3, NP_015008.3	XP_449877.1
OG0000540	NP_015010.1, NP_009348.2	XP_449878.1
OG0000541	NP_010980.1, NP_012214.3	XP_449879.1
OG0000542	NP_012212.1, NP_010977.2	XP_449882.1
OG0000543	NP_011004.3, NP_012191.1	XP_449901.1
OG0000544	NP_013754.1, NP_012858.2	XP_449920.1
OG0000545	NP_011772.3, NP_012053.3	XP_449923.1
OG0000546	NP_009305.1, NP_009306.1, NP_009307.2	NP_818778.1
OG0000556	NP_011492.3	XP_444780.1
OG0000557	NP_011493.1	XP_444781.1
OG0000558	NP_011495.1	XP_444783.1
OG0000559	NP_011496.3	XP_444784.1
OG0000560	NP_011497.1	XP_444785.1
OG0000561	NP_011498.1	XP_444786.1
OG0000562	NP_011505.1	XP_444787.1
OG0000563	NP_011506.1	XP_444788.1
OG0000564	NP_011499.1	XP_444789.1
OG0000565	NP_011504.3	XP_444790.1
OG0000566	NP_011503.1	XP_444791.1
OG0000567	NP_011501.1	XP_444793.1
OG0000568	NP_011509.1	XP_444795.1
OG0000569	NP_011510.1	XP_444796.1
OG0000570	NP_011511.3	XP_444797.1
OG0000571	NP_011512.1	XP_444799.1
OG0000572	NP_009399.2	XP_444804.1
OG0000573	NP_009400.1	XP_444805.1
OG0000574	NP_013420.2	XP_444807.1
OG0000575	NP_013422.2	XP_444808.1
OG0000576	NP_013423.1	XP_444809.1
OG0000577	NP_013424.1	XP_444810.1
OG0000578	NP_013427.1	XP_444811.1
OG0000579	NP_013429.1	XP_444813.1
OG0000580	NP_013430.1	XP_444814.1
OG0000581	NP_015061.1	XP_444816.1
OG0000582	NP_015060.1	XP_444817.1
OG0000583	NP_015051.1	XP_444818.1
OG0000584	NP_015052.1	XP_444819.1
OG0000585	NP_015053.2	XP_444820.1
OG0000586	NP_015054.1	XP_444821.1
OG0000587	NP_015055.1	XP_444822.1
OG0000588	NP_015058.1	XP_444823.1
OG0000589	NP_010022.1	XP_444825.1
OG0000590	NP_011489.1	XP_444829.1
OG0000591	NP_011488.1	XP_444830.1
OG0000592	NP_011485.1	XP_444832.1
OG0000593	NP_011483.3	XP_444834.1
OG0000594	NP_011482.3	XP_444835.1
OG0000595	NP_011480.1	XP_444836.1
OG0000596	NP_011479.1	XP_444839.1
OG0000597	NP_011478.3	XP_444840.1
OG0000598	NP_011477.1	XP_444841.1
OG0000599	NP_011966.1	XP_444846.1
OG0000600	NP_011967.1	XP_444849.1
OG0000601	NP_014620.1	XP_444850.1
OG0000602	NP_014619.1	XP_444851.1
OG0000603	NP_116672.1	XP_444852.1
OG0000604	NP_014617.1	XP_444853.1
OG0000605	NP_011884.1	XP_444855.1
OG0000606	NP_011883.1	XP_444856.1
OG0000607	NP_011881.1	XP_444857.1
OG0000609	NP_010633.3	XP_444867.1
OG0000610	NP_010634.3	XP_444868.1
OG0000611	NP_010635.1	XP_444869.1
OG0000612	NP_010636.1	XP_444870.1
OG0000613	NP_010637.4	XP_444871.1
OG0000614	NP_010639.1	XP_444873.1
OG0000615	NP_010641.3	XP_444876.1
OG0000616	NP_010643.3	XP_444877.1
OG0000617	NP_010644.1	XP_444878.1
OG0000618	NP_010646.4	XP_444880.1
OG0000619	NP_010648.3	XP_444881.1
OG0000620	NP_010649.1	XP_444882.1
OG0000621	NP_010650.1	XP_444883.1
OG0000622	NP_010651.3	XP_444884.1
OG0000623	NP_014760.3	XP_444885.1
OG0000624	NP_010652.3	XP_444886.1
OG0000625	NP_010655.1	XP_444887.1
OG0000626	NP_010657.3	XP_444889.1
OG0000627	NP_010658.3	XP_444890.1
OG0000628	NP_010659.1	XP_444892.1
OG0000629	NP_010660.1	XP_444893.1
OG0000630	NP_010661.3	XP_444894.1
OG0000631	NP_010662.3	XP_444895.1
OG0000632	NP_010663.1	XP_444896.1
OG0000633	NP_010664.3	XP_444897.1
OG0000634	NP_010665.3	XP_444898.1
OG0000635	NP_010666.2	XP_002999513.1
OG0000636	NP_076888.3	XP_444901.1
OG0000637	NP_010668.3	XP_444902.1
OG0000638	NP_010669.1	XP_444903.1
OG0000639	NP_219495.2	XP_444904.1
OG0000640	NP_010670.3	XP_444905.1
OG0000641	NP_010671.4	XP_444906.1
OG0000642	NP_010672.1	XP_444907.1
OG0000643	NP_010674.3	XP_444909.1
OG0000644	NP_011323.3	XP_444911.1
OG0000645	NP_011321.1	XP_444912.1
OG0000646	NP_014390.2	XP_444913.1
OG0000647	NP_013132.1	XP_444917.1
OG0000648	NP_013133.1	XP_444918.1
OG0000649	NP_013134.1	XP_444919.1
OG0000650	NP_013135.1	XP_444920.1
OG0000651	NP_013139.1	XP_444921.1
OG0000652	NP_013140.1	XP_444922.1
OG0000653	NP_013141.1	XP_444923.1
OG0000654	NP_011561.3	XP_444925.1
OG0000655	NP_009700.1	XP_444926.1
OG0000656	NP_009699.2	XP_444927.1
OG0000657	NP_010944.1	XP_444928.1
OG0000658	NP_011309.1	XP_444929.1
OG0000659	NP_011310.1	XP_444930.1
OG0000660	NP_014940.4	XP_444931.1
OG0000661	NP_014941.1	XP_444932.1
OG0000662	NP_014945.3	XP_444933.1
OG0000663	NP_013307.1	XP_444934.1
OG0000664	NP_013306.2	XP_444936.1
OG0000665	NP_013304.1	XP_444937.1
OG0000666	NP_013302.1	XP_444938.1
OG0000667	NP_013301.1	XP_444939.1
OG0000668	NP_013300.2	XP_444940.2
OG0000669	NP_013298.1	XP_444941.1
OG0000670	NP_013297.1	XP_444942.1
OG0000671	NP_013296.1	XP_444943.1
OG0000672	NP_013295.1	XP_444944.1
OG0000673	NP_013294.1	XP_444945.1
OG0000674	NP_013293.1	XP_444946.1
OG0000675	NP_013292.1	XP_444947.1
OG0000676	NP_013291.1	XP_444948.1
OG0000677	NP_009502.1	XP_444950.1
OG0000678	NP_009501.1	XP_444951.1
OG0000679	NP_009498.1	XP_444953.1
OG0000680	NP_009496.2	XP_444955.1
OG0000681	NP_009495.1	XP_444956.1
OG0000682	NP_031358.1	XP_444958.2
OG0000683	NP_009494.1	XP_444957.1
OG0000684	NP_009489.1	XP_444960.1
OG0000685	NP_009487.2	XP_444961.1
OG0000686	NP_660100.1	XP_444963.1
OG0000687	NP_009479.1	XP_444965.1
OG0000688	NP_011036.1	XP_444966.1
OG0000689	NP_009471.1	XP_444967.1
OG0000690	NP_009472.1	XP_444969.1
OG0000691	NP_009473.2	XP_444970.1
OG0000692	NP_009475.1	XP_444971.1
OG0000693	NP_116707.3	XP_444972.1
OG0000694	NP_116708.1	XP_444973.1
OG0000695	NP_116709.3	XP_444974.1
OG0000696	NP_011262.1	XP_444976.1
OG0000697	NP_116710.1	XP_444977.1
OG0000698	NP_001018030.1	XP_444982.1
OG0000699	NP_009870.1	XP_444983.1
OG0000700	NP_009871.2	XP_444984.1
OG0000701	NP_009872.1	XP_444985.1
OG0000702	NP_001018031.2	XP_444986.1
OG0000703	NP_065435.1	XP_444987.2
OG0000704	NP_009874.1	XP_444988.1
OG0000705	NP_009876.1	XP_444990.1
OG0000706	NP_009877.1	XP_444991.1
OG0000707	NP_009878.1	XP_444992.1
OG0000708	NP_009883.1	XP_444998.1
OG0000709	NP_009884.1	XP_444999.1
OG0000710	NP_009886.1	XP_445000.1
OG0000711	NP_009887.1	XP_445001.1
OG0000712	NP_009891.1	XP_445003.1
OG0000713	NP_009892.1	XP_445004.1
OG0000714	NP_009896.2	XP_445006.1
OG0000715	NP_009897.1	XP_445007.1
OG0000716	NP_009898.1	XP_445008.1
OG0000717	NP_009899.1	XP_445009.1
OG0000718	NP_009900.2	XP_445010.1
OG0000719	NP_009901.1	XP_445011.1
OG0000720	NP_009902.2	XP_445012.1
OG0000721	NP_009903.2	XP_445013.1
OG0000722	NP_065436.1	XP_445014.1
OG0000723	NP_013282.1	XP_445019.1
OG0000724	NP_013283.1	XP_445020.1
OG0000725	NP_013287.1	XP_445023.1
OG0000726	NP_014492.1	XP_445027.1
OG0000727	NP_014493.1	XP_445028.1
OG0000728	NP_014496.2	XP_445029.1
OG0000729	NP_014497.1	XP_445030.1
OG0000730	NP_014498.1	XP_445031.1
OG0000731	NP_014069.1	XP_445032.1
OG0000732	NP_014499.2	XP_445033.1
OG0000733	NP_014500.2	XP_445034.1
OG0000734	NP_014501.1	XP_445035.1
OG0000735	NP_010426.1	XP_445036.1
OG0000736	NP_010425.1	XP_445037.1
OG0000737	NP_010424.3	XP_445038.1
OG0000738	NP_010423.4	XP_002999515.1
OG0000739	NP_010422.1	XP_445040.1
OG0000740	NP_010421.1	XP_445041.1
OG0000741	NP_010393.3	XP_445043.1
OG0000742	NP_010394.3	XP_445044.1
OG0000743	NP_010395.1	XP_445046.1
OG0000744	NP_010400.1	XP_445047.2
OG0000745	NP_010401.1	XP_445048.1
OG0000746	NP_010402.3	XP_445049.1
OG0000747	NP_010403.3	XP_445050.1
OG0000748	NP_001032575.1	XP_002999516.1
OG0000749	NP_010405.3	XP_445051.1
OG0000750	NP_010406.3	XP_445052.1
OG0000751	NP_010408.1	XP_445054.1
OG0000752	NP_010410.3	XP_445055.1
OG0000753	NP_010411.1	XP_445056.1
OG0000754	NP_010413.3	XP_445057.1
OG0000755	NP_010414.3	XP_445058.1
OG0000756	NP_010415.1	XP_445059.1
OG0000757	NP_011740.3	XP_445060.1
OG0000758	NP_011739.1	XP_445061.1
OG0000759	NP_011738.3	XP_445062.1
OG0000760	NP_011736.1	XP_445064.1
OG0000761	NP_011734.3	XP_445065.1
OG0000762	NP_011733.3	XP_445066.1
OG0000763	NP_011732.1	XP_445067.1
OG0000764	NP_011731.3	XP_445068.1
OG0000765	NP_013594.1	XP_445069.1
OG0000766	NP_013593.1	XP_445070.1
OG0000767	NP_013592.1	XP_445071.1
OG0000768	NP_013589.1	XP_445073.2
OG0000769	NP_013587.1	XP_445075.1
OG0000770	NP_013586.1	XP_445076.1
OG0000771	NP_013585.1	XP_445077.1
OG0000772	NP_013583.1	XP_445078.1
OG0000773	NP_013579.1	XP_445081.1
OG0000774	NP_013578.1	XP_445082.1
OG0000775	NP_010519.3	XP_445083.1
OG0000776	NP_010518.1	XP_445084.1
OG0000777	NP_010540.3	XP_445087.1
OG0000778	NP_010541.3	XP_445088.1
OG0000779	NP_013466.1	XP_445090.1
OG0000780	NP_013464.3	XP_445092.1
OG0000781	NP_013463.1	XP_445093.1
OG0000782	NP_013460.1	XP_445096.1
OG0000783	NP_013459.1	XP_445105.1
OG0000784	NP_013458.1	XP_445106.1
OG0000785	NP_013456.1	XP_445108.1
OG0000786	NP_012936.1	XP_445110.1
OG0000787	NP_009842.1	XP_445112.1
OG0000788	NP_009841.1	XP_445113.1
OG0000789	NP_009840.3	XP_445114.1
OG0000790	NP_009839.4	XP_445115.1
OG0000791	NP_009838.1	XP_445116.1
OG0000792	NP_009837.1	XP_445117.1
OG0000793	NP_009835.3	XP_445118.1
OG0000794	NP_009834.4	XP_445119.1
OG0000795	NP_013354.1	XP_445121.1
OG0000796	NP_013352.1	XP_445122.1
OG0000797	NP_009941.2	XP_445125.2
OG0000798	NP_010859.1	XP_445126.1
OG0000799	NP_010858.3	XP_445127.1
OG0000800	NP_010856.1	XP_445128.1
OG0000801	NP_010853.2	XP_445130.1
OG0000802	NP_009930.1	XP_445132.1
OG0000803	NP_012539.1	XP_445133.1
OG0000804	NP_011707.1	XP_445134.1
OG0000805	NP_012540.3	XP_445135.1
OG0000806	NP_012541.1	XP_445136.1
OG0000807	NP_012543.3	XP_445137.1
OG0000808	NP_012544.1	XP_002999519.1
OG0000809	NP_012546.4	XP_002999520.1
OG0000810	NP_012547.2	XP_445140.1
OG0000811	NP_012548.1	XP_445141.1
OG0000812	NP_012550.1	XP_445144.1
OG0000813	NP_011718.1	XP_445145.1
OG0000814	NP_012551.2	XP_445146.1
OG0000815	NP_012553.3	XP_445147.1
OG0000816	NP_015434.1	XP_445148.1
OG0000817	NP_015435.1	XP_445149.1
OG0000818	NP_015437.1	XP_445151.1
OG0000819	NP_015439.1	XP_445152.1
OG0000820	NP_009586.1	XP_445156.1
OG0000821	NP_009584.1	XP_445157.1
OG0000822	NP_009582.1	XP_445158.1
OG0000823	NP_009581.1	XP_445159.1
OG0000824	NP_009578.1	XP_445162.1
OG0000825	NP_014747.1	XP_445165.1
OG0000826	NP_014746.2	XP_445166.1
OG0000827	NP_014743.1	XP_445168.1
OG0000828	NP_014742.1	XP_445169.1
OG0000829	NP_014291.1	XP_445170.1
OG0000830	NP_014292.3	XP_445171.1
OG0000831	NP_009925.1	XP_445174.1
OG0000832	NP_009923.2	XP_445176.1
OG0000833	NP_009922.2	XP_445177.1
OG0000834	NP_009917.1	XP_445178.1
OG0000835	NP_014394.2	XP_445179.1
OG0000836	NP_976246.1	XP_445180.2
OG0000837	NP_009914.2	XP_445181.1
OG0000838	NP_009913.2	XP_445182.1
OG0000839	NP_013274.1	XP_445185.1
OG0000840	NP_013273.1	XP_445186.1
OG0000841	NP_013271.1	XP_445187.1
OG0000842	NP_013348.1	XP_445188.1
OG0000843	NP_012367.2	XP_445194.1
OG0000844	NP_012363.1	XP_445195.1
OG0000845	NP_012362.1	XP_445196.1
OG0000846	NP_012361.1	XP_445197.1
OG0000847	NP_013196.1	XP_445198.1
OG0000848	NP_013195.1	XP_445199.1
OG0000849	NP_013194.2	XP_445200.1
OG0000850	NP_009695.2	XP_445201.1
OG0000851	NP_009694.3	XP_445202.1
OG0000852	NP_009693.3	XP_445203.1
OG0000853	NP_009691.1	XP_445204.1
OG0000854	NP_009690.1	XP_445205.2
OG0000855	NP_009689.3	XP_445206.1
OG0000856	NP_009687.1	XP_445208.1
OG0000857	NP_009686.1	XP_445209.1
OG0000858	NP_009685.3	XP_445210.1
OG0000859	NP_013320.1	XP_445211.1
OG0000860	NP_013321.1	XP_445212.1
OG0000861	NP_013322.1	XP_445213.1
OG0000862	NP_013323.1	XP_445214.1
OG0000863	NP_013324.1	XP_445215.1
OG0000864	NP_013325.1	XP_445224.1
OG0000865	NP_013327.1	XP_445225.1
OG0000866	NP_010497.3	XP_445227.1
OG0000867	NP_012150.1	XP_445228.1
OG0000868	NP_012151.1	XP_445229.1
OG0000869	NP_012154.1	XP_445231.1
OG0000870	NP_014346.1	XP_002999521.1
OG0000871	NP_012156.1	XP_445232.1
OG0000872	NP_012158.1	XP_445234.1
OG0000873	NP_015140.1	XP_445236.1
OG0000874	NP_015141.1	XP_002999522.1
OG0000875	NP_015142.1	XP_445237.1
OG0000876	NP_015145.1	XP_445238.1
OG0000877	NP_015144.1	XP_445239.1
OG0000878	NP_015146.1	XP_445240.1
OG0000879	NP_015147.1	XP_445241.1
OG0000880	NP_015148.1	XP_445242.1
OG0000881	NP_009808.1	XP_445243.1
OG0000882	NP_009807.3	XP_445244.1
OG0000883	NP_009806.3	XP_445246.1
OG0000884	NP_009805.1	XP_445247.1
OG0000885	NP_009802.3	XP_445250.1
OG0000886	NP_009801.1	XP_445251.1
OG0000887	NP_009789.1	XP_445253.1
OG0000888	NP_009467.1	XP_445254.1
OG0000889	NP_009469.2	XP_445258.1
OG0000890	NP_011268.1	XP_445259.1
OG0000891	NP_011269.2	XP_445260.1
OG0000892	NP_683716.1	XP_445261.1
OG0000893	NP_116704.1	XP_445262.1
OG0000894	NP_116703.5	XP_445263.1
OG0000895	NP_116702.1	XP_445264.1
OG0000896	NP_116701.3	XP_445266.1
OG0000897	NP_116700.1	XP_445267.1
OG0000898	NP_116699.3	XP_445268.1
OG0000899	NP_116698.3	XP_445269.1
OG0000900	NP_116697.3	XP_445270.1
OG0000901	NP_010961.3	XP_445271.1
OG0000902	NP_010874.3	XP_445272.1
OG0000903	NP_010960.1	XP_445273.1
OG0000904	NP_010959.2	XP_445274.1
OG0000905	NP_010958.3	XP_445275.1
OG0000906	NP_010955.3	XP_445276.1
OG0000907	NP_010953.1	XP_445278.2
OG0000908	NP_010951.1	XP_445280.1
OG0000909	NP_010950.1	XP_445281.1
OG0000910	NP_010949.4	XP_445282.1
OG0000911	NP_010948.1	XP_445283.1
OG0000912	NP_010947.2	XP_445284.1
OG0000913	NP_010946.3	XP_445285.1
OG0000914	NP_010945.1	XP_445286.1
OG0000915	NP_013503.1	XP_445287.1
OG0000916	NP_013502.3	XP_445288.1
OG0000917	NP_013501.1	XP_445289.1
OG0000918	NP_013500.3	XP_445290.1
OG0000919	NP_013499.1	XP_002999524.1
OG0000920	NP_013498.3	XP_445291.1
OG0000921	NP_013497.1	XP_445292.1
OG0000922	NP_013496.3	XP_445293.1
OG0000923	NP_009392.2	XP_445294.1
OG0000924	NP_009393.1	XP_445295.1
OG0000925	NP_009394.1	XP_445296.1
OG0000926	NP_011841.1	XP_445298.1
OG0000927	NP_014905.1	XP_445299.1
OG0000928	NP_014907.3	XP_445300.1
OG0000929	NP_014908.1	XP_445301.1
OG0000930	NP_014909.3	XP_445302.1
OG0000931	NP_014912.1	XP_445305.1
OG0000932	NP_009980.1	XP_445308.1
OG0000933	NP_009981.1	XP_445309.1
OG0000934	NP_011308.1	XP_445310.1
OG0000935	NP_010943.3	XP_445311.1
OG0000936	NP_013374.1	XP_445313.1
OG0000937	NP_013370.1	XP_445314.1
OG0000938	NP_013060.1	XP_445315.1
OG0000939	NP_013058.1	XP_445317.1
OG0000940	NP_013049.1	XP_445321.1
OG0000941	NP_014452.1	XP_445322.1
OG0000942	NP_014451.1	XP_445323.1
OG0000943	NP_014450.3	XP_445324.1
OG0000944	NP_014449.1	XP_445325.1
OG0000945	NP_014448.1	XP_445326.1
OG0000946	NP_014447.3	XP_445327.1
OG0000947	NP_014444.1	XP_445330.1
OG0000948	NP_014443.3	XP_445331.1
OG0000949	NP_010012.1	XP_445333.1
OG0000950	NP_014441.1	XP_445335.1
OG0000951	NP_014439.3	XP_445336.1
OG0000952	NP_014438.3	XP_445337.1
OG0000953	NP_010374.1	XP_445338.1
OG0000954	NP_012259.3	XP_445340.1
OG0000955	NP_012258.3	XP_445341.1
OG0000956	NP_012255.3	XP_445343.1
OG0000957	NP_012254.1	XP_445344.1
OG0000958	NP_010290.3	XP_445353.1
OG0000959	NP_009561.2	XP_445357.1
OG0000960	NP_009560.1	XP_445358.1
OG0000961	NP_009558.2	XP_445360.1
OG0000962	NP_009557.1	XP_445361.1
OG0000963	NP_009556.1	XP_445362.1
OG0000964	NP_010285.1	XP_445363.1
OG0000965	NP_009554.1	XP_445365.1
OG0000966	NP_010281.1	XP_445368.1
OG0000967	NP_010280.1	XP_445369.1
OG0000968	NP_010279.3	XP_445370.1
OG0000969	NP_010278.3	XP_445371.1
OG0000970	NP_012630.1	XP_445372.1
OG0000971	NP_012631.3	XP_445373.1
OG0000972	NP_012632.2	XP_445374.1
OG0000973	NP_012633.1	XP_445375.1
OG0000974	NP_012634.3	XP_445376.1
OG0000975	NP_012635.1	XP_445377.1
OG0000976	NP_012636.1	XP_445378.1
OG0000977	NP_012638.1	XP_445379.1
OG0000979	NP_012649.3	XP_445381.1
OG0000980	NP_012647.1	XP_445382.1
OG0000981	NP_012646.3	XP_445384.1
OG0000982	NP_012645.1	XP_445385.1
OG0000983	NP_012644.1	XP_445386.1
OG0000984	NP_012641.2	XP_445388.1
OG0000985	NP_012640.4	XP_445389.1
OG0000986	NP_012639.1	XP_445390.1
OG0000987	NP_009411.2	XP_445391.1
OG0000988	NP_014584.1	XP_445395.1
OG0000989	NP_014583.2	XP_445396.1
OG0000990	NP_014581.1	XP_445398.1
OG0000991	NP_014580.1	XP_445399.1
OG0000992	NP_014579.1	XP_445400.1
OG0000993	NP_014578.1	XP_445401.1
OG0000994	NP_014577.1	XP_445402.1
OG0000995	NP_014576.1	XP_445403.1
OG0000996	NP_014575.1	XP_445404.1
OG0000997	NP_010244.1	XP_445405.1
OG0000998	NP_014574.1	XP_445406.1
OG0000999	NP_010051.1	XP_445410.1
OG0001000	NP_010050.1	XP_445411.1
OG0001001	NP_010049.1	XP_002999526.1
OG0001002	NP_010047.1	XP_445413.1
OG0001003	NP_010045.1	XP_445414.1
OG0001004	NP_010044.2	XP_445415.1
OG0001005	NP_010043.1	XP_445416.1
OG0001006	NP_014174.1	XP_445417.1
OG0001007	NP_010041.2	XP_445418.1
OG0001008	NP_009971.1	XP_448786.1
OG0001009	NP_012368.1	XP_448787.1
OG0001010	NP_012749.1	XP_448788.1
OG0001011	NP_013614.1	XP_448789.1
OG0001012	NP_013616.1	XP_448790.1
