Orthogroup	CBS138_protein	sacCer_protein
OG0000416	XP_447841.1	NP_012198.3, NP_010993.1
OG0000417	XP_447845.1	NP_012195.1, NP_010997.3
OG0000418	XP_447857.1	NP_014425.3, NP_009995.1
OG0000419	XP_447871.1	NP_015185.1, NP_014874.1
OG0000420	XP_447884.1	NP_015191.1, NP_014865.1
OG0000421	XP_447963.1	NP_014243.3, NP_012001.1
OG0000422	XP_447969.1	NP_012007.1, NP_014239.1
OG0000423	XP_447981.1	NP_010843.1, NP_010103.1
OG0000424	XP_447984.1	NP_010100.1, NP_010152.1
OG0000425	XP_447993.1	NP_013998.1, NP_013601.1
OG0000426	XP_448068.1	NP_015033.1, NP_014125.1
OG0000427	XP_448072.1	NP_013288.1, NP_014121.1
OG0000428	XP_448081.1	NP_014312.1, NP_014729.1
OG0000429	XP_448104.1	NP_010145.1, NP_010090.1
OG0000430	XP_448140.1	NP_012152.3, NP_014343.1
OG0000431	XP_448148.1	NP_014340.1, NP_012149.1
OG0000432	XP_448150.1	NP_012135.1, NP_014331.3
OG0000433	XP_448152.1	NP_012133.1, NP_014330.1
OG0000434	XP_448185.1	NP_010598.3, NP_011933.1
OG0000435	XP_448196.1	NP_014226.1, NP_012016.1
OG0000436	XP_448255.1	NP_011112.3, NP_011729.1
OG0000437	XP_448259.1	NP_011725.3, NP_013144.1
OG0000438	XP_448299.1	NP_014585.1, NP_010263.1
OG0000439	XP_448317.1	NP_011057.1, NP_011326.1
OG0000440	XP_448319.1	NP_011336.3, NP_011055.3
OG0000441	XP_448371.1	NP_013820.1, NP_012801.1
OG0000442	XP_448379.1	NP_012790.1, NP_013831.1
OG0000443	XP_448381.1	NP_012789.2, NP_013833.1
OG0000444	XP_448386.1	NP_013843.1, NP_013131.1
OG0000445	XP_448405.1	NP_011552.1, NP_013454.1
OG0000446	XP_448454.1	NP_011384.1, NP_015356.1
OG0000447	XP_448455.1	NP_015357.1, NP_009444.2
OG0000448	XP_448471.1	NP_013017.2, NP_014726.1
OG0000449	XP_448474.1	NP_009907.2, NP_010795.3
OG0000450	XP_002999578.1	NP_009895.1, NP_010801.1
OG0000451	XP_448490.1	NP_013688.1, NP_010735.3
OG0000452	XP_448502.1	NP_011870.1, NP_010751.4
OG0000453	XP_448509.1	NP_011874.1, NP_010759.1
OG0000454	XP_448514.1	NP_009773.1, NP_011459.2
OG0000455	XP_448516.1	NP_011455.1, NP_009775.3
OG0000456	XP_448519.1	NP_009778.3, NP_009779.3
OG0000457	XP_448528.1	NP_009797.1, NP_011408.1
OG0000458	XP_448542.1	NP_014961.3, NP_013970.1
OG0000459	XP_448543.1	NP_014957.2, NP_013969.3
OG0000460	XP_448580.1	NP_012402.1, NP_012978.1
OG0000461	XP_448584.1	NP_015030.3, NP_014047.1
OG0000462	XP_448586.1	NP_012399.1, NP_012983.3
OG0000463	XP_448620.1	NP_009987.2, NP_014162.1
OG0000464	XP_448668.1	NP_014770.1, NP_010667.1
OG0000465	XP_002999583.1	NP_013920.1, NP_015074.1
OG0000466	XP_448702.1	NP_013731.1, NP_010530.1
OG0000467	XP_448714.1	NP_009553.1, NP_010510.3
OG0000468	XP_448726.1	NP_010308.3, NP_009604.1
OG0000469	XP_447279.1	NP_013396.1, NP_014828.1
OG0000470	XP_447286.1	NP_010198.1, NP_013865.1
OG0000471	XP_447288.1	NP_013863.2, NP_010200.1
OG0000472	XP_447316.1	NP_012582.1, NP_010875.1
OG0000473	XP_447346.1	NP_011759.1, NP_012032.1
OG0000474	XP_447385.1	NP_010892.1, NP_012565.1
OG0000475	XP_447420.1	NP_010147.1, NP_010093.1
OG0000476	XP_447438.1	NP_012985.3, NP_012397.1
OG0000477	XP_447447.1	NP_009570.1, NP_010274.1
OG0000478	XP_447450.1	NP_009598.1, NP_010301.1
OG0000479	XP_002999558.1	NP_011011.3, NP_010936.1
OG0000480	XP_448847.1	NP_013729.1, NP_012881.1
OG0000481	XP_448851.1	NP_011846.1, NP_012885.2
OG0000482	XP_448852.1	NP_009589.1, NP_012886.3
OG0000483	XP_449123.1	NP_010900.1, NP_009955.2
OG0000484	XP_449103.1	NP_010328.3, NP_009622.1
OG0000485	XP_449091.1	NP_010188.1, NP_010190.1
OG0000486	XP_449076.2	NP_010201.1, NP_013862.1
OG0000487	XP_449021.1	NP_012406.1, NP_012976.1
OG0000488	XP_448986.1	NP_015457.1, NP_011633.3
OG0000489	XP_448961.1	NP_010697.3, NP_014799.1
OG0000490	XP_448947.1	NP_014282.1, NP_012297.3
OG0000491	XP_448946.1	NP_011983.1, NP_014283.3
OG0000492	XP_448930.1	NP_012436.1, NP_012952.3
OG0000493	XP_448885.1	NP_010988.1, NP_116585.1
OG0000494	XP_449183.1	NP_015334.1, NP_011353.1
OG0000495	XP_449204.1	NP_010559.3, NP_014685.1
OG0000496	XP_449207.1	NP_010563.3, NP_014690.1
OG0000497	XP_449222.1	NP_013004.3, NP_014712.2
OG0000498	XP_449236.1	NP_013934.1, NP_014413.1
OG0000499	XP_449258.1	NP_013646.1, NP_013547.3
OG0000500	XP_449263.1	NP_013641.1, NP_116602.1
OG0000501	XP_449266.2	NP_013553.1, NP_013638.1
OG0000502	XP_449268.1	NP_013555.1, NP_013636.1
OG0000503	XP_449284.1	NP_010381.1, NP_011096.1
OG0000504	XP_449305.1	NP_013193.1, NP_009853.3
OG0000505	XP_449309.1	NP_015293.1, NP_010537.3
OG0000506	XP_449313.1	NP_015288.1, NP_010538.1
OG0000507	XP_449314.1	NP_010539.1, NP_015287.1
OG0000508	XP_449330.1	NP_013744.1, NP_012874.1
OG0000509	XP_449345.1	NP_013181.1, NP_116606.1
OG0000510	XP_449381.1	NP_013546.1, NP_013648.1
OG0000511	XP_449454.1	NP_014877.3, NP_015182.1
OG0000512	XP_449470.1	NP_011730.1, NP_013149.1
OG0000513	XP_449483.1	NP_012451.1, NP_012946.3
OG0000514	XP_449484.1	NP_012944.3, NP_012452.1
OG0000515	XP_449504.1	NP_014529.1, NP_014106.1
OG0000516	XP_449508.1	NP_014528.1, NP_014101.1
OG0000517	XP_449537.1	NP_013234.1, NP_010431.3
OG0000518	XP_449546.1	NP_013245.1, NP_014465.1
OG0000519	XP_449559.1	NP_013957.1, NP_014936.1
OG0000520	XP_449562.1	NP_013960.1, NP_014938.3
OG0000521	XP_449566.1	NP_013964.1, NP_014943.1
OG0000522	XP_449585.1	NP_009764.3, NP_009758.3
OG0000523	XP_449600.1	NP_012396.1, NP_012987.3
OG0000524	XP_449603.1	NP_014461.3, NP_012990.1
OG0000525	XP_449611.1	NP_015219.1, NP_009728.1
OG0000526	XP_449618.1	NP_009736.3, NP_015230.1
OG0000527	XP_449631.1	NP_015246.1, NP_009750.1
OG0000528	XP_449697.1	NP_012354.1, NP_012564.3
OG0000529	XP_449699.1	NP_012741.1, NP_012358.1
OG0000530	XP_449719.1	NP_009854.2, NP_010556.1
OG0000531	XP_449724.1	NP_014677.1, NP_010550.1
OG0000532	XP_449741.1	NP_012624.1, NP_015367.1
OG0000533	XP_449755.1	NP_009449.1, NP_015355.1
OG0000534	XP_449792.1	NP_011862.1, NP_012920.1
OG0000535	XP_449800.1	NP_009559.1, NP_010286.3
OG0000536	XP_449806.1	NP_009978.1, NP_014416.1
OG0000537	XP_449812.1	NP_009993.1, NP_014423.1
OG0000538	XP_002999605.1	NP_014428.1, NP_009998.2
OG0000539	XP_449877.1	NP_009349.3, NP_015008.3
OG0000540	XP_449878.1	NP_015010.1, NP_009348.2
OG0000541	XP_449879.1	NP_010980.1, NP_012214.3
OG0000542	XP_449882.1	NP_012212.1, NP_010977.2
OG0000543	XP_449901.1	NP_011004.3, NP_012191.1
OG0000544	XP_449920.1	NP_013754.1, NP_012858.2
OG0000545	XP_449923.1	NP_011772.3, NP_012053.3
OG0000546	NP_818778.1	NP_009305.1, NP_009306.1, NP_009307.2
OG0000556	XP_444780.1	NP_011492.3
OG0000557	XP_444781.1	NP_011493.1
OG0000558	XP_444783.1	NP_011495.1
OG0000559	XP_444784.1	NP_011496.3
OG0000560	XP_444785.1	NP_011497.1
OG0000561	XP_444786.1	NP_011498.1
OG0000562	XP_444787.1	NP_011505.1
OG0000563	XP_444788.1	NP_011506.1
OG0000564	XP_444789.1	NP_011499.1
OG0000565	XP_444790.1	NP_011504.3
OG0000566	XP_444791.1	NP_011503.1
OG0000567	XP_444793.1	NP_011501.1
OG0000568	XP_444795.1	NP_011509.1
OG0000569	XP_444796.1	NP_011510.1
OG0000570	XP_444797.1	NP_011511.3
OG0000571	XP_444799.1	NP_011512.1
OG0000572	XP_444804.1	NP_009399.2
OG0000573	XP_444805.1	NP_009400.1
OG0000574	XP_444807.1	NP_013420.2
OG0000575	XP_444808.1	NP_013422.2
OG0000576	XP_444809.1	NP_013423.1
OG0000577	XP_444810.1	NP_013424.1
OG0000578	XP_444811.1	NP_013427.1
OG0000579	XP_444813.1	NP_013429.1
OG0000580	XP_444814.1	NP_013430.1
OG0000581	XP_444816.1	NP_015061.1
OG0000582	XP_444817.1	NP_015060.1
OG0000583	XP_444818.1	NP_015051.1
OG0000584	XP_444819.1	NP_015052.1
OG0000585	XP_444820.1	NP_015053.2
OG0000586	XP_444821.1	NP_015054.1
OG0000587	XP_444822.1	NP_015055.1
OG0000588	XP_444823.1	NP_015058.1
OG0000589	XP_444825.1	NP_010022.1
OG0000590	XP_444829.1	NP_011489.1
OG0000591	XP_444830.1	NP_011488.1
OG0000592	XP_444832.1	NP_011485.1
OG0000593	XP_444834.1	NP_011483.3
OG0000594	XP_444835.1	NP_011482.3
OG0000595	XP_444836.1	NP_011480.1
OG0000596	XP_444839.1	NP_011479.1
OG0000597	XP_444840.1	NP_011478.3
OG0000598	XP_444841.1	NP_011477.1
OG0000599	XP_444846.1	NP_011966.1
OG0000600	XP_444849.1	NP_011967.1
OG0000601	XP_444850.1	NP_014620.1
OG0000602	XP_444851.1	NP_014619.1
OG0000603	XP_444852.1	NP_116672.1
OG0000604	XP_444853.1	NP_014617.1
OG0000605	XP_444855.1	NP_011884.1
OG0000606	XP_444856.1	NP_011883.1
OG0000607	XP_444857.1	NP_011881.1
OG0000609	XP_444867.1	NP_010633.3
OG0000610	XP_444868.1	NP_010634.3
OG0000611	XP_444869.1	NP_010635.1
OG0000612	XP_444870.1	NP_010636.1
OG0000613	XP_444871.1	NP_010637.4
OG0000614	XP_444873.1	NP_010639.1
OG0000615	XP_444876.1	NP_010641.3
OG0000616	XP_444877.1	NP_010643.3
OG0000617	XP_444878.1	NP_010644.1
OG0000618	XP_444880.1	NP_010646.4
OG0000619	XP_444881.1	NP_010648.3
OG0000620	XP_444882.1	NP_010649.1
OG0000621	XP_444883.1	NP_010650.1
OG0000622	XP_444884.1	NP_010651.3
OG0000623	XP_444885.1	NP_014760.3
OG0000624	XP_444886.1	NP_010652.3
OG0000625	XP_444887.1	NP_010655.1
OG0000626	XP_444889.1	NP_010657.3
OG0000627	XP_444890.1	NP_010658.3
OG0000628	XP_444892.1	NP_010659.1
OG0000629	XP_444893.1	NP_010660.1
OG0000630	XP_444894.1	NP_010661.3
OG0000631	XP_444895.1	NP_010662.3
OG0000632	XP_444896.1	NP_010663.1
OG0000633	XP_444897.1	NP_010664.3
OG0000634	XP_444898.1	NP_010665.3
OG0000635	XP_002999513.1	NP_010666.2
OG0000636	XP_444901.1	NP_076888.3
OG0000637	XP_444902.1	NP_010668.3
OG0000638	XP_444903.1	NP_010669.1
OG0000639	XP_444904.1	NP_219495.2
OG0000640	XP_444905.1	NP_010670.3
OG0000641	XP_444906.1	NP_010671.4
OG0000642	XP_444907.1	NP_010672.1
OG0000643	XP_444909.1	NP_010674.3
OG0000644	XP_444911.1	NP_011323.3
OG0000645	XP_444912.1	NP_011321.1
OG0000646	XP_444913.1	NP_014390.2
OG0000647	XP_444917.1	NP_013132.1
OG0000648	XP_444918.1	NP_013133.1
OG0000649	XP_444919.1	NP_013134.1
OG0000650	XP_444920.1	NP_013135.1
OG0000651	XP_444921.1	NP_013139.1
OG0000652	XP_444922.1	NP_013140.1
OG0000653	XP_444923.1	NP_013141.1
OG0000654	XP_444925.1	NP_011561.3
OG0000655	XP_444926.1	NP_009700.1
OG0000656	XP_444927.1	NP_009699.2
OG0000657	XP_444928.1	NP_010944.1
OG0000658	XP_444929.1	NP_011309.1
OG0000659	XP_444930.1	NP_011310.1
OG0000660	XP_444931.1	NP_014940.4
OG0000661	XP_444932.1	NP_014941.1
OG0000662	XP_444933.1	NP_014945.3
OG0000663	XP_444934.1	NP_013307.1
OG0000664	XP_444936.1	NP_013306.2
OG0000665	XP_444937.1	NP_013304.1
OG0000666	XP_444938.1	NP_013302.1
OG0000667	XP_444939.1	NP_013301.1
OG0000668	XP_444940.2	NP_013300.2
OG0000669	XP_444941.1	NP_013298.1
OG0000670	XP_444942.1	NP_013297.1
OG0000671	XP_444943.1	NP_013296.1
OG0000672	XP_444944.1	NP_013295.1
OG0000673	XP_444945.1	NP_013294.1
OG0000674	XP_444946.1	NP_013293.1
OG0000675	XP_444947.1	NP_013292.1
OG0000676	XP_444948.1	NP_013291.1
OG0000677	XP_444950.1	NP_009502.1
OG0000678	XP_444951.1	NP_009501.1
OG0000679	XP_444953.1	NP_009498.1
OG0000680	XP_444955.1	NP_009496.2
OG0000681	XP_444956.1	NP_009495.1
OG0000682	XP_444958.2	NP_031358.1
OG0000683	XP_444957.1	NP_009494.1
OG0000684	XP_444960.1	NP_009489.1
OG0000685	XP_444961.1	NP_009487.2
OG0000686	XP_444963.1	NP_660100.1
OG0000687	XP_444965.1	NP_009479.1
OG0000688	XP_444966.1	NP_011036.1
OG0000689	XP_444967.1	NP_009471.1
OG0000690	XP_444969.1	NP_009472.1
OG0000691	XP_444970.1	NP_009473.2
OG0000692	XP_444971.1	NP_009475.1
OG0000693	XP_444972.1	NP_116707.3
OG0000694	XP_444973.1	NP_116708.1
OG0000695	XP_444974.1	NP_116709.3
OG0000696	XP_444976.1	NP_011262.1
OG0000697	XP_444977.1	NP_116710.1
OG0000698	XP_444982.1	NP_001018030.1
OG0000699	XP_444983.1	NP_009870.1
OG0000700	XP_444984.1	NP_009871.2
OG0000701	XP_444985.1	NP_009872.1
OG0000702	XP_444986.1	NP_001018031.2
OG0000703	XP_444987.2	NP_065435.1
OG0000704	XP_444988.1	NP_009874.1
OG0000705	XP_444990.1	NP_009876.1
OG0000706	XP_444991.1	NP_009877.1
OG0000707	XP_444992.1	NP_009878.1
OG0000708	XP_444998.1	NP_009883.1
OG0000709	XP_444999.1	NP_009884.1
OG0000710	XP_445000.1	NP_009886.1
OG0000711	XP_445001.1	NP_009887.1
OG0000712	XP_445003.1	NP_009891.1
OG0000713	XP_445004.1	NP_009892.1
OG0000714	XP_445006.1	NP_009896.2
OG0000715	XP_445007.1	NP_009897.1
OG0000716	XP_445008.1	NP_009898.1
OG0000717	XP_445009.1	NP_009899.1
OG0000718	XP_445010.1	NP_009900.2
OG0000719	XP_445011.1	NP_009901.1
OG0000720	XP_445012.1	NP_009902.2
OG0000721	XP_445013.1	NP_009903.2
OG0000722	XP_445014.1	NP_065436.1
OG0000723	XP_445019.1	NP_013282.1
OG0000724	XP_445020.1	NP_013283.1
OG0000725	XP_445023.1	NP_013287.1
OG0000726	XP_445027.1	NP_014492.1
OG0000727	XP_445028.1	NP_014493.1
OG0000728	XP_445029.1	NP_014496.2
OG0000729	XP_445030.1	NP_014497.1
OG0000730	XP_445031.1	NP_014498.1
OG0000731	XP_445032.1	NP_014069.1
OG0000732	XP_445033.1	NP_014499.2
OG0000733	XP_445034.1	NP_014500.2
OG0000734	XP_445035.1	NP_014501.1
OG0000735	XP_445036.1	NP_010426.1
OG0000736	XP_445037.1	NP_010425.1
OG0000737	XP_445038.1	NP_010424.3
OG0000738	XP_002999515.1	NP_010423.4
OG0000739	XP_445040.1	NP_010422.1
OG0000740	XP_445041.1	NP_010421.1
OG0000741	XP_445043.1	NP_010393.3
OG0000742	XP_445044.1	NP_010394.3
OG0000743	XP_445046.1	NP_010395.1
OG0000744	XP_445047.2	NP_010400.1
OG0000745	XP_445048.1	NP_010401.1
OG0000746	XP_445049.1	NP_010402.3
OG0000747	XP_445050.1	NP_010403.3
OG0000748	XP_002999516.1	NP_001032575.1
OG0000749	XP_445051.1	NP_010405.3
OG0000750	XP_445052.1	NP_010406.3
OG0000751	XP_445054.1	NP_010408.1
OG0000752	XP_445055.1	NP_010410.3
OG0000753	XP_445056.1	NP_010411.1
OG0000754	XP_445057.1	NP_010413.3
OG0000755	XP_445058.1	NP_010414.3
OG0000756	XP_445059.1	NP_010415.1
OG0000757	XP_445060.1	NP_011740.3
OG0000758	XP_445061.1	NP_011739.1
OG0000759	XP_445062.1	NP_011738.3
OG0000760	XP_445064.1	NP_011736.1
OG0000761	XP_445065.1	NP_011734.3
OG0000762	XP_445066.1	NP_011733.3
OG0000763	XP_445067.1	NP_011732.1
OG0000764	XP_445068.1	NP_011731.3
OG0000765	XP_445069.1	NP_013594.1
OG0000766	XP_445070.1	NP_013593.1
OG0000767	XP_445071.1	NP_013592.1
OG0000768	XP_445073.2	NP_013589.1
OG0000769	XP_445075.1	NP_013587.1
OG0000770	XP_445076.1	NP_013586.1
OG0000771	XP_445077.1	NP_013585.1
OG0000772	XP_445078.1	NP_013583.1
OG0000773	XP_445081.1	NP_013579.1
OG0000774	XP_445082.1	NP_013578.1
OG0000775	XP_445083.1	NP_010519.3
OG0000776	XP_445084.1	NP_010518.1
OG0000777	XP_445087.1	NP_010540.3
OG0000778	XP_445088.1	NP_010541.3
OG0000779	XP_445090.1	NP_013466.1
OG0000780	XP_445092.1	NP_013464.3
OG0000781	XP_445093.1	NP_013463.1
OG0000782	XP_445096.1	NP_013460.1
OG0000783	XP_445105.1	NP_013459.1
OG0000784	XP_445106.1	NP_013458.1
OG0000785	XP_445108.1	NP_013456.1
OG0000786	XP_445110.1	NP_012936.1
OG0000787	XP_445112.1	NP_009842.1
OG0000788	XP_445113.1	NP_009841.1
OG0000789	XP_445114.1	NP_009840.3
OG0000790	XP_445115.1	NP_009839.4
OG0000791	XP_445116.1	NP_009838.1
OG0000792	XP_445117.1	NP_009837.1
OG0000793	XP_445118.1	NP_009835.3
OG0000794	XP_445119.1	NP_009834.4
OG0000795	XP_445121.1	NP_013354.1
OG0000796	XP_445122.1	NP_013352.1
OG0000797	XP_445125.2	NP_009941.2
OG0000798	XP_445126.1	NP_010859.1
OG0000799	XP_445127.1	NP_010858.3
OG0000800	XP_445128.1	NP_010856.1
OG0000801	XP_445130.1	NP_010853.2
OG0000802	XP_445132.1	NP_009930.1
OG0000803	XP_445133.1	NP_012539.1
OG0000804	XP_445134.1	NP_011707.1
OG0000805	XP_445135.1	NP_012540.3
OG0000806	XP_445136.1	NP_012541.1
OG0000807	XP_445137.1	NP_012543.3
OG0000808	XP_002999519.1	NP_012544.1
OG0000809	XP_002999520.1	NP_012546.4
OG0000810	XP_445140.1	NP_012547.2
OG0000811	XP_445141.1	NP_012548.1
OG0000812	XP_445144.1	NP_012550.1
OG0000813	XP_445145.1	NP_011718.1
OG0000814	XP_445146.1	NP_012551.2
OG0000815	XP_445147.1	NP_012553.3
OG0000816	XP_445148.1	NP_015434.1
OG0000817	XP_445149.1	NP_015435.1
OG0000818	XP_445151.1	NP_015437.1
OG0000819	XP_445152.1	NP_015439.1
OG0000820	XP_445156.1	NP_009586.1
OG0000821	XP_445157.1	NP_009584.1
OG0000822	XP_445158.1	NP_009582.1
OG0000823	XP_445159.1	NP_009581.1
OG0000824	XP_445162.1	NP_009578.1
OG0000825	XP_445165.1	NP_014747.1
OG0000826	XP_445166.1	NP_014746.2
OG0000827	XP_445168.1	NP_014743.1
OG0000828	XP_445169.1	NP_014742.1
OG0000829	XP_445170.1	NP_014291.1
OG0000830	XP_445171.1	NP_014292.3
OG0000831	XP_445174.1	NP_009925.1
OG0000832	XP_445176.1	NP_009923.2
OG0000833	XP_445177.1	NP_009922.2
OG0000834	XP_445178.1	NP_009917.1
OG0000835	XP_445179.1	NP_014394.2
OG0000836	XP_445180.2	NP_976246.1
OG0000837	XP_445181.1	NP_009914.2
OG0000838	XP_445182.1	NP_009913.2
OG0000839	XP_445185.1	NP_013274.1
OG0000840	XP_445186.1	NP_013273.1
OG0000841	XP_445187.1	NP_013271.1
OG0000842	XP_445188.1	NP_013348.1
OG0000843	XP_445194.1	NP_012367.2
OG0000844	XP_445195.1	NP_012363.1
OG0000845	XP_445196.1	NP_012362.1
OG0000846	XP_445197.1	NP_012361.1
OG0000847	XP_445198.1	NP_013196.1
OG0000848	XP_445199.1	NP_013195.1
OG0000849	XP_445200.1	NP_013194.2
OG0000850	XP_445201.1	NP_009695.2
OG0000851	XP_445202.1	NP_009694.3
OG0000852	XP_445203.1	NP_009693.3
OG0000853	XP_445204.1	NP_009691.1
OG0000854	XP_445205.2	NP_009690.1
OG0000855	XP_445206.1	NP_009689.3
OG0000856	XP_445208.1	NP_009687.1
OG0000857	XP_445209.1	NP_009686.1
OG0000858	XP_445210.1	NP_009685.3
OG0000859	XP_445211.1	NP_013320.1
OG0000860	XP_445212.1	NP_013321.1
OG0000861	XP_445213.1	NP_013322.1
OG0000862	XP_445214.1	NP_013323.1
OG0000863	XP_445215.1	NP_013324.1
OG0000864	XP_445224.1	NP_013325.1
OG0000865	XP_445225.1	NP_013327.1
OG0000866	XP_445227.1	NP_010497.3
OG0000867	XP_445228.1	NP_012150.1
OG0000868	XP_445229.1	NP_012151.1
OG0000869	XP_445231.1	NP_012154.1
OG0000870	XP_002999521.1	NP_014346.1
OG0000871	XP_445232.1	NP_012156.1
OG0000872	XP_445234.1	NP_012158.1
OG0000873	XP_445236.1	NP_015140.1
OG0000874	XP_002999522.1	NP_015141.1
OG0000875	XP_445237.1	NP_015142.1
OG0000876	XP_445238.1	NP_015145.1
OG0000877	XP_445239.1	NP_015144.1
OG0000878	XP_445240.1	NP_015146.1
OG0000879	XP_445241.1	NP_015147.1
OG0000880	XP_445242.1	NP_015148.1
OG0000881	XP_445243.1	NP_009808.1
OG0000882	XP_445244.1	NP_009807.3
OG0000883	XP_445246.1	NP_009806.3
OG0000884	XP_445247.1	NP_009805.1
OG0000885	XP_445250.1	NP_009802.3
OG0000886	XP_445251.1	NP_009801.1
OG0000887	XP_445253.1	NP_009789.1
OG0000888	XP_445254.1	NP_009467.1
OG0000889	XP_445258.1	NP_009469.2
OG0000890	XP_445259.1	NP_011268.1
OG0000891	XP_445260.1	NP_011269.2
OG0000892	XP_445261.1	NP_683716.1
OG0000893	XP_445262.1	NP_116704.1
OG0000894	XP_445263.1	NP_116703.5
OG0000895	XP_445264.1	NP_116702.1
OG0000896	XP_445266.1	NP_116701.3
OG0000897	XP_445267.1	NP_116700.1
OG0000898	XP_445268.1	NP_116699.3
OG0000899	XP_445269.1	NP_116698.3
OG0000900	XP_445270.1	NP_116697.3
OG0000901	XP_445271.1	NP_010961.3
OG0000902	XP_445272.1	NP_010874.3
OG0000903	XP_445273.1	NP_010960.1
OG0000904	XP_445274.1	NP_010959.2
OG0000905	XP_445275.1	NP_010958.3
OG0000906	XP_445276.1	NP_010955.3
OG0000907	XP_445278.2	NP_010953.1
OG0000908	XP_445280.1	NP_010951.1
OG0000909	XP_445281.1	NP_010950.1
OG0000910	XP_445282.1	NP_010949.4
OG0000911	XP_445283.1	NP_010948.1
OG0000912	XP_445284.1	NP_010947.2
OG0000913	XP_445285.1	NP_010946.3
OG0000914	XP_445286.1	NP_010945.1
OG0000915	XP_445287.1	NP_013503.1
OG0000916	XP_445288.1	NP_013502.3
OG0000917	XP_445289.1	NP_013501.1
OG0000918	XP_445290.1	NP_013500.3
OG0000919	XP_002999524.1	NP_013499.1
OG0000920	XP_445291.1	NP_013498.3
OG0000921	XP_445292.1	NP_013497.1
OG0000922	XP_445293.1	NP_013496.3
OG0000923	XP_445294.1	NP_009392.2
OG0000924	XP_445295.1	NP_009393.1
OG0000925	XP_445296.1	NP_009394.1
OG0000926	XP_445298.1	NP_011841.1
OG0000927	XP_445299.1	NP_014905.1
OG0000928	XP_445300.1	NP_014907.3
OG0000929	XP_445301.1	NP_014908.1
OG0000930	XP_445302.1	NP_014909.3
OG0000931	XP_445305.1	NP_014912.1
OG0000932	XP_445308.1	NP_009980.1
OG0000933	XP_445309.1	NP_009981.1
OG0000934	XP_445310.1	NP_011308.1
OG0000935	XP_445311.1	NP_010943.3
OG0000936	XP_445313.1	NP_013374.1
OG0000937	XP_445314.1	NP_013370.1
OG0000938	XP_445315.1	NP_013060.1
OG0000939	XP_445317.1	NP_013058.1
OG0000940	XP_445321.1	NP_013049.1
OG0000941	XP_445322.1	NP_014452.1
OG0000942	XP_445323.1	NP_014451.1
OG0000943	XP_445324.1	NP_014450.3
OG0000944	XP_445325.1	NP_014449.1
OG0000945	XP_445326.1	NP_014448.1
OG0000946	XP_445327.1	NP_014447.3
OG0000947	XP_445330.1	NP_014444.1
OG0000948	XP_445331.1	NP_014443.3
OG0000949	XP_445333.1	NP_010012.1
OG0000950	XP_445335.1	NP_014441.1
OG0000951	XP_445336.1	NP_014439.3
OG0000952	XP_445337.1	NP_014438.3
OG0000953	XP_445338.1	NP_010374.1
OG0000954	XP_445340.1	NP_012259.3
OG0000955	XP_445341.1	NP_012258.3
OG0000956	XP_445343.1	NP_012255.3
OG0000957	XP_445344.1	NP_012254.1
OG0000958	XP_445353.1	NP_010290.3
OG0000959	XP_445357.1	NP_009561.2
OG0000960	XP_445358.1	NP_009560.1
OG0000961	XP_445360.1	NP_009558.2
OG0000962	XP_445361.1	NP_009557.1
OG0000963	XP_445362.1	NP_009556.1
OG0000964	XP_445363.1	NP_010285.1
OG0000965	XP_445365.1	NP_009554.1
OG0000966	XP_445368.1	NP_010281.1
OG0000967	XP_445369.1	NP_010280.1
OG0000968	XP_445370.1	NP_010279.3
OG0000969	XP_445371.1	NP_010278.3
OG0000970	XP_445372.1	NP_012630.1
OG0000971	XP_445373.1	NP_012631.3
OG0000972	XP_445374.1	NP_012632.2
OG0000973	XP_445375.1	NP_012633.1
OG0000974	XP_445376.1	NP_012634.3
OG0000975	XP_445377.1	NP_012635.1
OG0000976	XP_445378.1	NP_012636.1
OG0000977	XP_445379.1	NP_012638.1
OG0000979	XP_445381.1	NP_012649.3
OG0000980	XP_445382.1	NP_012647.1
OG0000981	XP_445384.1	NP_012646.3
OG0000982	XP_445385.1	NP_012645.1
OG0000983	XP_445386.1	NP_012644.1
OG0000984	XP_445388.1	NP_012641.2
OG0000985	XP_445389.1	NP_012640.4
OG0000986	XP_445390.1	NP_012639.1
OG0000987	XP_445391.1	NP_009411.2
OG0000988	XP_445395.1	NP_014584.1
OG0000989	XP_445396.1	NP_014583.2
OG0000990	XP_445398.1	NP_014581.1
OG0000991	XP_445399.1	NP_014580.1
OG0000992	XP_445400.1	NP_014579.1
OG0000993	XP_445401.1	NP_014578.1
OG0000994	XP_445402.1	NP_014577.1
OG0000995	XP_445403.1	NP_014576.1
OG0000996	XP_445404.1	NP_014575.1
OG0000997	XP_445405.1	NP_010244.1
OG0000998	XP_445406.1	NP_014574.1
OG0000999	XP_445410.1	NP_010051.1
OG0001000	XP_445411.1	NP_010050.1
OG0001001	XP_002999526.1	NP_010049.1
OG0001002	XP_445413.1	NP_010047.1
OG0001003	XP_445414.1	NP_010045.1
OG0001004	XP_445415.1	NP_010044.2
OG0001005	XP_445416.1	NP_010043.1
OG0001006	XP_445417.1	NP_014174.1
OG0001007	XP_445418.1	NP_010041.2
OG0001008	XP_448786.1	NP_009971.1
OG0001009	XP_448787.1	NP_012368.1
OG0001010	XP_448788.1	NP_012749.1
OG0001011	XP_448789.1	NP_013614.1
OG0001012	XP_448790.1	NP_013616.1
