Orthogroup	CBS138_protein	BG2_protein
OG0000384	XP_447054.1	QNG14396.1
OG0000385	XP_447119.1	QNG14464.1
OG0000386	XP_447150.1	QNG14495.1
OG0000387	XP_447178.1	QNG14523.1
OG0000388	XP_447189.1	QNG14534.1
OG0000389	XP_447191.1	QNG14536.1
OG0000390	XP_445421.1	QNG14609.1
OG0000391	XP_445422.1	QNG14610.1
OG0000392	XP_447475.1	QNG14633.1
OG0000393	XP_447488.1	QNG14646.1
OG0000394	XP_447493.1	QNG14651.1
OG0000395	XP_447518.1	QNG14677.1
OG0000396	XP_447538.1	QNG14698.1
OG0000397	XP_447572.1	QNG14732.1
OG0000398	XP_447586.1	QNG14746.1
OG0000399	XP_447635.1	QNG14796.1
OG0000400	XP_447656.1	QNG14817.1
OG0000401	XP_447659.1	QNG14820.1
OG0000402	XP_447687.1	QNG14849.1
OG0000403	XP_447691.1	QNG14852.1
OG0000404	XP_447696.1	QNG14857.1
OG0000405	XP_447703.1	QNG14864.1
OG0000406	XP_447712.1	QNG14872.1
OG0000407	XP_447719.1	QNG14881.1
OG0000408	XP_447727.1	QNG14889.1
OG0000409	XP_447744.1	QNG14906.1
OG0000410	XP_447749.1	QNG14911.1
OG0000411	XP_447773.1	QNG14936.1
OG0000412	XP_447780.1	QNG14942.1
OG0000413	XP_447783.1	QNG14945.1
OG0000413	XP_002999568.1	QNG14947.1
OG0000414	XP_447807.1	QNG14969.1
OG0000415	XP_447830.1	QNG14992.1
OG0000416	XP_447841.1	QNG15002.1
OG0000417	XP_447845.1	QNG15006.1
OG0000418	XP_447857.1	QNG15019.1
OG0000419	XP_447871.1	QNG15032.1
OG0000420	XP_447884.1	QNG15045.1
OG0000421	XP_447963.1	QNG15124.1
OG0000422	XP_447969.1	QNG15130.1
OG0000423	XP_447981.1	QNG15143.1
OG0000424	XP_447984.1	QNG15147.1
OG0000425	XP_447993.1	QNG15156.1
OG0000426	XP_448068.1	QNG15232.1
OG0000427	XP_448072.1	QNG15235.1
OG0000428	XP_448081.1	QNG15244.1
OG0000429	XP_448104.1	QNG15266.1
OG0000430	XP_448140.1	QNG15302.1
OG0000431	XP_448148.1	QNG15310.1
OG0000432	XP_448150.1	QNG15312.1
OG0000433	XP_448152.1	QNG15313.1
OG0000434	XP_448185.1	QNG15346.1
OG0000435	XP_448196.1	QNG15357.1
OG0000436	XP_448255.1	QNG15420.1
OG0000437	XP_448259.1	QNG15424.1
OG0000438	XP_448299.1	QNG15464.1
OG0000439	XP_448317.1	QNG15482.1
OG0000440	XP_448319.1	QNG15484.1
OG0000441	XP_448371.1	QNG15537.1
OG0000442	XP_448379.1	QNG15546.1
OG0000443	XP_448381.1	QNG15548.1
OG0000444	XP_448386.1	QNG15553.1
OG0000445	XP_448405.1	QNG15572.1
OG0000446	XP_448454.1	QNG15620.1
OG0000447	XP_448455.1	QNG15621.1
OG0000448	XP_448471.1	QNG15638.1
OG0000449	XP_448474.1	QNG15641.1
OG0000450	XP_002999578.1	QNG15646.1
OG0000451	XP_448490.1	QNG15658.1
OG0000452	XP_448502.1	QNG15671.1
OG0000453	XP_448509.1	QNG15678.1
OG0000454	XP_448514.1	QNG15683.1
OG0000455	XP_448516.1	QNG15685.1
OG0000456	XP_448519.1	QNG15688.1
OG0000457	XP_448528.1	QNG15697.1
OG0000458	XP_448542.1	QNG15713.1
OG0000459	XP_448543.1	QNG15714.1
OG0000460	XP_448580.1	QNG15750.1
OG0000461	XP_448584.1	QNG15754.1
OG0000462	XP_448586.1	QNG15756.1
OG0000463	XP_448620.1	QNG15790.1
OG0000464	XP_448668.1	QNG15839.1
OG0000465	XP_002999583.1	QNG15862.1
OG0000466	XP_448702.1	QNG15875.1
OG0000467	XP_448714.1	QNG15887.1
OG0000468	XP_448726.1	QNG15898.1
OG0000469	XP_447279.1	QNG15973.1
OG0000470	XP_447286.1	QNG15980.1
OG0000471	XP_447288.1	QNG15982.1
OG0000472	XP_447316.1	QNG16010.1
OG0000473	XP_447346.1	QNG16040.1
OG0000474	XP_447385.1	QNG16077.1
OG0000475	XP_447420.1	QNG16112.1
OG0000476	XP_447438.1	QNG16131.1
OG0000477	XP_447447.1	QNG16140.1
OG0000478	XP_447450.1	QNG16143.1
OG0000479	XP_002999558.1	QNG16165.1
OG0000480	XP_448847.1	QNG16196.1
OG0000481	XP_448851.1	QNG16202.1
OG0000482	XP_448852.1	QNG16203.1
OG0000483	XP_449123.1	QNG16267.1
OG0000484	XP_449103.1	QNG16287.1
OG0000485	XP_449091.1	QNG16299.1
OG0000486	XP_449076.2	QNG16314.1
OG0000487	XP_449021.1	QNG16368.1
OG0000488	XP_448986.1	QNG16402.1
OG0000489	XP_448961.1	QNG16429.1
OG0000490	XP_448947.1	QNG16443.1
OG0000491	XP_448946.1	QNG16444.1
OG0000492	XP_448930.1	QNG16460.1
OG0000493	XP_448885.1	QNG16505.1
OG0000494	XP_449183.1	QNG16538.1
OG0000495	XP_449204.1	QNG16558.1
OG0000496	XP_449207.1	QNG16563.1
OG0000497	XP_449222.1	QNG16579.1
OG0000498	XP_449236.1	QNG16593.1
OG0000499	XP_449258.1	QNG16615.1
OG0000500	XP_449263.1	QNG16620.1
OG0000501	XP_449266.2	QNG16623.1
OG0000502	XP_449268.1	QNG16625.1
OG0000503	XP_449284.1	QNG16641.1
OG0000504	XP_449305.1	QNG16662.1
OG0000505	XP_449309.1	QNG16666.1
OG0000506	XP_449313.1	QNG16668.1
OG0000507	XP_449314.1	QNG16669.1
OG0000508	XP_449330.1	QNG16685.1
OG0000509	XP_449345.1	QNG16700.1
OG0000510	XP_449381.1	QNG16739.1
OG0000511	XP_449454.1	QNG16813.1
OG0000512	XP_449470.1	QNG16828.1
OG0000513	XP_449483.1	QNG16841.1
OG0000514	XP_449484.1	QNG16842.1
OG0000515	XP_449504.1	QNG16864.1
OG0000516	XP_449508.1	QNG16868.1
OG0000517	XP_449537.1	QNG16897.1
OG0000518	XP_449546.1	QNG16906.1
OG0000519	XP_449559.1	QNG16920.1
OG0000520	XP_449562.1	QNG16923.1
OG0000521	XP_449566.1	QNG16927.1
OG0000522	XP_449585.1	QNG16946.1
OG0000523	XP_449600.1	QNG16962.1
OG0000524	XP_449603.1	QNG16965.1
OG0000525	XP_449611.1	QNG16973.1
OG0000526	XP_449618.1	QNG16980.1
OG0000527	XP_449631.1	QNG16993.1
OG0000528	XP_449697.1	QNG17059.1
OG0000529	XP_449699.1	QNG17061.1
OG0000530	XP_449719.1	QNG17081.1
OG0000531	XP_449724.1	QNG17086.1
OG0000532	XP_449741.1	QNG17103.1
OG0000533	XP_449755.1	QNG17117.1
OG0000534	XP_449792.1	QNG17155.1
OG0000535	XP_449800.1	QNG17163.1
OG0000536	XP_449806.1	QNG17169.1
OG0000537	XP_449812.1	QNG17175.1
OG0000538	XP_002999605.1	QNG17179.1
OG0000539	XP_449877.1	QNG17245.1
OG0000540	XP_449878.1	QNG17246.1
OG0000541	XP_449879.1	QNG17247.1
OG0000542	XP_449882.1	QNG17250.1
OG0000543	XP_449901.1	QNG17267.1
OG0000544	XP_449920.1	QNG17286.1
OG0000545	XP_449923.1	QNG17290.1
OG0000556	XP_444780.1	QNG12110.1
OG0000557	XP_444781.1	QNG12111.1
OG0000558	XP_444783.1	QNG12113.1
OG0000559	XP_444784.1	QNG12114.1
OG0000560	XP_444785.1	QNG12115.1
OG0000561	XP_444786.1	QNG12116.1
OG0000562	XP_444787.1	QNG12117.1
OG0000563	XP_444788.1	QNG12118.1
OG0000564	XP_444789.1	QNG12119.1
OG0000565	XP_444790.1	QNG12120.1
OG0000566	XP_444791.1	QNG12121.1
OG0000567	XP_444793.1	QNG12123.1
OG0000568	XP_444795.1	QNG12125.1
OG0000569	XP_444796.1	QNG12126.1
OG0000570	XP_444797.1	QNG12127.1
OG0000571	XP_444799.1	QNG12129.1
OG0000572	XP_444804.1	QNG12136.1
OG0000573	XP_444805.1	QNG12137.1
OG0000574	XP_444807.1	QNG12139.1
OG0000575	XP_444808.1	QNG12140.1
OG0000576	XP_444809.1	QNG12141.1
OG0000577	XP_444810.1	QNG12142.1
OG0000578	XP_444811.1	QNG12143.1
OG0000579	XP_444813.1	QNG12145.1
OG0000580	XP_444814.1	QNG12146.1
OG0000581	XP_444816.1	QNG12148.1
OG0000582	XP_444817.1	QNG12149.1
OG0000583	XP_444818.1	QNG12150.1
OG0000584	XP_444819.1	QNG12151.1
OG0000585	XP_444820.1	QNG12152.1
OG0000586	XP_444821.1	QNG12153.1
OG0000587	XP_444822.1	QNG12154.1
OG0000588	XP_444823.1	QNG12156.1
OG0000589	XP_444825.1	QNG12158.1
OG0000590	XP_444829.1	QNG12163.1
OG0000591	XP_444830.1	QNG12164.1
OG0000592	XP_444832.1	QNG12166.1
OG0000593	XP_444834.1	QNG12168.1
OG0000594	XP_444835.1	QNG12169.1
OG0000595	XP_444836.1	QNG12170.1
OG0000596	XP_444839.1	QNG12173.1
OG0000597	XP_444840.1	QNG12174.1
OG0000598	XP_444841.1	QNG12175.1
OG0000599	XP_444846.1	QNG12180.1
OG0000600	XP_444849.1	QNG12183.1
OG0000601	XP_444850.1	QNG12184.1
OG0000602	XP_444851.1	QNG12185.1
OG0000603	XP_444852.1	QNG12186.1
OG0000604	XP_444853.1	QNG12187.1
OG0000605	XP_444855.1	QNG12189.1
OG0000606	XP_444856.1	QNG12190.1
OG0000607	XP_444857.1	QNG12191.1
OG0000608	XP_444863.1, XP_444862.1	QNG12196.1
OG0000609	XP_444867.1	QNG12200.1
OG0000610	XP_444868.1	QNG12201.1
OG0000611	XP_444869.1	QNG12202.1
OG0000612	XP_444870.1	QNG12203.1
OG0000613	XP_444871.1	QNG12204.1
OG0000614	XP_444873.1	QNG12206.1
OG0000615	XP_444876.1	QNG12209.1
OG0000616	XP_444877.1	QNG12210.1
OG0000617	XP_444878.1	QNG12211.1
OG0000618	XP_444880.1	QNG12213.1
OG0000619	XP_444881.1	QNG12214.1
OG0000620	XP_444882.1	QNG12215.1
OG0000621	XP_444883.1	QNG12216.1
OG0000622	XP_444884.1	QNG12217.1
OG0000623	XP_444885.1	QNG12218.1
OG0000624	XP_444886.1	QNG12219.1
OG0000625	XP_444887.1	QNG12220.1
OG0000626	XP_444889.1	QNG12222.1
OG0000627	XP_444890.1	QNG12223.1
OG0000628	XP_444892.1	QNG12225.1
OG0000629	XP_444893.1	QNG12226.1
OG0000630	XP_444894.1	QNG12227.1
OG0000631	XP_444895.1	QNG12228.1
OG0000632	XP_444896.1	QNG12230.1
OG0000633	XP_444897.1	QNG12231.1
OG0000634	XP_444898.1	QNG12232.1
OG0000635	XP_002999513.1	QNG12233.1
OG0000636	XP_444901.1	QNG12235.1
OG0000637	XP_444902.1	QNG12236.1
OG0000638	XP_444903.1	QNG12237.1
OG0000639	XP_444904.1	QNG12238.1
OG0000640	XP_444905.1	QNG12239.1
OG0000641	XP_444906.1	QNG12240.1
OG0000642	XP_444907.1	QNG12241.1
OG0000643	XP_444909.1	QNG12243.1
OG0000644	XP_444911.1	QNG12245.1
OG0000645	XP_444912.1	QNG12246.1
OG0000646	XP_444913.1	QNG12247.1
OG0000647	XP_444917.1	QNG12251.1
OG0000648	XP_444918.1	QNG12252.1
OG0000649	XP_444919.1	QNG12253.1
OG0000650	XP_444920.1	QNG12254.1
OG0000651	XP_444921.1	QNG12255.1
OG0000652	XP_444922.1	QNG12256.1
OG0000653	XP_444923.1	QNG12257.1
OG0000654	XP_444925.1	QNG12259.1
OG0000655	XP_444926.1	QNG12260.1
OG0000656	XP_444927.1	QNG12261.1
OG0000657	XP_444928.1	QNG12262.1
OG0000658	XP_444929.1	QNG12263.1
OG0000659	XP_444930.1	QNG12264.1
OG0000660	XP_444931.1	QNG12265.1
OG0000661	XP_444932.1	QNG12266.1
OG0000662	XP_444933.1	QNG12267.1
OG0000663	XP_444934.1	QNG12268.1
OG0000664	XP_444936.1	QNG12270.1
OG0000665	XP_444937.1	QNG12271.1
OG0000666	XP_444938.1	QNG12272.1
OG0000667	XP_444939.1	QNG12273.1
OG0000668	XP_444940.2	QNG12274.1
OG0000669	XP_444941.1	QNG12275.1
OG0000670	XP_444942.1	QNG12276.1
OG0000671	XP_444943.1	QNG12277.1
OG0000672	XP_444944.1	QNG12278.1
OG0000673	XP_444945.1	QNG12279.1
OG0000674	XP_444946.1	QNG12280.1
OG0000675	XP_444947.1	QNG12281.1
OG0000676	XP_444948.1	QNG12282.1
OG0000677	XP_444950.1	QNG12284.1
OG0000678	XP_444951.1	QNG12285.1
OG0000679	XP_444953.1	QNG12287.1
OG0000680	XP_444955.1	QNG12289.1
OG0000681	XP_444956.1	QNG12290.1
OG0000682	XP_444958.2	QNG12291.1
OG0000683	XP_444957.1	QNG12292.1
OG0000684	XP_444960.1	QNG12294.1
OG0000685	XP_444961.1	QNG12295.1
OG0000686	XP_444963.1	QNG12297.1
OG0000687	XP_444965.1	QNG12299.1
OG0000688	XP_444966.1	QNG12300.1
OG0000689	XP_444967.1	QNG12301.1
OG0000690	XP_444969.1	QNG12302.1
OG0000691	XP_444970.1	QNG12303.1
OG0000692	XP_444971.1	QNG12304.1
OG0000693	XP_444972.1	QNG12305.1
OG0000694	XP_444973.1	QNG12306.1
OG0000695	XP_444974.1	QNG12307.1
OG0000696	XP_444976.1	QNG12308.1
OG0000697	XP_444977.1	QNG12309.1
OG0000698	XP_444982.1	QNG12316.1
OG0000699	XP_444983.1	QNG12317.1
OG0000700	XP_444984.1	QNG12318.1
OG0000701	XP_444985.1	QNG12319.1
OG0000702	XP_444986.1	QNG12320.1
OG0000703	XP_444987.2	QNG12321.1
OG0000704	XP_444988.1	QNG12322.1
OG0000705	XP_444990.1	QNG12324.1
OG0000706	XP_444991.1	QNG12325.1
OG0000707	XP_444992.1	QNG12326.1
OG0000708	XP_444998.1	QNG12331.1
OG0000709	XP_444999.1	QNG12332.1
OG0000710	XP_445000.1	QNG12333.1
OG0000711	XP_445001.1	QNG12334.1
OG0000712	XP_445003.1	QNG12337.1
OG0000713	XP_445004.1	QNG12338.1
OG0000714	XP_445006.1	QNG12340.1
OG0000715	XP_445007.1	QNG12341.1
OG0000716	XP_445008.1	QNG12342.1
OG0000717	XP_445009.1	QNG12343.1
OG0000718	XP_445010.1	QNG12344.1
OG0000719	XP_445011.1	QNG12345.1
OG0000720	XP_445012.1	QNG12346.1
OG0000721	XP_445013.1	QNG12347.1
OG0000722	XP_445014.1	QNG12348.1
OG0000723	XP_445019.1	QNG12353.1
OG0000724	XP_445020.1	QNG12354.1
OG0000725	XP_445023.1	QNG12357.1
OG0000726	XP_445027.1	QNG12360.1
OG0000727	XP_445028.1	QNG12361.1
OG0000728	XP_445029.1	QNG12362.1
OG0000729	XP_445030.1	QNG12363.1
OG0000730	XP_445031.1	QNG12364.1
OG0000731	XP_445032.1	QNG12365.1
OG0000732	XP_445033.1	QNG12366.1
OG0000733	XP_445034.1	QNG12367.1
OG0000734	XP_445035.1	QNG12368.1
OG0000735	XP_445036.1	QNG12369.1
OG0000736	XP_445037.1	QNG12370.1
OG0000737	XP_445038.1	QNG12371.1
OG0000738	XP_002999515.1	QNG12372.1
OG0000739	XP_445040.1	QNG12374.1
OG0000740	XP_445041.1	QNG12375.1
OG0000741	XP_445043.1	QNG12377.1
OG0000742	XP_445044.1	QNG12378.1
OG0000743	XP_445046.1	QNG12380.1
OG0000744	XP_445047.2	QNG12381.1
OG0000745	XP_445048.1	QNG12382.1
OG0000746	XP_445049.1	QNG12383.1
OG0000747	XP_445050.1	QNG12384.1
OG0000748	XP_002999516.1	QNG12385.1
OG0000749	XP_445051.1	QNG12386.1
OG0000750	XP_445052.1	QNG12387.1
OG0000751	XP_445054.1	QNG12389.1
OG0000752	XP_445055.1	QNG12390.1
OG0000753	XP_445056.1	QNG12391.1
OG0000754	XP_445057.1	QNG12392.1
OG0000755	XP_445058.1	QNG12393.1
OG0000756	XP_445059.1	QNG12394.1
OG0000757	XP_445060.1	QNG12395.1
OG0000758	XP_445061.1	QNG12396.1
OG0000759	XP_445062.1	QNG12397.1
OG0000760	XP_445064.1	QNG12399.1
OG0000761	XP_445065.1	QNG12400.1
OG0000762	XP_445066.1	QNG12401.1
OG0000763	XP_445067.1	QNG12402.1
OG0000764	XP_445068.1	QNG12403.1
OG0000765	XP_445069.1	QNG12404.1
OG0000766	XP_445070.1	QNG12405.1
OG0000767	XP_445071.1	QNG12406.1
OG0000768	XP_445073.2	QNG12408.1
OG0000769	XP_445075.1	QNG12410.1
OG0000770	XP_445076.1	QNG12411.1
OG0000771	XP_445077.1	QNG12412.1
OG0000772	XP_445078.1	QNG12413.1
OG0000773	XP_445081.1	QNG12416.1
OG0000774	XP_445082.1	QNG12417.1
OG0000775	XP_445083.1	QNG12418.1
OG0000776	XP_445084.1	QNG12419.1
OG0000777	XP_445087.1	QNG12422.1
OG0000778	XP_445088.1	QNG12423.1
OG0000779	XP_445090.1	QNG12425.1
OG0000780	XP_445092.1	QNG12428.1
OG0000781	XP_445093.1	QNG12429.1
OG0000782	XP_445096.1	QNG12432.1
OG0000783	XP_445105.1	QNG12439.1
OG0000784	XP_445106.1	QNG12440.1
OG0000785	XP_445108.1	QNG12442.1
OG0000786	XP_445110.1	QNG12444.1
OG0000787	XP_445112.1	QNG12446.1
OG0000788	XP_445113.1	QNG12447.1
OG0000789	XP_445114.1	QNG12448.1
OG0000790	XP_445115.1	QNG12449.1
OG0000791	XP_445116.1	QNG12450.1
OG0000792	XP_445117.1	QNG12451.1
OG0000793	XP_445118.1	QNG12452.1
OG0000794	XP_445119.1	QNG12453.1
OG0000795	XP_445121.1	QNG12455.1
OG0000796	XP_445122.1	QNG12456.1
OG0000797	XP_445125.2	QNG12459.1
OG0000798	XP_445126.1	QNG12460.1
OG0000799	XP_445127.1	QNG12461.1
OG0000800	XP_445128.1	QNG12462.1
OG0000801	XP_445130.1	QNG12465.1
OG0000802	XP_445132.1	QNG12467.1
OG0000803	XP_445133.1	QNG12468.1
OG0000804	XP_445134.1	QNG12469.1
OG0000805	XP_445135.1	QNG12470.1
OG0000806	XP_445136.1	QNG12471.1
OG0000807	XP_445137.1	QNG12472.1
OG0000808	XP_002999519.1	QNG12473.1
OG0000809	XP_002999520.1	QNG12476.1
OG0000810	XP_445140.1	QNG12477.1
OG0000811	XP_445141.1	QNG12478.1
OG0000812	XP_445144.1	QNG12481.1
OG0000813	XP_445145.1	QNG12482.1
OG0000814	XP_445146.1	QNG12483.1
OG0000815	XP_445147.1	QNG12484.1
OG0000816	XP_445148.1	QNG12485.1
OG0000817	XP_445149.1	QNG12486.1
OG0000818	XP_445151.1	QNG12488.1
OG0000819	XP_445152.1	QNG12489.1
OG0000820	XP_445156.1	QNG12493.1
OG0000821	XP_445157.1	QNG12494.1
OG0000822	XP_445158.1	QNG12495.1
OG0000823	XP_445159.1	QNG12496.1
OG0000824	XP_445162.1	QNG12499.1
OG0000825	XP_445165.1	QNG12502.1
OG0000826	XP_445166.1	QNG12503.1
OG0000827	XP_445168.1	QNG12505.1
OG0000828	XP_445169.1	QNG12506.1
OG0000829	XP_445170.1	QNG12507.1
OG0000830	XP_445171.1	QNG12508.1
OG0000831	XP_445174.1	QNG12511.1
OG0000832	XP_445176.1	QNG12513.1
OG0000833	XP_445177.1	QNG12514.1
OG0000834	XP_445178.1	QNG12515.1
OG0000835	XP_445179.1	QNG12516.1
OG0000836	XP_445180.2	QNG12517.1
OG0000837	XP_445181.1	QNG12518.1
OG0000838	XP_445182.1	QNG12519.1
OG0000839	XP_445185.1	QNG12522.1
OG0000840	XP_445186.1	QNG12523.1
OG0000841	XP_445187.1	QNG12524.1
OG0000842	XP_445188.1	QNG12525.1
OG0000843	XP_445194.1	QNG12532.1
OG0000844	XP_445195.1	QNG12533.1
OG0000845	XP_445196.1	QNG12534.1
OG0000846	XP_445197.1	QNG12535.1
OG0000847	XP_445198.1	QNG12536.1
OG0000848	XP_445199.1	QNG12537.1
OG0000849	XP_445200.1	QNG12538.1
OG0000850	XP_445201.1	QNG12539.1
OG0000851	XP_445202.1	QNG12540.1
OG0000852	XP_445203.1	QNG12541.1
OG0000853	XP_445204.1	QNG12542.1
OG0000854	XP_445205.2	QNG12543.1
OG0000855	XP_445206.1	QNG12544.1
OG0000856	XP_445208.1	QNG12546.1
OG0000857	XP_445209.1	QNG12547.1
OG0000858	XP_445210.1	QNG12548.1
OG0000859	XP_445211.1	QNG12549.1
OG0000860	XP_445212.1	QNG12550.1
OG0000861	XP_445213.1	QNG12551.1
OG0000862	XP_445214.1	QNG12552.1
OG0000863	XP_445215.1	QNG12553.1
OG0000864	XP_445224.1	QNG12559.1
OG0000865	XP_445225.1	QNG12560.1
OG0000866	XP_445227.1	QNG12562.1
OG0000867	XP_445228.1	QNG12563.1
OG0000868	XP_445229.1	QNG12564.1
OG0000869	XP_445231.1	QNG12566.1
OG0000870	XP_002999521.1	QNG12567.1
OG0000871	XP_445232.1	QNG12568.1
OG0000872	XP_445234.1	QNG12570.1
OG0000873	XP_445236.1	QNG12572.1
OG0000874	XP_002999522.1	QNG12573.1
OG0000875	XP_445237.1	QNG12574.1
OG0000876	XP_445238.1	QNG12575.1
OG0000877	XP_445239.1	QNG12576.1
OG0000878	XP_445240.1	QNG12577.1
OG0000879	XP_445241.1	QNG12578.1
OG0000880	XP_445242.1	QNG12579.1
OG0000881	XP_445243.1	QNG12580.1
OG0000882	XP_445244.1	QNG12581.1
OG0000883	XP_445246.1	QNG12583.1
OG0000884	XP_445247.1	QNG12584.1
OG0000885	XP_445250.1	QNG12587.1
OG0000886	XP_445251.1	QNG12588.1
OG0000887	XP_445253.1	QNG12590.1
OG0000888	XP_445254.1	QNG12591.1
OG0000889	XP_445258.1	QNG12594.1
OG0000890	XP_445259.1	QNG12596.1
OG0000891	XP_445260.1	QNG12597.1
OG0000892	XP_445261.1	QNG12598.1
OG0000893	XP_445262.1	QNG12599.1
OG0000894	XP_445263.1	QNG12600.1
OG0000895	XP_445264.1	QNG12601.1
OG0000896	XP_445266.1	QNG12603.1
OG0000897	XP_445267.1	QNG12604.1
OG0000898	XP_445268.1	QNG12605.1
OG0000899	XP_445269.1	QNG12606.1
OG0000900	XP_445270.1	QNG12607.1
OG0000901	XP_445271.1	QNG12608.1
OG0000902	XP_445272.1	QNG12609.1
OG0000903	XP_445273.1	QNG12610.1
OG0000904	XP_445274.1	QNG12611.1
OG0000905	XP_445275.1	QNG12612.1
OG0000906	XP_445276.1	QNG12613.1
OG0000907	XP_445278.2	QNG12615.1
OG0000908	XP_445280.1	QNG12617.1
OG0000909	XP_445281.1	QNG12618.1
OG0000910	XP_445282.1	QNG12619.1
OG0000911	XP_445283.1	QNG12620.1
OG0000912	XP_445284.1	QNG12621.1
OG0000913	XP_445285.1	QNG12622.1
OG0000914	XP_445286.1	QNG12623.1
OG0000915	XP_445287.1	QNG12624.1
OG0000916	XP_445288.1	QNG12625.1
OG0000917	XP_445289.1	QNG12626.1
OG0000918	XP_445290.1	QNG12627.1
OG0000919	XP_002999524.1	QNG12628.1
OG0000920	XP_445291.1	QNG12629.1
OG0000921	XP_445292.1	QNG12630.1
OG0000922	XP_445293.1	QNG12631.1
OG0000923	XP_445294.1	QNG12632.1
OG0000924	XP_445295.1	QNG12633.1
OG0000925	XP_445296.1	QNG12634.1
OG0000926	XP_445298.1	QNG12636.1
OG0000927	XP_445299.1	QNG12637.1
OG0000928	XP_445300.1	QNG12638.1
OG0000929	XP_445301.1	QNG12639.1
OG0000930	XP_445302.1	QNG12640.1
OG0000931	XP_445305.1	QNG12642.1
OG0000932	XP_445308.1	QNG12645.1
OG0000933	XP_445309.1	QNG12646.1
OG0000934	XP_445310.1	QNG12647.1
OG0000935	XP_445311.1	QNG12648.1
OG0000936	XP_445313.1	QNG12650.1
OG0000937	XP_445314.1	QNG12651.1
OG0000938	XP_445315.1	QNG12652.1
OG0000939	XP_445317.1	QNG12654.1
OG0000940	XP_445321.1	QNG12658.1
OG0000941	XP_445322.1	QNG12659.1
OG0000942	XP_445323.1	QNG12660.1
OG0000943	XP_445324.1	QNG12661.1
OG0000944	XP_445325.1	QNG12662.1
OG0000945	XP_445326.1	QNG12663.1
OG0000946	XP_445327.1	QNG12664.1
OG0000947	XP_445330.1	QNG12667.1
OG0000948	XP_445331.1	QNG12668.1
OG0000949	XP_445333.1	QNG12670.1
OG0000950	XP_445335.1	QNG12672.1
OG0000951	XP_445336.1	QNG12673.1
OG0000952	XP_445337.1	QNG12674.1
OG0000953	XP_445338.1	QNG12675.1
OG0000954	XP_445340.1	QNG12677.1
OG0000955	XP_445341.1	QNG12678.1
OG0000956	XP_445343.1	QNG12679.1
OG0000957	XP_445344.1	QNG12680.1
OG0000958	XP_445353.1	QNG12686.1
OG0000959	XP_445357.1	QNG12689.1
OG0000960	XP_445358.1	QNG12690.1
OG0000961	XP_445360.1	QNG12692.1
OG0000962	XP_445361.1	QNG12693.1
OG0000963	XP_445362.1	QNG12694.1
OG0000964	XP_445363.1	QNG12695.1
OG0000965	XP_445365.1	QNG12697.1
OG0000966	XP_445368.1	QNG12700.1
OG0000967	XP_445369.1	QNG12701.1
OG0000968	XP_445370.1	QNG12702.1
OG0000969	XP_445371.1	QNG12703.1
OG0000970	XP_445372.1	QNG12704.1
OG0000971	XP_445373.1	QNG12705.1
OG0000972	XP_445374.1	QNG12706.1
OG0000973	XP_445375.1	QNG12707.1
OG0000974	XP_445376.1	QNG12708.1
OG0000975	XP_445377.1	QNG12709.1
OG0000976	XP_445378.1	QNG12710.1
OG0000977	XP_445379.1	QNG12711.1
OG0000978	XP_445380.1, XP_445256.2	QNG12712.1
OG0000979	XP_445381.1	QNG12713.1
OG0000980	XP_445382.1	QNG12714.1
OG0000981	XP_445384.1	QNG12716.1
OG0000982	XP_445385.1	QNG12717.1
OG0000983	XP_445386.1	QNG12718.1
OG0000984	XP_445388.1	QNG12721.1
OG0000985	XP_445389.1	QNG12722.1
OG0000986	XP_445390.1	QNG12723.1
OG0000987	XP_445391.1	QNG12724.1
OG0000988	XP_445395.1	QNG12728.1
OG0000989	XP_445396.1	QNG12729.1
OG0000990	XP_445398.1	QNG12731.1
OG0000991	XP_445399.1	QNG12732.1
OG0000992	XP_445400.1	QNG12733.1
OG0000993	XP_445401.1	QNG12734.1
OG0000994	XP_445402.1	QNG12735.1
OG0000995	XP_445403.1	QNG12736.1
OG0000996	XP_445404.1	QNG12737.1
OG0000997	XP_445405.1	QNG12738.1
OG0000998	XP_445406.1	QNG12739.1
OG0000999	XP_445410.1	QNG12742.1
OG0001000	XP_445411.1	QNG12743.1
OG0001001	XP_002999526.1	QNG12744.1
OG0001002	XP_445413.1	QNG12746.1
OG0001003	XP_445414.1	QNG12747.1
OG0001004	XP_445415.1	QNG12748.1
OG0001005	XP_445416.1	QNG12749.1
OG0001006	XP_445417.1	QNG12750.1
OG0001007	XP_445418.1	QNG12751.1
OG0001008	XP_448786.1	QNG12757.1
OG0001009	XP_448787.1	QNG12758.1
OG0001010	XP_448788.1	QNG12759.1
OG0001011	XP_448789.1	QNG12760.1
OG0001012	XP_448790.1	QNG12761.1
OG0001013	XP_448792.1	QNG12763.1
OG0001014	XP_448793.1	QNG12764.1
OG0001015	XP_448794.1	QNG12765.1
OG0001016	XP_448796.1	QNG12767.1
OG0001017	XP_448797.1	QNG12768.1
OG0001018	XP_448800.1	QNG12771.1
OG0001019	XP_445427.1	QNG12773.1
OG0001020	XP_445428.1	QNG12774.1
OG0001021	XP_445432.1	QNG12777.1
OG0001022	XP_445433.1	QNG12778.1
OG0001023	XP_445434.1	QNG12779.1
OG0001024	XP_445435.1	QNG12780.1
OG0001025	XP_445436.1	QNG12781.1
OG0001026	XP_445437.1	QNG12782.1
