GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
44249	cellular biosynthetic process	86 out of 174 genes, 49.4%	1722 out of 5614 background genes, 30.7%	6.33e-05	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:CAGL0H01419g:CAGL0H01441g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07458g:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	398:1677:34473:6376:44237:55:27:6281:463:42274:7004:42797:6458:6284:42254:6468:71038:71040:294:34605:6807:1990145:1731:45947:1902794:6450:71036:1732:140454:17148:71035:2130:6360:35719:6383:1900036:1903833:19676:6511:16567:6561:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:2183:1904262:30488:34517:71044:2181:6412:1990481:6285:2188:71042:479:61504:42273:6407:6508:448:45041:16236:51131:6413:2000640:6542:32968:6353:8298:30433:71028:1682:1901195:33962:32204:71039:6367:447:2182:462:7021:480:71051:467:70987:45047:290:6400:6289:71037:2128:6396:470:6457:45948:140455:1522:71629:34475:6414:32259:28:6139:33621:6446:71046:8033:2184:1903574:43039:6364:46830:34965:461:6626:6415:6409:1900153:48026:45901:472:80009
140694	non-membrane-bounded organelle assembly	16 out of 174 genes, 9.2%	110 out of 5614 background genes, 2.0%	0.00010	0.00%	CAGL0B00880g:CAGL0D04202g:CAGL0F02937g:CAGL0G02475g:CAGL0G09218g:CAGL0I07931g:CAGL0J00737g:CAGL0J05412g:RPS12:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g:CAGL0L11462g:CAGL0M02497g:CAGL0M07029g:CAGL0M10241g	55:921:27:6882:42254:492:1990145:160031:1731:45947:16567:31204:30490:2181:6412:48309:479:6407:16236:33962:462:290:54:470:36228:28:6446:6364:1900153
44237	cellular metabolic process	107 out of 174 genes, 61.5%	2394 out of 5614 background genes, 42.6%	0.00015	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:COX12:CAGL0A04521g:CAGL0B00286g:CAGL0B00880g:PRS5:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01529g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0F04565g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:TDH3:CAGL0G10109g:ATP2:CAGL0H00704g:CAGL0H01419g:CAGL0H01441g:CAGL0H02123g:CAGL0H02409g:HXK2:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:TRR2:CAGL0I01298g:TIF1:CAGL0I06248g:CAGL0I07799g:CAGL0I07931g:CAGL0J00341g:COX6:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:PYC2:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L00429g:CAGL0L02799g:GCN3:CAGL0L03289g:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07370g:CAGL0L07458g:PGK1:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	6096:398:1677:34473:6006:6376:44237:55:27:6281:463:42274:45807:6567:7004:42797:9272:6458:6123:6284:42254:11:6468:71038:6520:6559:97501:71040:294:8340:34605:6546:6807:46034:1990145:1731:45947:1902794:6450:71036:1732:140454:17148:6090:15886:71035:2130:6360:35719:1990539:5977:6383:6003:1900036:1903833:19676:6511:16567:6561:6544:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:30003:32258:2183:34599:30163:1904262:30488:34517:71044:2181:6412:1990481:6285:2188:71042:479:61504:42273:1678:6730:6407:6508:448:6569:45041:16236:9060:51131:5975:6413:2000640:6542:32968:6353:8298:6015:6013:30433:71028:1682:1901195:33962:32204:71039:6367:15986:447:2001234:2182:462:7021:480:6094:71051:467:70987:45047:44255:290:19464:422:9156:31505:6400:6289:949:6915:1900745:45:71037:2128:6396:470:6457:46323:6110:45948:140455:1522:71629:34475:6000:6414:19430:1902600:32259:28:19655:6139:33621:42776:6446:71046:8033:6048:2184:1903574:43039:6364:45033:8104:46830:34965:461:46015:6626:6565:6415:6409:9165:1900153:48026:120174:45901:472:72593:80009:33617
19538	protein metabolic process	66 out of 174 genes, 37.9%	1214 out of 5614 background genes, 21.6%	0.00026	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02937g:CAGL0F07337g:CAGL0G02475g:CAGL0G03575g:CAGL0G06490g:CAGL0G07227g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I06248g:CAGL0J00341g:CAGL0J00737g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K03135g:CAGL0K04587g:CAGL0K06149g:CAGL0K06457g:FRS2:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:GCN3:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L08110g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M12408g	1677:1905786:44237:55:27:463:42274:45807:6458:42254:11:6468:34605:1990145:1731:45947:6450:1732:140454:31398:2130:7094:35719:5977:1900036:1903833:6511:16567:30490:6432:31048:42026:30003:2183:30163:1904262:30488:2181:6412:2188:479:31145:6407:6508:448:45041:16236:51131:6413:2000640:32968:6353:30433:1901195:33962:447:2182:462:7021:45047:44255:290:6915:2128:470:6457:45948:140455:71629:18216:6414:40020:32259:28:6446:1904668:2184:1903574:43039:6364:45033:8104:46830:461:6626:6415:45842:1900153:120174:45901
16070	RNA metabolic process	49 out of 174 genes, 28.2%	786 out of 5614 background genes, 14.0%	0.00030	0.00%	CAGL0A04521g:CAGL0B00880g:CTH2:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0G03003g:CAGL0G05874g:CAGL0G07227g:CAGL0G10109g:CAGL0H01419g:CAGL0H02057g:CAGL0H02123g:CAGL0H08019g:CAGL0H08415g:CAGL0H10252g:CAGL0I00792g:NUC1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0J09086g:RPL16A:CAGL0K02937g:CAGL0K03135g:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0L02799g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L07458g:CAGL0L07832g:CAGL0L08118g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M06303g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	398:34473:6376:44237:55:27:42274:463:42797:6338:6325:42254:6468:71038:6401:71040:294:1990145:1731:45947:6450:1902794:71036:17148:71035:2130:6360:6383:70481:42780:973:34476:30490:6351:6432:6366:6386:30466:6309:30488:2181:71044:6412:1990481:71042:479:61504:42273:6407:448:956:6879:16236:6413:2000640:6353:8298:71028:1682:33962:51607:32204:71039:6367:447:462:480:6310:31120:71051:467:290:34080:6400:6915:71037:2128:6396:470:1522:34475:32259:28:6139:33621:6446:71046:8033:6308:2184:43039:6364:46830:34965:461:6415:6409:1900153:48026:472:6357:80009
70925	organelle assembly	17 out of 174 genes, 9.8%	134 out of 5614 background genes, 2.4%	0.00033	0.00%	CAGL0B00880g:CAGL0D04202g:CAGL0F02937g:CAGL0G02475g:CAGL0G09218g:CAGL0H00704g:CAGL0I07931g:CAGL0J00737g:CAGL0J05412g:RPS12:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g:CAGL0L11462g:CAGL0M02497g:CAGL0M07029g:CAGL0M10241g	55:921:27:6882:42254:492:1990145:160031:1731:45947:16567:31204:30490:32258:2181:6412:48309:479:6407:16236:33962:462:290:422:45:54:470:36228:28:6446:6364:1900153
28	ribosomal small subunit assembly	6 out of 174 genes, 3.4%	12 out of 5614 background genes, 0.2%	0.00034	0.00%	CAGL0B00880g:CAGL0J00737g:RPS12:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g	1990145:30490:6412:479:6407:462:28:6364:1900153
27	ribosomal large subunit assembly	8 out of 174 genes, 4.6%	30 out of 5614 background genes, 0.5%	0.00128	0.00%	CAGL0F02937g:CAGL0G02475g:CAGL0G09218g:CAGL0I07931g:CAGL0J05412g:CAGL0L11462g:CAGL0M02497g:CAGL0M10241g	55:27:42254:492:16567:2181:6412:16236:54:470:6364
43170	macromolecule metabolic process	98 out of 174 genes, 56.3%	2215 out of 5614 background genes, 39.5%	0.00197	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03256g:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:KRE29:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CTH2:CAGL0E01991g:CAGL0E02013g:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0F07337g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:CAGL0H01419g:CAGL0H02057g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:CAGL0I03586g:TIF1:CAGL0I06248g:NUC1:CAGL0I07799g:CAGL0I07931g:CAGL0J00341g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:CAGL0J06512g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:CAGL0K06149g:CAGL0K06457g:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07458g:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	398:1677:34473:6974:1905786:6376:44237:55:27:463:42274:6281:45807:7004:42797:6458:6338:6284:6325:42254:11:6468:71038:6401:30541:71040:294:34605:1990145:1731:45947:1902794:6450:71036:1732:140454:724:17148:6265:31398:71035:2130:6360:7094:35719:5977:6383:727:1900036:1903833:6511:16567:70481:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:30466:6309:30003:2183:30163:6298:1904262:30488:6302:71044:2181:6412:1990481:6285:2188:71042:31573:479:61504:42273:31145:6407:6508:448:956:6879:45041:16236:33314:7131:51131:31297:6413:2000640:32968:6353:8298:30433:71028:1682:1901195:33962:51607:32204:71039:1990426:6367:447:2182:462:7021:480:6310:31120:71051:467:70987:45047:44255:290:712:34080:6400:6289:6915:71037:2128:6396:470:6457:45948:140455:71629:1522:34475:18216:6414:40020:32259:28:6139:33621:6446:6335:71046:8033:6308:1904668:2184:1903574:43039:6364:45033:8104:46830:34965:461:6626:6415:6409:45842:1900153:48026:120174:45901:472:6357:80009
44238	primary metabolic process	113 out of 174 genes, 64.9%	2715 out of 5614 background genes, 48.4%	0.00306	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03256g:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00286g:CAGL0B00880g:KRE29:PRS5:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CTH2:CAGL0E01529g:CAGL0E01991g:CAGL0E02013g:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0F07337g:SCW4:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:TDH3:CAGL0G10109g:ATP2:CAGL0H01419g:CAGL0H01441g:CAGL0H02057g:CAGL0H02123g:CAGL0H02409g:HXK2:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:CAGL0I01342g:CAGL0I03586g:TIF1:CAGL0I06248g:NUC1:CAGL0I07799g:CAGL0I07931g:CAGL0J00341g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:CAGL0J06512g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:CAGL0K06457g:PYC2:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L00429g:CAGL0L02799g:GCN3:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07370g:CAGL0L07458g:PGK1:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	6096:398:1677:34473:6974:6006:1905786:6376:44237:55:27:463:42274:6281:45807:6567:7004:42797:6458:6338:6284:6325:42254:11:6468:71038:6520:6559:6401:30541:71040:294:34605:6546:6807:46034:1990145:1731:45947:1902794:6450:71036:1732:140454:724:17148:6265:6090:15886:31398:71035:2130:6360:7094:35719:1990539:5977:6383:6003:727:1900036:1903833:19676:6511:16567:6561:70481:6544:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:30466:6309:30003:2183:34599:30163:6298:1904262:30488:34517:6302:71044:2181:6412:1990481:6285:2188:71042:31573:479:747:61504:42273:1678:31145:6730:6407:6508:448:6569:956:6879:45041:16236:33314:7131:51131:5975:31297:6413:2000640:6542:32968:6353:8298:6015:6013:30433:71028:1682:1901195:33962:51607:32204:71039:1990426:6367:15986:447:2001234:2182:462:7021:480:6094:6310:31120:71051:467:70987:45047:44255:290:19464:9156:712:31505:34080:6400:6289:949:6915:1900745:71037:2128:6396:470:6457:46323:6110:45948:140455:71629:1522:34475:6000:18216:6414:1902600:40020:32259:28:19655:6139:33621:42776:6446:6335:71046:8033:6308:6048:1904668:2184:1903574:43039:6364:45033:8104:46830:34965:461:46015:6626:6565:6415:6409:9165:45842:1900153:48026:120174:45901:472:6357:72593:80009
6407	rRNA export from nucleus	5 out of 174 genes, 2.9%	12 out of 5614 background genes, 0.2%	0.00973	0.00%	CAGL0E01991g:CAGL0F01045g:CAGL0G07227g:CAGL0L04510g:CAGL0M04873g	42274:30490:6412:6407:447:28:1900153
8152	metabolic process	120 out of 174 genes, 69.0%	3036 out of 5614 background genes, 54.1%	0.01852	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03256g:CAGL0A03278g:CAGL0A03388g:COX12:CAGL0A04521g:CAGL0B00286g:CAGL0B00880g:HEM1:KRE29:PRS5:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CTH2:CAGL0E01529g:CAGL0E01991g:CAGL0E02013g:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0F04565g:CAGL0F07337g:SCW4:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:TDH3:CAGL0G10109g:ATP2:CAGL0H00704g:CAGL0H01419g:CAGL0H01441g:CAGL0H02057g:CAGL0H02123g:CAGL0H02409g:HXK2:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:TRR2:CAGL0I01298g:CAGL0I01342g:CAGL0I03586g:TIF1:CAGL0I06248g:NUC1:CAGL0I07799g:CAGL0I07931g:CAGL0J00341g:COX6:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:CAGL0J06512g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:CAGL0K06457g:PYC2:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L00429g:CAGL0L02799g:GCN3:CAGL0L03289g:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07370g:CAGL0L07458g:PGK1:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	6096:398:1677:34473:6974:6006:1905786:6376:44237:55:27:463:42274:6281:45807:6567:7004:42797:9272:6458:6338:6123:6284:6325:42254:11:6468:71038:6520:6559:97501:6401:30541:71040:294:8340:34605:1902117:6546:6807:46034:1990145:1731:45947:1902794:6450:71036:1732:140454:724:17148:6265:6090:15886:31398:71035:2130:6360:7094:35719:1990539:5977:6383:6003:727:1900036:1903833:19676:6511:16567:6561:70481:6544:42780:973:34476:30490:6351:6432:31048:6366:42026:6386:30466:6309:30003:32258:2183:34599:30163:6298:1904262:30488:34517:6302:71044:2181:6412:1990481:6285:2188:71042:31573:479:747:61504:42273:1678:31145:6730:6407:6508:448:6569:956:6879:45041:16236:33314:9060:7131:51131:5975:31297:6413:2000640:6542:32968:6353:8298:6015:6013:30433:71028:1682:1901195:33962:51607:32204:71039:1990426:6367:15986:447:2001234:2182:462:7021:480:6094:6310:31120:71051:467:70987:45047:44255:290:19464:422:9156:712:31505:34080:33014:6400:6289:949:6915:1900745:45:71037:2128:6396:470:6457:6783:46323:6110:45948:140455:71629:1522:34475:9058:6000:18216:6414:19430:1902600:40020:32259:28:19655:6139:33621:42776:6446:6335:71046:8033:6308:6048:1904668:2184:1903574:43039:6364:45033:8104:46830:34965:461:46015:6626:6565:6415:6409:9165:45842:1900153:48026:120174:45901:472:6357:72593:80009:33617
1901564	organonitrogen compound metabolic process	75 out of 174 genes, 43.1%	1627 out of 5614 background genes, 29.0%	0.02099	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00286g:HEM1:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02937g:CAGL0F07337g:CAGL0G02475g:CAGL0G03575g:CAGL0G06490g:CAGL0G07227g:ATP2:CAGL0H01441g:CAGL0H02409g:HXK2:CAGL0H08019g:HSP10:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I06248g:CAGL0J00341g:CAGL0J00737g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K03135g:CAGL0K04587g:GLN1:CAGL0K06149g:CAGL0K06457g:FRS2:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L00429g:GCN3:CAGL0L04092g:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:PGK1:CAGL0L08110g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M02519g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:PDC:CAGL0M08118g:CAGL0M10241g:CAGL0M12408g	6096:1677:6006:1905786:44237:55:27:463:42274:45807:6567:6458:42254:11:6468:6520:6559:34605:1902117:6546:6807:46034:1990145:1731:45947:6450:1732:140454:6090:31398:2130:7094:35719:1990539:5977:1900036:1903833:19676:6511:16567:6561:6544:30490:6432:31048:42026:30003:2183:30163:1904262:30488:34517:2181:6412:2188:479:1678:31145:6730:6407:6508:448:6569:45041:16236:51131:5975:6413:2000640:6542:32968:6353:6013:30433:1901195:33962:15986:447:2001234:2182:462:7021:6094:45047:44255:290:19464:33014:949:6915:2128:470:6457:6783:46323:45948:140455:71629:9058:6000:18216:6414:1902600:40020:32259:28:19655:42776:6446:1904668:2184:1903574:43039:6364:45033:8104:46830:461:46015:6626:6565:6415:45842:1900153:120174:45901
6383	transcription by RNA polymerase III	7 out of 174 genes, 4.0%	33 out of 5614 background genes, 0.6%	0.02856	0.00%	CAGL0G05874g:CAGL0G10109g:CAGL0H08415g:CAGL0I07799g:CAGL0L02799g:CAGL0L11660g:CAGL0M03487g	42797:6360:6383:42780:6351:6366:6386:6367
