Orthogroup	BG2_protein	sacCer_protein
OG0000417	QNG15006.1	NP_012195.1, NP_010997.3
OG0000418	QNG15019.1	NP_014425.3, NP_009995.1
OG0000419	QNG15032.1	NP_015185.1, NP_014874.1
OG0000420	QNG15045.1	NP_015191.1, NP_014865.1
OG0000421	QNG15124.1	NP_014243.3, NP_012001.1
OG0000422	QNG15130.1	NP_012007.1, NP_014239.1
OG0000423	QNG15143.1	NP_010843.1, NP_010103.1
OG0000424	QNG15147.1	NP_010100.1, NP_010152.1
OG0000425	QNG15156.1	NP_013998.1, NP_013601.1
OG0000426	QNG15232.1	NP_015033.1, NP_014125.1
OG0000427	QNG15235.1	NP_013288.1, NP_014121.1
OG0000428	QNG15244.1	NP_014312.1, NP_014729.1
OG0000429	QNG15266.1	NP_010145.1, NP_010090.1
OG0000430	QNG15302.1	NP_012152.3, NP_014343.1
OG0000431	QNG15310.1	NP_014340.1, NP_012149.1
OG0000432	QNG15312.1	NP_012135.1, NP_014331.3
OG0000433	QNG15313.1	NP_012133.1, NP_014330.1
OG0000434	QNG15346.1	NP_010598.3, NP_011933.1
OG0000435	QNG15357.1	NP_014226.1, NP_012016.1
OG0000436	QNG15420.1	NP_011112.3, NP_011729.1
OG0000437	QNG15424.1	NP_011725.3, NP_013144.1
OG0000438	QNG15464.1	NP_014585.1, NP_010263.1
OG0000439	QNG15482.1	NP_011057.1, NP_011326.1
OG0000440	QNG15484.1	NP_011336.3, NP_011055.3
OG0000441	QNG15537.1	NP_013820.1, NP_012801.1
OG0000442	QNG15546.1	NP_012790.1, NP_013831.1
OG0000443	QNG15548.1	NP_012789.2, NP_013833.1
OG0000444	QNG15553.1	NP_013843.1, NP_013131.1
OG0000445	QNG15572.1	NP_011552.1, NP_013454.1
OG0000446	QNG15620.1	NP_011384.1, NP_015356.1
OG0000447	QNG15621.1	NP_015357.1, NP_009444.2
OG0000448	QNG15638.1	NP_013017.2, NP_014726.1
OG0000449	QNG15641.1	NP_009907.2, NP_010795.3
OG0000450	QNG15646.1	NP_009895.1, NP_010801.1
OG0000451	QNG15658.1	NP_013688.1, NP_010735.3
OG0000452	QNG15671.1	NP_011870.1, NP_010751.4
OG0000453	QNG15678.1	NP_011874.1, NP_010759.1
OG0000454	QNG15683.1	NP_009773.1, NP_011459.2
OG0000455	QNG15685.1	NP_011455.1, NP_009775.3
OG0000456	QNG15688.1	NP_009778.3, NP_009779.3
OG0000457	QNG15697.1	NP_009797.1, NP_011408.1
OG0000458	QNG15713.1	NP_014961.3, NP_013970.1
OG0000459	QNG15714.1	NP_014957.2, NP_013969.3
OG0000460	QNG15750.1	NP_012402.1, NP_012978.1
OG0000461	QNG15754.1	NP_015030.3, NP_014047.1
OG0000462	QNG15756.1	NP_012399.1, NP_012983.3
OG0000463	QNG15790.1	NP_009987.2, NP_014162.1
OG0000464	QNG15839.1	NP_014770.1, NP_010667.1
OG0000465	QNG15862.1	NP_013920.1, NP_015074.1
OG0000466	QNG15875.1	NP_013731.1, NP_010530.1
OG0000467	QNG15887.1	NP_009553.1, NP_010510.3
OG0000468	QNG15898.1	NP_010308.3, NP_009604.1
OG0000469	QNG15973.1	NP_013396.1, NP_014828.1
OG0000470	QNG15980.1	NP_010198.1, NP_013865.1
OG0000471	QNG15982.1	NP_013863.2, NP_010200.1
OG0000472	QNG16010.1	NP_012582.1, NP_010875.1
OG0000473	QNG16040.1	NP_011759.1, NP_012032.1
OG0000474	QNG16077.1	NP_010892.1, NP_012565.1
OG0000475	QNG16112.1	NP_010147.1, NP_010093.1
OG0000476	QNG16131.1	NP_012985.3, NP_012397.1
OG0000477	QNG16140.1	NP_009570.1, NP_010274.1
OG0000478	QNG16143.1	NP_009598.1, NP_010301.1
OG0000479	QNG16165.1	NP_011011.3, NP_010936.1
OG0000480	QNG16196.1	NP_013729.1, NP_012881.1
OG0000481	QNG16202.1	NP_011846.1, NP_012885.2
OG0000482	QNG16203.1	NP_009589.1, NP_012886.3
OG0000483	QNG16267.1	NP_010900.1, NP_009955.2
OG0000484	QNG16287.1	NP_010328.3, NP_009622.1
OG0000485	QNG16299.1	NP_010188.1, NP_010190.1
OG0000486	QNG16314.1	NP_010201.1, NP_013862.1
OG0000487	QNG16368.1	NP_012406.1, NP_012976.1
OG0000488	QNG16402.1	NP_015457.1, NP_011633.3
OG0000489	QNG16429.1	NP_010697.3, NP_014799.1
OG0000490	QNG16443.1	NP_014282.1, NP_012297.3
OG0000491	QNG16444.1	NP_011983.1, NP_014283.3
OG0000492	QNG16460.1	NP_012436.1, NP_012952.3
OG0000493	QNG16505.1	NP_010988.1, NP_116585.1
OG0000494	QNG16538.1	NP_015334.1, NP_011353.1
OG0000495	QNG16558.1	NP_010559.3, NP_014685.1
OG0000496	QNG16563.1	NP_010563.3, NP_014690.1
OG0000497	QNG16579.1	NP_013004.3, NP_014712.2
OG0000498	QNG16593.1	NP_013934.1, NP_014413.1
OG0000499	QNG16615.1	NP_013646.1, NP_013547.3
OG0000500	QNG16620.1	NP_013641.1, NP_116602.1
OG0000501	QNG16623.1	NP_013553.1, NP_013638.1
OG0000502	QNG16625.1	NP_013555.1, NP_013636.1
OG0000503	QNG16641.1	NP_010381.1, NP_011096.1
OG0000504	QNG16662.1	NP_013193.1, NP_009853.3
OG0000505	QNG16666.1	NP_015293.1, NP_010537.3
OG0000506	QNG16668.1	NP_015288.1, NP_010538.1
OG0000507	QNG16669.1	NP_010539.1, NP_015287.1
OG0000508	QNG16685.1	NP_013744.1, NP_012874.1
OG0000509	QNG16700.1	NP_013181.1, NP_116606.1
OG0000510	QNG16739.1	NP_013546.1, NP_013648.1
OG0000511	QNG16813.1	NP_014877.3, NP_015182.1
OG0000512	QNG16828.1	NP_011730.1, NP_013149.1
OG0000513	QNG16841.1	NP_012451.1, NP_012946.3
OG0000514	QNG16842.1	NP_012944.3, NP_012452.1
OG0000515	QNG16864.1	NP_014529.1, NP_014106.1
OG0000516	QNG16868.1	NP_014528.1, NP_014101.1
OG0000517	QNG16897.1	NP_013234.1, NP_010431.3
OG0000518	QNG16906.1	NP_013245.1, NP_014465.1
OG0000519	QNG16920.1	NP_013957.1, NP_014936.1
OG0000520	QNG16923.1	NP_013960.1, NP_014938.3
OG0000521	QNG16927.1	NP_013964.1, NP_014943.1
OG0000522	QNG16946.1	NP_009764.3, NP_009758.3
OG0000523	QNG16962.1	NP_012396.1, NP_012987.3
OG0000524	QNG16965.1	NP_014461.3, NP_012990.1
OG0000525	QNG16973.1	NP_015219.1, NP_009728.1
OG0000526	QNG16980.1	NP_009736.3, NP_015230.1
OG0000527	QNG16993.1	NP_015246.1, NP_009750.1
OG0000528	QNG17059.1	NP_012354.1, NP_012564.3
OG0000529	QNG17061.1	NP_012741.1, NP_012358.1
OG0000530	QNG17081.1	NP_009854.2, NP_010556.1
OG0000531	QNG17086.1	NP_014677.1, NP_010550.1
OG0000532	QNG17103.1	NP_012624.1, NP_015367.1
OG0000533	QNG17117.1	NP_009449.1, NP_015355.1
OG0000534	QNG17155.1	NP_011862.1, NP_012920.1
OG0000535	QNG17163.1	NP_009559.1, NP_010286.3
OG0000536	QNG17169.1	NP_009978.1, NP_014416.1
OG0000537	QNG17175.1	NP_009993.1, NP_014423.1
OG0000538	QNG17179.1	NP_014428.1, NP_009998.2
OG0000539	QNG17245.1	NP_009349.3, NP_015008.3
OG0000540	QNG17246.1	NP_015010.1, NP_009348.2
OG0000541	QNG17247.1	NP_010980.1, NP_012214.3
OG0000542	QNG17250.1	NP_012212.1, NP_010977.2
OG0000543	QNG17267.1	NP_011004.3, NP_012191.1
OG0000544	QNG17286.1	NP_013754.1, NP_012858.2
OG0000545	QNG17290.1	NP_011772.3, NP_012053.3
OG0000556	QNG12110.1	NP_011492.3
OG0000557	QNG12111.1	NP_011493.1
OG0000558	QNG12113.1	NP_011495.1
OG0000559	QNG12114.1	NP_011496.3
OG0000560	QNG12115.1	NP_011497.1
OG0000561	QNG12116.1	NP_011498.1
OG0000562	QNG12117.1	NP_011505.1
OG0000563	QNG12118.1	NP_011506.1
OG0000564	QNG12119.1	NP_011499.1
OG0000565	QNG12120.1	NP_011504.3
OG0000566	QNG12121.1	NP_011503.1
OG0000567	QNG12123.1	NP_011501.1
OG0000568	QNG12125.1	NP_011509.1
OG0000569	QNG12126.1	NP_011510.1
OG0000570	QNG12127.1	NP_011511.3
OG0000571	QNG12129.1	NP_011512.1
OG0000572	QNG12136.1	NP_009399.2
OG0000573	QNG12137.1	NP_009400.1
OG0000574	QNG12139.1	NP_013420.2
OG0000575	QNG12140.1	NP_013422.2
OG0000576	QNG12141.1	NP_013423.1
OG0000577	QNG12142.1	NP_013424.1
OG0000578	QNG12143.1	NP_013427.1
OG0000579	QNG12145.1	NP_013429.1
OG0000580	QNG12146.1	NP_013430.1
OG0000581	QNG12148.1	NP_015061.1
OG0000582	QNG12149.1	NP_015060.1
OG0000583	QNG12150.1	NP_015051.1
OG0000584	QNG12151.1	NP_015052.1
OG0000585	QNG12152.1	NP_015053.2
OG0000586	QNG12153.1	NP_015054.1
OG0000587	QNG12154.1	NP_015055.1
OG0000588	QNG12156.1	NP_015058.1
OG0000589	QNG12158.1	NP_010022.1
OG0000590	QNG12163.1	NP_011489.1
OG0000591	QNG12164.1	NP_011488.1
OG0000592	QNG12166.1	NP_011485.1
OG0000593	QNG12168.1	NP_011483.3
OG0000594	QNG12169.1	NP_011482.3
OG0000595	QNG12170.1	NP_011480.1
OG0000596	QNG12173.1	NP_011479.1
OG0000597	QNG12174.1	NP_011478.3
OG0000598	QNG12175.1	NP_011477.1
OG0000599	QNG12180.1	NP_011966.1
OG0000600	QNG12183.1	NP_011967.1
OG0000601	QNG12184.1	NP_014620.1
OG0000602	QNG12185.1	NP_014619.1
OG0000603	QNG12186.1	NP_116672.1
OG0000604	QNG12187.1	NP_014617.1
OG0000605	QNG12189.1	NP_011884.1
OG0000606	QNG12190.1	NP_011883.1
OG0000607	QNG12191.1	NP_011881.1
OG0000609	QNG12200.1	NP_010633.3
OG0000610	QNG12201.1	NP_010634.3
OG0000611	QNG12202.1	NP_010635.1
OG0000612	QNG12203.1	NP_010636.1
OG0000613	QNG12204.1	NP_010637.4
OG0000614	QNG12206.1	NP_010639.1
OG0000615	QNG12209.1	NP_010641.3
OG0000616	QNG12210.1	NP_010643.3
OG0000617	QNG12211.1	NP_010644.1
OG0000618	QNG12213.1	NP_010646.4
OG0000619	QNG12214.1	NP_010648.3
OG0000620	QNG12215.1	NP_010649.1
OG0000621	QNG12216.1	NP_010650.1
OG0000622	QNG12217.1	NP_010651.3
OG0000623	QNG12218.1	NP_014760.3
OG0000624	QNG12219.1	NP_010652.3
OG0000625	QNG12220.1	NP_010655.1
OG0000626	QNG12222.1	NP_010657.3
OG0000627	QNG12223.1	NP_010658.3
OG0000628	QNG12225.1	NP_010659.1
OG0000629	QNG12226.1	NP_010660.1
OG0000630	QNG12227.1	NP_010661.3
OG0000631	QNG12228.1	NP_010662.3
OG0000632	QNG12230.1	NP_010663.1
OG0000633	QNG12231.1	NP_010664.3
OG0000634	QNG12232.1	NP_010665.3
OG0000635	QNG12233.1	NP_010666.2
OG0000636	QNG12235.1	NP_076888.3
OG0000637	QNG12236.1	NP_010668.3
OG0000638	QNG12237.1	NP_010669.1
OG0000639	QNG12238.1	NP_219495.2
OG0000640	QNG12239.1	NP_010670.3
OG0000641	QNG12240.1	NP_010671.4
OG0000642	QNG12241.1	NP_010672.1
OG0000643	QNG12243.1	NP_010674.3
OG0000644	QNG12245.1	NP_011323.3
OG0000645	QNG12246.1	NP_011321.1
OG0000646	QNG12247.1	NP_014390.2
OG0000647	QNG12251.1	NP_013132.1
OG0000648	QNG12252.1	NP_013133.1
OG0000649	QNG12253.1	NP_013134.1
OG0000650	QNG12254.1	NP_013135.1
OG0000651	QNG12255.1	NP_013139.1
OG0000652	QNG12256.1	NP_013140.1
OG0000653	QNG12257.1	NP_013141.1
OG0000654	QNG12259.1	NP_011561.3
OG0000655	QNG12260.1	NP_009700.1
OG0000656	QNG12261.1	NP_009699.2
OG0000657	QNG12262.1	NP_010944.1
OG0000658	QNG12263.1	NP_011309.1
OG0000659	QNG12264.1	NP_011310.1
OG0000660	QNG12265.1	NP_014940.4
OG0000661	QNG12266.1	NP_014941.1
OG0000662	QNG12267.1	NP_014945.3
OG0000663	QNG12268.1	NP_013307.1
OG0000664	QNG12270.1	NP_013306.2
OG0000665	QNG12271.1	NP_013304.1
OG0000666	QNG12272.1	NP_013302.1
OG0000667	QNG12273.1	NP_013301.1
OG0000668	QNG12274.1	NP_013300.2
OG0000669	QNG12275.1	NP_013298.1
OG0000670	QNG12276.1	NP_013297.1
OG0000671	QNG12277.1	NP_013296.1
OG0000672	QNG12278.1	NP_013295.1
OG0000673	QNG12279.1	NP_013294.1
OG0000674	QNG12280.1	NP_013293.1
OG0000675	QNG12281.1	NP_013292.1
OG0000676	QNG12282.1	NP_013291.1
OG0000677	QNG12284.1	NP_009502.1
OG0000678	QNG12285.1	NP_009501.1
OG0000679	QNG12287.1	NP_009498.1
OG0000680	QNG12289.1	NP_009496.2
OG0000681	QNG12290.1	NP_009495.1
OG0000682	QNG12291.1	NP_031358.1
OG0000683	QNG12292.1	NP_009494.1
OG0000684	QNG12294.1	NP_009489.1
OG0000685	QNG12295.1	NP_009487.2
OG0000686	QNG12297.1	NP_660100.1
OG0000687	QNG12299.1	NP_009479.1
OG0000688	QNG12300.1	NP_011036.1
OG0000689	QNG12301.1	NP_009471.1
OG0000690	QNG12302.1	NP_009472.1
OG0000691	QNG12303.1	NP_009473.2
OG0000692	QNG12304.1	NP_009475.1
OG0000693	QNG12305.1	NP_116707.3
OG0000694	QNG12306.1	NP_116708.1
OG0000695	QNG12307.1	NP_116709.3
OG0000696	QNG12308.1	NP_011262.1
OG0000697	QNG12309.1	NP_116710.1
OG0000698	QNG12316.1	NP_001018030.1
OG0000699	QNG12317.1	NP_009870.1
OG0000700	QNG12318.1	NP_009871.2
OG0000701	QNG12319.1	NP_009872.1
OG0000702	QNG12320.1	NP_001018031.2
OG0000703	QNG12321.1	NP_065435.1
OG0000704	QNG12322.1	NP_009874.1
OG0000705	QNG12324.1	NP_009876.1
OG0000706	QNG12325.1	NP_009877.1
OG0000707	QNG12326.1	NP_009878.1
OG0000708	QNG12331.1	NP_009883.1
OG0000709	QNG12332.1	NP_009884.1
OG0000710	QNG12333.1	NP_009886.1
OG0000711	QNG12334.1	NP_009887.1
OG0000712	QNG12337.1	NP_009891.1
OG0000713	QNG12338.1	NP_009892.1
OG0000714	QNG12340.1	NP_009896.2
OG0000715	QNG12341.1	NP_009897.1
OG0000716	QNG12342.1	NP_009898.1
OG0000717	QNG12343.1	NP_009899.1
OG0000718	QNG12344.1	NP_009900.2
OG0000719	QNG12345.1	NP_009901.1
OG0000720	QNG12346.1	NP_009902.2
OG0000721	QNG12347.1	NP_009903.2
OG0000722	QNG12348.1	NP_065436.1
OG0000723	QNG12353.1	NP_013282.1
OG0000724	QNG12354.1	NP_013283.1
OG0000725	QNG12357.1	NP_013287.1
OG0000726	QNG12360.1	NP_014492.1
OG0000727	QNG12361.1	NP_014493.1
OG0000728	QNG12362.1	NP_014496.2
OG0000729	QNG12363.1	NP_014497.1
OG0000730	QNG12364.1	NP_014498.1
OG0000731	QNG12365.1	NP_014069.1
OG0000732	QNG12366.1	NP_014499.2
OG0000733	QNG12367.1	NP_014500.2
OG0000734	QNG12368.1	NP_014501.1
OG0000735	QNG12369.1	NP_010426.1
OG0000736	QNG12370.1	NP_010425.1
OG0000737	QNG12371.1	NP_010424.3
OG0000738	QNG12372.1	NP_010423.4
OG0000739	QNG12374.1	NP_010422.1
OG0000740	QNG12375.1	NP_010421.1
OG0000741	QNG12377.1	NP_010393.3
OG0000742	QNG12378.1	NP_010394.3
OG0000743	QNG12380.1	NP_010395.1
OG0000744	QNG12381.1	NP_010400.1
OG0000745	QNG12382.1	NP_010401.1
OG0000746	QNG12383.1	NP_010402.3
OG0000747	QNG12384.1	NP_010403.3
OG0000748	QNG12385.1	NP_001032575.1
OG0000749	QNG12386.1	NP_010405.3
OG0000750	QNG12387.1	NP_010406.3
OG0000751	QNG12389.1	NP_010408.1
OG0000752	QNG12390.1	NP_010410.3
OG0000753	QNG12391.1	NP_010411.1
OG0000754	QNG12392.1	NP_010413.3
OG0000755	QNG12393.1	NP_010414.3
OG0000756	QNG12394.1	NP_010415.1
OG0000757	QNG12395.1	NP_011740.3
OG0000758	QNG12396.1	NP_011739.1
OG0000759	QNG12397.1	NP_011738.3
OG0000760	QNG12399.1	NP_011736.1
OG0000761	QNG12400.1	NP_011734.3
OG0000762	QNG12401.1	NP_011733.3
OG0000763	QNG12402.1	NP_011732.1
OG0000764	QNG12403.1	NP_011731.3
OG0000765	QNG12404.1	NP_013594.1
OG0000766	QNG12405.1	NP_013593.1
OG0000767	QNG12406.1	NP_013592.1
OG0000768	QNG12408.1	NP_013589.1
OG0000769	QNG12410.1	NP_013587.1
OG0000770	QNG12411.1	NP_013586.1
OG0000771	QNG12412.1	NP_013585.1
OG0000772	QNG12413.1	NP_013583.1
OG0000773	QNG12416.1	NP_013579.1
OG0000774	QNG12417.1	NP_013578.1
OG0000775	QNG12418.1	NP_010519.3
OG0000776	QNG12419.1	NP_010518.1
OG0000777	QNG12422.1	NP_010540.3
OG0000778	QNG12423.1	NP_010541.3
OG0000779	QNG12425.1	NP_013466.1
OG0000780	QNG12428.1	NP_013464.3
OG0000781	QNG12429.1	NP_013463.1
OG0000782	QNG12432.1	NP_013460.1
OG0000783	QNG12439.1	NP_013459.1
OG0000784	QNG12440.1	NP_013458.1
OG0000785	QNG12442.1	NP_013456.1
OG0000786	QNG12444.1	NP_012936.1
OG0000787	QNG12446.1	NP_009842.1
OG0000788	QNG12447.1	NP_009841.1
OG0000789	QNG12448.1	NP_009840.3
OG0000790	QNG12449.1	NP_009839.4
OG0000791	QNG12450.1	NP_009838.1
OG0000792	QNG12451.1	NP_009837.1
OG0000793	QNG12452.1	NP_009835.3
OG0000794	QNG12453.1	NP_009834.4
OG0000795	QNG12455.1	NP_013354.1
OG0000796	QNG12456.1	NP_013352.1
OG0000797	QNG12459.1	NP_009941.2
OG0000798	QNG12460.1	NP_010859.1
OG0000799	QNG12461.1	NP_010858.3
OG0000800	QNG12462.1	NP_010856.1
OG0000801	QNG12465.1	NP_010853.2
OG0000802	QNG12467.1	NP_009930.1
OG0000803	QNG12468.1	NP_012539.1
OG0000804	QNG12469.1	NP_011707.1
OG0000805	QNG12470.1	NP_012540.3
OG0000806	QNG12471.1	NP_012541.1
OG0000807	QNG12472.1	NP_012543.3
OG0000808	QNG12473.1	NP_012544.1
OG0000809	QNG12476.1	NP_012546.4
OG0000810	QNG12477.1	NP_012547.2
OG0000811	QNG12478.1	NP_012548.1
OG0000812	QNG12481.1	NP_012550.1
OG0000813	QNG12482.1	NP_011718.1
OG0000814	QNG12483.1	NP_012551.2
OG0000815	QNG12484.1	NP_012553.3
OG0000816	QNG12485.1	NP_015434.1
OG0000817	QNG12486.1	NP_015435.1
OG0000818	QNG12488.1	NP_015437.1
OG0000819	QNG12489.1	NP_015439.1
OG0000820	QNG12493.1	NP_009586.1
OG0000821	QNG12494.1	NP_009584.1
OG0000822	QNG12495.1	NP_009582.1
OG0000823	QNG12496.1	NP_009581.1
OG0000824	QNG12499.1	NP_009578.1
OG0000825	QNG12502.1	NP_014747.1
OG0000826	QNG12503.1	NP_014746.2
OG0000827	QNG12505.1	NP_014743.1
OG0000828	QNG12506.1	NP_014742.1
OG0000829	QNG12507.1	NP_014291.1
OG0000830	QNG12508.1	NP_014292.3
OG0000831	QNG12511.1	NP_009925.1
OG0000832	QNG12513.1	NP_009923.2
OG0000833	QNG12514.1	NP_009922.2
OG0000834	QNG12515.1	NP_009917.1
OG0000835	QNG12516.1	NP_014394.2
OG0000836	QNG12517.1	NP_976246.1
OG0000837	QNG12518.1	NP_009914.2
OG0000838	QNG12519.1	NP_009913.2
OG0000839	QNG12522.1	NP_013274.1
OG0000840	QNG12523.1	NP_013273.1
OG0000841	QNG12524.1	NP_013271.1
OG0000842	QNG12525.1	NP_013348.1
OG0000843	QNG12532.1	NP_012367.2
OG0000844	QNG12533.1	NP_012363.1
OG0000845	QNG12534.1	NP_012362.1
OG0000846	QNG12535.1	NP_012361.1
OG0000847	QNG12536.1	NP_013196.1
OG0000848	QNG12537.1	NP_013195.1
OG0000849	QNG12538.1	NP_013194.2
OG0000850	QNG12539.1	NP_009695.2
OG0000851	QNG12540.1	NP_009694.3
OG0000852	QNG12541.1	NP_009693.3
OG0000853	QNG12542.1	NP_009691.1
OG0000854	QNG12543.1	NP_009690.1
OG0000855	QNG12544.1	NP_009689.3
OG0000856	QNG12546.1	NP_009687.1
OG0000857	QNG12547.1	NP_009686.1
OG0000858	QNG12548.1	NP_009685.3
OG0000859	QNG12549.1	NP_013320.1
OG0000860	QNG12550.1	NP_013321.1
OG0000861	QNG12551.1	NP_013322.1
OG0000862	QNG12552.1	NP_013323.1
OG0000863	QNG12553.1	NP_013324.1
OG0000864	QNG12559.1	NP_013325.1
OG0000865	QNG12560.1	NP_013327.1
OG0000866	QNG12562.1	NP_010497.3
OG0000867	QNG12563.1	NP_012150.1
OG0000868	QNG12564.1	NP_012151.1
OG0000869	QNG12566.1	NP_012154.1
OG0000870	QNG12567.1	NP_014346.1
OG0000871	QNG12568.1	NP_012156.1
OG0000872	QNG12570.1	NP_012158.1
OG0000873	QNG12572.1	NP_015140.1
OG0000874	QNG12573.1	NP_015141.1
OG0000875	QNG12574.1	NP_015142.1
OG0000876	QNG12575.1	NP_015145.1
OG0000877	QNG12576.1	NP_015144.1
OG0000878	QNG12577.1	NP_015146.1
OG0000879	QNG12578.1	NP_015147.1
OG0000880	QNG12579.1	NP_015148.1
OG0000881	QNG12580.1	NP_009808.1
OG0000882	QNG12581.1	NP_009807.3
OG0000883	QNG12583.1	NP_009806.3
OG0000884	QNG12584.1	NP_009805.1
OG0000885	QNG12587.1	NP_009802.3
OG0000886	QNG12588.1	NP_009801.1
OG0000887	QNG12590.1	NP_009789.1
OG0000888	QNG12591.1	NP_009467.1
OG0000889	QNG12594.1	NP_009469.2
OG0000890	QNG12596.1	NP_011268.1
OG0000891	QNG12597.1	NP_011269.2
OG0000892	QNG12598.1	NP_683716.1
OG0000893	QNG12599.1	NP_116704.1
OG0000894	QNG12600.1	NP_116703.5
OG0000895	QNG12601.1	NP_116702.1
OG0000896	QNG12603.1	NP_116701.3
OG0000897	QNG12604.1	NP_116700.1
OG0000898	QNG12605.1	NP_116699.3
OG0000899	QNG12606.1	NP_116698.3
OG0000900	QNG12607.1	NP_116697.3
OG0000901	QNG12608.1	NP_010961.3
OG0000902	QNG12609.1	NP_010874.3
OG0000903	QNG12610.1	NP_010960.1
OG0000904	QNG12611.1	NP_010959.2
OG0000905	QNG12612.1	NP_010958.3
OG0000906	QNG12613.1	NP_010955.3
OG0000907	QNG12615.1	NP_010953.1
OG0000908	QNG12617.1	NP_010951.1
OG0000909	QNG12618.1	NP_010950.1
OG0000910	QNG12619.1	NP_010949.4
OG0000911	QNG12620.1	NP_010948.1
OG0000912	QNG12621.1	NP_010947.2
OG0000913	QNG12622.1	NP_010946.3
OG0000914	QNG12623.1	NP_010945.1
OG0000915	QNG12624.1	NP_013503.1
OG0000916	QNG12625.1	NP_013502.3
OG0000917	QNG12626.1	NP_013501.1
OG0000918	QNG12627.1	NP_013500.3
OG0000919	QNG12628.1	NP_013499.1
OG0000920	QNG12629.1	NP_013498.3
OG0000921	QNG12630.1	NP_013497.1
OG0000922	QNG12631.1	NP_013496.3
OG0000923	QNG12632.1	NP_009392.2
OG0000924	QNG12633.1	NP_009393.1
OG0000925	QNG12634.1	NP_009394.1
OG0000926	QNG12636.1	NP_011841.1
OG0000927	QNG12637.1	NP_014905.1
OG0000928	QNG12638.1	NP_014907.3
OG0000929	QNG12639.1	NP_014908.1
OG0000930	QNG12640.1	NP_014909.3
OG0000931	QNG12642.1	NP_014912.1
OG0000932	QNG12645.1	NP_009980.1
OG0000933	QNG12646.1	NP_009981.1
OG0000934	QNG12647.1	NP_011308.1
OG0000935	QNG12648.1	NP_010943.3
OG0000936	QNG12650.1	NP_013374.1
OG0000937	QNG12651.1	NP_013370.1
OG0000938	QNG12652.1	NP_013060.1
OG0000939	QNG12654.1	NP_013058.1
OG0000940	QNG12658.1	NP_013049.1
OG0000941	QNG12659.1	NP_014452.1
OG0000942	QNG12660.1	NP_014451.1
OG0000943	QNG12661.1	NP_014450.3
OG0000944	QNG12662.1	NP_014449.1
OG0000945	QNG12663.1	NP_014448.1
OG0000946	QNG12664.1	NP_014447.3
OG0000947	QNG12667.1	NP_014444.1
OG0000948	QNG12668.1	NP_014443.3
OG0000949	QNG12670.1	NP_010012.1
OG0000950	QNG12672.1	NP_014441.1
OG0000951	QNG12673.1	NP_014439.3
OG0000952	QNG12674.1	NP_014438.3
OG0000953	QNG12675.1	NP_010374.1
OG0000954	QNG12677.1	NP_012259.3
OG0000955	QNG12678.1	NP_012258.3
OG0000956	QNG12679.1	NP_012255.3
OG0000957	QNG12680.1	NP_012254.1
OG0000958	QNG12686.1	NP_010290.3
OG0000959	QNG12689.1	NP_009561.2
OG0000960	QNG12690.1	NP_009560.1
OG0000961	QNG12692.1	NP_009558.2
OG0000962	QNG12693.1	NP_009557.1
OG0000963	QNG12694.1	NP_009556.1
OG0000964	QNG12695.1	NP_010285.1
OG0000965	QNG12697.1	NP_009554.1
OG0000966	QNG12700.1	NP_010281.1
OG0000967	QNG12701.1	NP_010280.1
OG0000968	QNG12702.1	NP_010279.3
OG0000969	QNG12703.1	NP_010278.3
OG0000970	QNG12704.1	NP_012630.1
OG0000971	QNG12705.1	NP_012631.3
OG0000972	QNG12706.1	NP_012632.2
OG0000973	QNG12707.1	NP_012633.1
OG0000974	QNG12708.1	NP_012634.3
OG0000975	QNG12709.1	NP_012635.1
OG0000976	QNG12710.1	NP_012636.1
OG0000977	QNG12711.1	NP_012638.1
OG0000979	QNG12713.1	NP_012649.3
OG0000980	QNG12714.1	NP_012647.1
OG0000981	QNG12716.1	NP_012646.3
OG0000982	QNG12717.1	NP_012645.1
OG0000983	QNG12718.1	NP_012644.1
OG0000984	QNG12721.1	NP_012641.2
OG0000985	QNG12722.1	NP_012640.4
OG0000986	QNG12723.1	NP_012639.1
OG0000987	QNG12724.1	NP_009411.2
OG0000988	QNG12728.1	NP_014584.1
OG0000989	QNG12729.1	NP_014583.2
OG0000990	QNG12731.1	NP_014581.1
OG0000991	QNG12732.1	NP_014580.1
OG0000992	QNG12733.1	NP_014579.1
OG0000993	QNG12734.1	NP_014578.1
OG0000994	QNG12735.1	NP_014577.1
OG0000995	QNG12736.1	NP_014576.1
OG0000996	QNG12737.1	NP_014575.1
OG0000997	QNG12738.1	NP_010244.1
OG0000998	QNG12739.1	NP_014574.1
OG0000999	QNG12742.1	NP_010051.1
OG0001000	QNG12743.1	NP_010050.1
OG0001001	QNG12744.1	NP_010049.1
OG0001002	QNG12746.1	NP_010047.1
OG0001003	QNG12747.1	NP_010045.1
OG0001004	QNG12748.1	NP_010044.2
OG0001005	QNG12749.1	NP_010043.1
OG0001006	QNG12750.1	NP_014174.1
OG0001007	QNG12751.1	NP_010041.2
OG0001008	QNG12757.1	NP_009971.1
OG0001009	QNG12758.1	NP_012368.1
OG0001010	QNG12759.1	NP_012749.1
OG0001011	QNG12760.1	NP_013614.1
OG0001012	QNG12761.1	NP_013616.1
OG0001013	QNG12763.1	NP_013914.1
OG0001014	QNG12764.1	NP_013913.1
OG0001015	QNG12765.1	NP_013912.1
OG0001016	QNG12767.1	NP_013910.1
