Orthogroup	BG2_protein	CBS138_protein
OG0000384	QNG14396.1	XP_447054.1
OG0000385	QNG14464.1	XP_447119.1
OG0000386	QNG14495.1	XP_447150.1
OG0000387	QNG14523.1	XP_447178.1
OG0000388	QNG14534.1	XP_447189.1
OG0000389	QNG14536.1	XP_447191.1
OG0000390	QNG14609.1	XP_445421.1
OG0000391	QNG14610.1	XP_445422.1
OG0000392	QNG14633.1	XP_447475.1
OG0000393	QNG14646.1	XP_447488.1
OG0000394	QNG14651.1	XP_447493.1
OG0000395	QNG14677.1	XP_447518.1
OG0000396	QNG14698.1	XP_447538.1
OG0000397	QNG14732.1	XP_447572.1
OG0000398	QNG14746.1	XP_447586.1
OG0000399	QNG14796.1	XP_447635.1
OG0000400	QNG14817.1	XP_447656.1
OG0000401	QNG14820.1	XP_447659.1
OG0000402	QNG14849.1	XP_447687.1
OG0000403	QNG14852.1	XP_447691.1
OG0000404	QNG14857.1	XP_447696.1
OG0000405	QNG14864.1	XP_447703.1
OG0000406	QNG14872.1	XP_447712.1
OG0000407	QNG14881.1	XP_447719.1
OG0000408	QNG14889.1	XP_447727.1
OG0000409	QNG14906.1	XP_447744.1
OG0000410	QNG14911.1	XP_447749.1
OG0000411	QNG14936.1	XP_447773.1
OG0000412	QNG14942.1	XP_447780.1
OG0000413	QNG14945.1	XP_447783.1
OG0000413	QNG14947.1	XP_002999568.1
OG0000414	QNG14969.1	XP_447807.1
OG0000415	QNG14992.1	XP_447830.1
OG0000416	QNG15002.1	XP_447841.1
OG0000417	QNG15006.1	XP_447845.1
OG0000418	QNG15019.1	XP_447857.1
OG0000419	QNG15032.1	XP_447871.1
OG0000420	QNG15045.1	XP_447884.1
OG0000421	QNG15124.1	XP_447963.1
OG0000422	QNG15130.1	XP_447969.1
OG0000423	QNG15143.1	XP_447981.1
OG0000424	QNG15147.1	XP_447984.1
OG0000425	QNG15156.1	XP_447993.1
OG0000426	QNG15232.1	XP_448068.1
OG0000427	QNG15235.1	XP_448072.1
OG0000428	QNG15244.1	XP_448081.1
OG0000429	QNG15266.1	XP_448104.1
OG0000430	QNG15302.1	XP_448140.1
OG0000431	QNG15310.1	XP_448148.1
OG0000432	QNG15312.1	XP_448150.1
OG0000433	QNG15313.1	XP_448152.1
OG0000434	QNG15346.1	XP_448185.1
OG0000435	QNG15357.1	XP_448196.1
OG0000436	QNG15420.1	XP_448255.1
OG0000437	QNG15424.1	XP_448259.1
OG0000438	QNG15464.1	XP_448299.1
OG0000439	QNG15482.1	XP_448317.1
OG0000440	QNG15484.1	XP_448319.1
OG0000441	QNG15537.1	XP_448371.1
OG0000442	QNG15546.1	XP_448379.1
OG0000443	QNG15548.1	XP_448381.1
OG0000444	QNG15553.1	XP_448386.1
OG0000445	QNG15572.1	XP_448405.1
OG0000446	QNG15620.1	XP_448454.1
OG0000447	QNG15621.1	XP_448455.1
OG0000448	QNG15638.1	XP_448471.1
OG0000449	QNG15641.1	XP_448474.1
OG0000450	QNG15646.1	XP_002999578.1
OG0000451	QNG15658.1	XP_448490.1
OG0000452	QNG15671.1	XP_448502.1
OG0000453	QNG15678.1	XP_448509.1
OG0000454	QNG15683.1	XP_448514.1
OG0000455	QNG15685.1	XP_448516.1
OG0000456	QNG15688.1	XP_448519.1
OG0000457	QNG15697.1	XP_448528.1
OG0000458	QNG15713.1	XP_448542.1
OG0000459	QNG15714.1	XP_448543.1
OG0000460	QNG15750.1	XP_448580.1
OG0000461	QNG15754.1	XP_448584.1
OG0000462	QNG15756.1	XP_448586.1
OG0000463	QNG15790.1	XP_448620.1
OG0000464	QNG15839.1	XP_448668.1
OG0000465	QNG15862.1	XP_002999583.1
OG0000466	QNG15875.1	XP_448702.1
OG0000467	QNG15887.1	XP_448714.1
OG0000468	QNG15898.1	XP_448726.1
OG0000469	QNG15973.1	XP_447279.1
OG0000470	QNG15980.1	XP_447286.1
OG0000471	QNG15982.1	XP_447288.1
OG0000472	QNG16010.1	XP_447316.1
OG0000473	QNG16040.1	XP_447346.1
OG0000474	QNG16077.1	XP_447385.1
OG0000475	QNG16112.1	XP_447420.1
OG0000476	QNG16131.1	XP_447438.1
OG0000477	QNG16140.1	XP_447447.1
OG0000478	QNG16143.1	XP_447450.1
OG0000479	QNG16165.1	XP_002999558.1
OG0000480	QNG16196.1	XP_448847.1
OG0000481	QNG16202.1	XP_448851.1
OG0000482	QNG16203.1	XP_448852.1
OG0000483	QNG16267.1	XP_449123.1
OG0000484	QNG16287.1	XP_449103.1
OG0000485	QNG16299.1	XP_449091.1
OG0000486	QNG16314.1	XP_449076.2
OG0000487	QNG16368.1	XP_449021.1
OG0000488	QNG16402.1	XP_448986.1
OG0000489	QNG16429.1	XP_448961.1
OG0000490	QNG16443.1	XP_448947.1
OG0000491	QNG16444.1	XP_448946.1
OG0000492	QNG16460.1	XP_448930.1
OG0000493	QNG16505.1	XP_448885.1
OG0000494	QNG16538.1	XP_449183.1
OG0000495	QNG16558.1	XP_449204.1
OG0000496	QNG16563.1	XP_449207.1
OG0000497	QNG16579.1	XP_449222.1
OG0000498	QNG16593.1	XP_449236.1
OG0000499	QNG16615.1	XP_449258.1
OG0000500	QNG16620.1	XP_449263.1
OG0000501	QNG16623.1	XP_449266.2
OG0000502	QNG16625.1	XP_449268.1
OG0000503	QNG16641.1	XP_449284.1
OG0000504	QNG16662.1	XP_449305.1
OG0000505	QNG16666.1	XP_449309.1
OG0000506	QNG16668.1	XP_449313.1
OG0000507	QNG16669.1	XP_449314.1
OG0000508	QNG16685.1	XP_449330.1
OG0000509	QNG16700.1	XP_449345.1
OG0000510	QNG16739.1	XP_449381.1
OG0000511	QNG16813.1	XP_449454.1
OG0000512	QNG16828.1	XP_449470.1
OG0000513	QNG16841.1	XP_449483.1
OG0000514	QNG16842.1	XP_449484.1
OG0000515	QNG16864.1	XP_449504.1
OG0000516	QNG16868.1	XP_449508.1
OG0000517	QNG16897.1	XP_449537.1
OG0000518	QNG16906.1	XP_449546.1
OG0000519	QNG16920.1	XP_449559.1
OG0000520	QNG16923.1	XP_449562.1
OG0000521	QNG16927.1	XP_449566.1
OG0000522	QNG16946.1	XP_449585.1
OG0000523	QNG16962.1	XP_449600.1
OG0000524	QNG16965.1	XP_449603.1
OG0000525	QNG16973.1	XP_449611.1
OG0000526	QNG16980.1	XP_449618.1
OG0000527	QNG16993.1	XP_449631.1
OG0000528	QNG17059.1	XP_449697.1
OG0000529	QNG17061.1	XP_449699.1
OG0000530	QNG17081.1	XP_449719.1
OG0000531	QNG17086.1	XP_449724.1
OG0000532	QNG17103.1	XP_449741.1
OG0000533	QNG17117.1	XP_449755.1
OG0000534	QNG17155.1	XP_449792.1
OG0000535	QNG17163.1	XP_449800.1
OG0000536	QNG17169.1	XP_449806.1
OG0000537	QNG17175.1	XP_449812.1
OG0000538	QNG17179.1	XP_002999605.1
OG0000539	QNG17245.1	XP_449877.1
OG0000540	QNG17246.1	XP_449878.1
OG0000541	QNG17247.1	XP_449879.1
OG0000542	QNG17250.1	XP_449882.1
OG0000543	QNG17267.1	XP_449901.1
OG0000544	QNG17286.1	XP_449920.1
OG0000545	QNG17290.1	XP_449923.1
OG0000556	QNG12110.1	XP_444780.1
OG0000557	QNG12111.1	XP_444781.1
OG0000558	QNG12113.1	XP_444783.1
OG0000559	QNG12114.1	XP_444784.1
OG0000560	QNG12115.1	XP_444785.1
OG0000561	QNG12116.1	XP_444786.1
OG0000562	QNG12117.1	XP_444787.1
OG0000563	QNG12118.1	XP_444788.1
OG0000564	QNG12119.1	XP_444789.1
OG0000565	QNG12120.1	XP_444790.1
OG0000566	QNG12121.1	XP_444791.1
OG0000567	QNG12123.1	XP_444793.1
OG0000568	QNG12125.1	XP_444795.1
OG0000569	QNG12126.1	XP_444796.1
OG0000570	QNG12127.1	XP_444797.1
OG0000571	QNG12129.1	XP_444799.1
OG0000572	QNG12136.1	XP_444804.1
OG0000573	QNG12137.1	XP_444805.1
OG0000574	QNG12139.1	XP_444807.1
OG0000575	QNG12140.1	XP_444808.1
OG0000576	QNG12141.1	XP_444809.1
OG0000577	QNG12142.1	XP_444810.1
OG0000578	QNG12143.1	XP_444811.1
OG0000579	QNG12145.1	XP_444813.1
OG0000580	QNG12146.1	XP_444814.1
OG0000581	QNG12148.1	XP_444816.1
OG0000582	QNG12149.1	XP_444817.1
OG0000583	QNG12150.1	XP_444818.1
OG0000584	QNG12151.1	XP_444819.1
OG0000585	QNG12152.1	XP_444820.1
OG0000586	QNG12153.1	XP_444821.1
OG0000587	QNG12154.1	XP_444822.1
OG0000588	QNG12156.1	XP_444823.1
OG0000589	QNG12158.1	XP_444825.1
OG0000590	QNG12163.1	XP_444829.1
OG0000591	QNG12164.1	XP_444830.1
OG0000592	QNG12166.1	XP_444832.1
OG0000593	QNG12168.1	XP_444834.1
OG0000594	QNG12169.1	XP_444835.1
OG0000595	QNG12170.1	XP_444836.1
OG0000596	QNG12173.1	XP_444839.1
OG0000597	QNG12174.1	XP_444840.1
OG0000598	QNG12175.1	XP_444841.1
OG0000599	QNG12180.1	XP_444846.1
OG0000600	QNG12183.1	XP_444849.1
OG0000601	QNG12184.1	XP_444850.1
OG0000602	QNG12185.1	XP_444851.1
OG0000603	QNG12186.1	XP_444852.1
OG0000604	QNG12187.1	XP_444853.1
OG0000605	QNG12189.1	XP_444855.1
OG0000606	QNG12190.1	XP_444856.1
OG0000607	QNG12191.1	XP_444857.1
OG0000608	QNG12196.1	XP_444863.1, XP_444862.1
OG0000609	QNG12200.1	XP_444867.1
OG0000610	QNG12201.1	XP_444868.1
OG0000611	QNG12202.1	XP_444869.1
OG0000612	QNG12203.1	XP_444870.1
OG0000613	QNG12204.1	XP_444871.1
OG0000614	QNG12206.1	XP_444873.1
OG0000615	QNG12209.1	XP_444876.1
OG0000616	QNG12210.1	XP_444877.1
OG0000617	QNG12211.1	XP_444878.1
OG0000618	QNG12213.1	XP_444880.1
OG0000619	QNG12214.1	XP_444881.1
OG0000620	QNG12215.1	XP_444882.1
OG0000621	QNG12216.1	XP_444883.1
OG0000622	QNG12217.1	XP_444884.1
OG0000623	QNG12218.1	XP_444885.1
OG0000624	QNG12219.1	XP_444886.1
OG0000625	QNG12220.1	XP_444887.1
OG0000626	QNG12222.1	XP_444889.1
OG0000627	QNG12223.1	XP_444890.1
OG0000628	QNG12225.1	XP_444892.1
OG0000629	QNG12226.1	XP_444893.1
OG0000630	QNG12227.1	XP_444894.1
OG0000631	QNG12228.1	XP_444895.1
OG0000632	QNG12230.1	XP_444896.1
OG0000633	QNG12231.1	XP_444897.1
OG0000634	QNG12232.1	XP_444898.1
OG0000635	QNG12233.1	XP_002999513.1
OG0000636	QNG12235.1	XP_444901.1
OG0000637	QNG12236.1	XP_444902.1
OG0000638	QNG12237.1	XP_444903.1
OG0000639	QNG12238.1	XP_444904.1
OG0000640	QNG12239.1	XP_444905.1
OG0000641	QNG12240.1	XP_444906.1
OG0000642	QNG12241.1	XP_444907.1
OG0000643	QNG12243.1	XP_444909.1
OG0000644	QNG12245.1	XP_444911.1
OG0000645	QNG12246.1	XP_444912.1
OG0000646	QNG12247.1	XP_444913.1
OG0000647	QNG12251.1	XP_444917.1
OG0000648	QNG12252.1	XP_444918.1
OG0000649	QNG12253.1	XP_444919.1
OG0000650	QNG12254.1	XP_444920.1
OG0000651	QNG12255.1	XP_444921.1
OG0000652	QNG12256.1	XP_444922.1
OG0000653	QNG12257.1	XP_444923.1
OG0000654	QNG12259.1	XP_444925.1
OG0000655	QNG12260.1	XP_444926.1
OG0000656	QNG12261.1	XP_444927.1
OG0000657	QNG12262.1	XP_444928.1
OG0000658	QNG12263.1	XP_444929.1
OG0000659	QNG12264.1	XP_444930.1
OG0000660	QNG12265.1	XP_444931.1
OG0000661	QNG12266.1	XP_444932.1
OG0000662	QNG12267.1	XP_444933.1
OG0000663	QNG12268.1	XP_444934.1
OG0000664	QNG12270.1	XP_444936.1
OG0000665	QNG12271.1	XP_444937.1
OG0000666	QNG12272.1	XP_444938.1
OG0000667	QNG12273.1	XP_444939.1
OG0000668	QNG12274.1	XP_444940.2
OG0000669	QNG12275.1	XP_444941.1
OG0000670	QNG12276.1	XP_444942.1
OG0000671	QNG12277.1	XP_444943.1
OG0000672	QNG12278.1	XP_444944.1
OG0000673	QNG12279.1	XP_444945.1
OG0000674	QNG12280.1	XP_444946.1
OG0000675	QNG12281.1	XP_444947.1
OG0000676	QNG12282.1	XP_444948.1
OG0000677	QNG12284.1	XP_444950.1
OG0000678	QNG12285.1	XP_444951.1
OG0000679	QNG12287.1	XP_444953.1
OG0000680	QNG12289.1	XP_444955.1
OG0000681	QNG12290.1	XP_444956.1
OG0000682	QNG12291.1	XP_444958.2
OG0000683	QNG12292.1	XP_444957.1
OG0000684	QNG12294.1	XP_444960.1
OG0000685	QNG12295.1	XP_444961.1
OG0000686	QNG12297.1	XP_444963.1
OG0000687	QNG12299.1	XP_444965.1
OG0000688	QNG12300.1	XP_444966.1
OG0000689	QNG12301.1	XP_444967.1
OG0000690	QNG12302.1	XP_444969.1
OG0000691	QNG12303.1	XP_444970.1
OG0000692	QNG12304.1	XP_444971.1
OG0000693	QNG12305.1	XP_444972.1
OG0000694	QNG12306.1	XP_444973.1
OG0000695	QNG12307.1	XP_444974.1
OG0000696	QNG12308.1	XP_444976.1
OG0000697	QNG12309.1	XP_444977.1
OG0000698	QNG12316.1	XP_444982.1
OG0000699	QNG12317.1	XP_444983.1
OG0000700	QNG12318.1	XP_444984.1
OG0000701	QNG12319.1	XP_444985.1
OG0000702	QNG12320.1	XP_444986.1
OG0000703	QNG12321.1	XP_444987.2
OG0000704	QNG12322.1	XP_444988.1
OG0000705	QNG12324.1	XP_444990.1
OG0000706	QNG12325.1	XP_444991.1
OG0000707	QNG12326.1	XP_444992.1
OG0000708	QNG12331.1	XP_444998.1
OG0000709	QNG12332.1	XP_444999.1
OG0000710	QNG12333.1	XP_445000.1
OG0000711	QNG12334.1	XP_445001.1
OG0000712	QNG12337.1	XP_445003.1
OG0000713	QNG12338.1	XP_445004.1
OG0000714	QNG12340.1	XP_445006.1
OG0000715	QNG12341.1	XP_445007.1
OG0000716	QNG12342.1	XP_445008.1
OG0000717	QNG12343.1	XP_445009.1
OG0000718	QNG12344.1	XP_445010.1
OG0000719	QNG12345.1	XP_445011.1
OG0000720	QNG12346.1	XP_445012.1
OG0000721	QNG12347.1	XP_445013.1
OG0000722	QNG12348.1	XP_445014.1
OG0000723	QNG12353.1	XP_445019.1
OG0000724	QNG12354.1	XP_445020.1
OG0000725	QNG12357.1	XP_445023.1
OG0000726	QNG12360.1	XP_445027.1
OG0000727	QNG12361.1	XP_445028.1
OG0000728	QNG12362.1	XP_445029.1
OG0000729	QNG12363.1	XP_445030.1
OG0000730	QNG12364.1	XP_445031.1
OG0000731	QNG12365.1	XP_445032.1
OG0000732	QNG12366.1	XP_445033.1
OG0000733	QNG12367.1	XP_445034.1
OG0000734	QNG12368.1	XP_445035.1
OG0000735	QNG12369.1	XP_445036.1
OG0000736	QNG12370.1	XP_445037.1
OG0000737	QNG12371.1	XP_445038.1
OG0000738	QNG12372.1	XP_002999515.1
OG0000739	QNG12374.1	XP_445040.1
OG0000740	QNG12375.1	XP_445041.1
OG0000741	QNG12377.1	XP_445043.1
OG0000742	QNG12378.1	XP_445044.1
OG0000743	QNG12380.1	XP_445046.1
OG0000744	QNG12381.1	XP_445047.2
OG0000745	QNG12382.1	XP_445048.1
OG0000746	QNG12383.1	XP_445049.1
OG0000747	QNG12384.1	XP_445050.1
OG0000748	QNG12385.1	XP_002999516.1
OG0000749	QNG12386.1	XP_445051.1
OG0000750	QNG12387.1	XP_445052.1
OG0000751	QNG12389.1	XP_445054.1
OG0000752	QNG12390.1	XP_445055.1
OG0000753	QNG12391.1	XP_445056.1
OG0000754	QNG12392.1	XP_445057.1
OG0000755	QNG12393.1	XP_445058.1
OG0000756	QNG12394.1	XP_445059.1
OG0000757	QNG12395.1	XP_445060.1
OG0000758	QNG12396.1	XP_445061.1
OG0000759	QNG12397.1	XP_445062.1
OG0000760	QNG12399.1	XP_445064.1
OG0000761	QNG12400.1	XP_445065.1
OG0000762	QNG12401.1	XP_445066.1
OG0000763	QNG12402.1	XP_445067.1
OG0000764	QNG12403.1	XP_445068.1
OG0000765	QNG12404.1	XP_445069.1
OG0000766	QNG12405.1	XP_445070.1
OG0000767	QNG12406.1	XP_445071.1
OG0000768	QNG12408.1	XP_445073.2
OG0000769	QNG12410.1	XP_445075.1
OG0000770	QNG12411.1	XP_445076.1
OG0000771	QNG12412.1	XP_445077.1
OG0000772	QNG12413.1	XP_445078.1
OG0000773	QNG12416.1	XP_445081.1
OG0000774	QNG12417.1	XP_445082.1
OG0000775	QNG12418.1	XP_445083.1
OG0000776	QNG12419.1	XP_445084.1
OG0000777	QNG12422.1	XP_445087.1
OG0000778	QNG12423.1	XP_445088.1
OG0000779	QNG12425.1	XP_445090.1
OG0000780	QNG12428.1	XP_445092.1
OG0000781	QNG12429.1	XP_445093.1
OG0000782	QNG12432.1	XP_445096.1
OG0000783	QNG12439.1	XP_445105.1
OG0000784	QNG12440.1	XP_445106.1
OG0000785	QNG12442.1	XP_445108.1
OG0000786	QNG12444.1	XP_445110.1
OG0000787	QNG12446.1	XP_445112.1
OG0000788	QNG12447.1	XP_445113.1
OG0000789	QNG12448.1	XP_445114.1
OG0000790	QNG12449.1	XP_445115.1
OG0000791	QNG12450.1	XP_445116.1
OG0000792	QNG12451.1	XP_445117.1
OG0000793	QNG12452.1	XP_445118.1
OG0000794	QNG12453.1	XP_445119.1
OG0000795	QNG12455.1	XP_445121.1
OG0000796	QNG12456.1	XP_445122.1
OG0000797	QNG12459.1	XP_445125.2
OG0000798	QNG12460.1	XP_445126.1
OG0000799	QNG12461.1	XP_445127.1
OG0000800	QNG12462.1	XP_445128.1
OG0000801	QNG12465.1	XP_445130.1
OG0000802	QNG12467.1	XP_445132.1
OG0000803	QNG12468.1	XP_445133.1
OG0000804	QNG12469.1	XP_445134.1
OG0000805	QNG12470.1	XP_445135.1
OG0000806	QNG12471.1	XP_445136.1
OG0000807	QNG12472.1	XP_445137.1
OG0000808	QNG12473.1	XP_002999519.1
OG0000809	QNG12476.1	XP_002999520.1
OG0000810	QNG12477.1	XP_445140.1
OG0000811	QNG12478.1	XP_445141.1
OG0000812	QNG12481.1	XP_445144.1
OG0000813	QNG12482.1	XP_445145.1
OG0000814	QNG12483.1	XP_445146.1
OG0000815	QNG12484.1	XP_445147.1
OG0000816	QNG12485.1	XP_445148.1
OG0000817	QNG12486.1	XP_445149.1
OG0000818	QNG12488.1	XP_445151.1
OG0000819	QNG12489.1	XP_445152.1
OG0000820	QNG12493.1	XP_445156.1
OG0000821	QNG12494.1	XP_445157.1
OG0000822	QNG12495.1	XP_445158.1
OG0000823	QNG12496.1	XP_445159.1
OG0000824	QNG12499.1	XP_445162.1
OG0000825	QNG12502.1	XP_445165.1
OG0000826	QNG12503.1	XP_445166.1
OG0000827	QNG12505.1	XP_445168.1
OG0000828	QNG12506.1	XP_445169.1
OG0000829	QNG12507.1	XP_445170.1
OG0000830	QNG12508.1	XP_445171.1
OG0000831	QNG12511.1	XP_445174.1
OG0000832	QNG12513.1	XP_445176.1
OG0000833	QNG12514.1	XP_445177.1
OG0000834	QNG12515.1	XP_445178.1
OG0000835	QNG12516.1	XP_445179.1
OG0000836	QNG12517.1	XP_445180.2
OG0000837	QNG12518.1	XP_445181.1
OG0000838	QNG12519.1	XP_445182.1
OG0000839	QNG12522.1	XP_445185.1
OG0000840	QNG12523.1	XP_445186.1
OG0000841	QNG12524.1	XP_445187.1
OG0000842	QNG12525.1	XP_445188.1
OG0000843	QNG12532.1	XP_445194.1
OG0000844	QNG12533.1	XP_445195.1
OG0000845	QNG12534.1	XP_445196.1
OG0000846	QNG12535.1	XP_445197.1
OG0000847	QNG12536.1	XP_445198.1
OG0000848	QNG12537.1	XP_445199.1
OG0000849	QNG12538.1	XP_445200.1
OG0000850	QNG12539.1	XP_445201.1
OG0000851	QNG12540.1	XP_445202.1
OG0000852	QNG12541.1	XP_445203.1
OG0000853	QNG12542.1	XP_445204.1
OG0000854	QNG12543.1	XP_445205.2
OG0000855	QNG12544.1	XP_445206.1
OG0000856	QNG12546.1	XP_445208.1
OG0000857	QNG12547.1	XP_445209.1
OG0000858	QNG12548.1	XP_445210.1
OG0000859	QNG12549.1	XP_445211.1
OG0000860	QNG12550.1	XP_445212.1
OG0000861	QNG12551.1	XP_445213.1
OG0000862	QNG12552.1	XP_445214.1
OG0000863	QNG12553.1	XP_445215.1
OG0000864	QNG12559.1	XP_445224.1
OG0000865	QNG12560.1	XP_445225.1
OG0000866	QNG12562.1	XP_445227.1
OG0000867	QNG12563.1	XP_445228.1
OG0000868	QNG12564.1	XP_445229.1
OG0000869	QNG12566.1	XP_445231.1
OG0000870	QNG12567.1	XP_002999521.1
OG0000871	QNG12568.1	XP_445232.1
OG0000872	QNG12570.1	XP_445234.1
OG0000873	QNG12572.1	XP_445236.1
OG0000874	QNG12573.1	XP_002999522.1
OG0000875	QNG12574.1	XP_445237.1
OG0000876	QNG12575.1	XP_445238.1
OG0000877	QNG12576.1	XP_445239.1
OG0000878	QNG12577.1	XP_445240.1
OG0000879	QNG12578.1	XP_445241.1
OG0000880	QNG12579.1	XP_445242.1
OG0000881	QNG12580.1	XP_445243.1
OG0000882	QNG12581.1	XP_445244.1
OG0000883	QNG12583.1	XP_445246.1
OG0000884	QNG12584.1	XP_445247.1
OG0000885	QNG12587.1	XP_445250.1
OG0000886	QNG12588.1	XP_445251.1
OG0000887	QNG12590.1	XP_445253.1
OG0000888	QNG12591.1	XP_445254.1
OG0000889	QNG12594.1	XP_445258.1
OG0000890	QNG12596.1	XP_445259.1
OG0000891	QNG12597.1	XP_445260.1
OG0000892	QNG12598.1	XP_445261.1
OG0000893	QNG12599.1	XP_445262.1
OG0000894	QNG12600.1	XP_445263.1
OG0000895	QNG12601.1	XP_445264.1
OG0000896	QNG12603.1	XP_445266.1
OG0000897	QNG12604.1	XP_445267.1
OG0000898	QNG12605.1	XP_445268.1
OG0000899	QNG12606.1	XP_445269.1
OG0000900	QNG12607.1	XP_445270.1
OG0000901	QNG12608.1	XP_445271.1
OG0000902	QNG12609.1	XP_445272.1
OG0000903	QNG12610.1	XP_445273.1
OG0000904	QNG12611.1	XP_445274.1
OG0000905	QNG12612.1	XP_445275.1
OG0000906	QNG12613.1	XP_445276.1
OG0000907	QNG12615.1	XP_445278.2
OG0000908	QNG12617.1	XP_445280.1
OG0000909	QNG12618.1	XP_445281.1
OG0000910	QNG12619.1	XP_445282.1
OG0000911	QNG12620.1	XP_445283.1
OG0000912	QNG12621.1	XP_445284.1
OG0000913	QNG12622.1	XP_445285.1
OG0000914	QNG12623.1	XP_445286.1
OG0000915	QNG12624.1	XP_445287.1
OG0000916	QNG12625.1	XP_445288.1
OG0000917	QNG12626.1	XP_445289.1
OG0000918	QNG12627.1	XP_445290.1
OG0000919	QNG12628.1	XP_002999524.1
OG0000920	QNG12629.1	XP_445291.1
OG0000921	QNG12630.1	XP_445292.1
OG0000922	QNG12631.1	XP_445293.1
OG0000923	QNG12632.1	XP_445294.1
OG0000924	QNG12633.1	XP_445295.1
OG0000925	QNG12634.1	XP_445296.1
OG0000926	QNG12636.1	XP_445298.1
OG0000927	QNG12637.1	XP_445299.1
OG0000928	QNG12638.1	XP_445300.1
OG0000929	QNG12639.1	XP_445301.1
OG0000930	QNG12640.1	XP_445302.1
OG0000931	QNG12642.1	XP_445305.1
OG0000932	QNG12645.1	XP_445308.1
OG0000933	QNG12646.1	XP_445309.1
OG0000934	QNG12647.1	XP_445310.1
OG0000935	QNG12648.1	XP_445311.1
OG0000936	QNG12650.1	XP_445313.1
OG0000937	QNG12651.1	XP_445314.1
OG0000938	QNG12652.1	XP_445315.1
OG0000939	QNG12654.1	XP_445317.1
OG0000940	QNG12658.1	XP_445321.1
OG0000941	QNG12659.1	XP_445322.1
OG0000942	QNG12660.1	XP_445323.1
OG0000943	QNG12661.1	XP_445324.1
OG0000944	QNG12662.1	XP_445325.1
OG0000945	QNG12663.1	XP_445326.1
OG0000946	QNG12664.1	XP_445327.1
OG0000947	QNG12667.1	XP_445330.1
OG0000948	QNG12668.1	XP_445331.1
OG0000949	QNG12670.1	XP_445333.1
OG0000950	QNG12672.1	XP_445335.1
OG0000951	QNG12673.1	XP_445336.1
OG0000952	QNG12674.1	XP_445337.1
OG0000953	QNG12675.1	XP_445338.1
OG0000954	QNG12677.1	XP_445340.1
OG0000955	QNG12678.1	XP_445341.1
OG0000956	QNG12679.1	XP_445343.1
OG0000957	QNG12680.1	XP_445344.1
OG0000958	QNG12686.1	XP_445353.1
OG0000959	QNG12689.1	XP_445357.1
OG0000960	QNG12690.1	XP_445358.1
OG0000961	QNG12692.1	XP_445360.1
OG0000962	QNG12693.1	XP_445361.1
OG0000963	QNG12694.1	XP_445362.1
OG0000964	QNG12695.1	XP_445363.1
OG0000965	QNG12697.1	XP_445365.1
OG0000966	QNG12700.1	XP_445368.1
OG0000967	QNG12701.1	XP_445369.1
OG0000968	QNG12702.1	XP_445370.1
OG0000969	QNG12703.1	XP_445371.1
OG0000970	QNG12704.1	XP_445372.1
OG0000971	QNG12705.1	XP_445373.1
OG0000972	QNG12706.1	XP_445374.1
OG0000973	QNG12707.1	XP_445375.1
OG0000974	QNG12708.1	XP_445376.1
OG0000975	QNG12709.1	XP_445377.1
OG0000976	QNG12710.1	XP_445378.1
OG0000977	QNG12711.1	XP_445379.1
OG0000978	QNG12712.1	XP_445380.1, XP_445256.2
OG0000979	QNG12713.1	XP_445381.1
OG0000980	QNG12714.1	XP_445382.1
OG0000981	QNG12716.1	XP_445384.1
OG0000982	QNG12717.1	XP_445385.1
OG0000983	QNG12718.1	XP_445386.1
OG0000984	QNG12721.1	XP_445388.1
OG0000985	QNG12722.1	XP_445389.1
OG0000986	QNG12723.1	XP_445390.1
OG0000987	QNG12724.1	XP_445391.1
OG0000988	QNG12728.1	XP_445395.1
OG0000989	QNG12729.1	XP_445396.1
OG0000990	QNG12731.1	XP_445398.1
OG0000991	QNG12732.1	XP_445399.1
OG0000992	QNG12733.1	XP_445400.1
OG0000993	QNG12734.1	XP_445401.1
OG0000994	QNG12735.1	XP_445402.1
OG0000995	QNG12736.1	XP_445403.1
OG0000996	QNG12737.1	XP_445404.1
OG0000997	QNG12738.1	XP_445405.1
OG0000998	QNG12739.1	XP_445406.1
OG0000999	QNG12742.1	XP_445410.1
OG0001000	QNG12743.1	XP_445411.1
OG0001001	QNG12744.1	XP_002999526.1
OG0001002	QNG12746.1	XP_445413.1
OG0001003	QNG12747.1	XP_445414.1
OG0001004	QNG12748.1	XP_445415.1
OG0001005	QNG12749.1	XP_445416.1
OG0001006	QNG12750.1	XP_445417.1
OG0001007	QNG12751.1	XP_445418.1
OG0001008	QNG12757.1	XP_448786.1
OG0001009	QNG12758.1	XP_448787.1
OG0001010	QNG12759.1	XP_448788.1
OG0001011	QNG12760.1	XP_448789.1
OG0001012	QNG12761.1	XP_448790.1
OG0001013	QNG12763.1	XP_448792.1
OG0001014	QNG12764.1	XP_448793.1
OG0001015	QNG12765.1	XP_448794.1
OG0001016	QNG12767.1	XP_448796.1
OG0001017	QNG12768.1	XP_448797.1
OG0001018	QNG12771.1	XP_448800.1
OG0001019	QNG12773.1	XP_445427.1
OG0001020	QNG12774.1	XP_445428.1
OG0001021	QNG12777.1	XP_445432.1
OG0001022	QNG12778.1	XP_445433.1
OG0001023	QNG12779.1	XP_445434.1
OG0001024	QNG12780.1	XP_445435.1
OG0001025	QNG12781.1	XP_445436.1
OG0001026	QNG12782.1	XP_445437.1
