Orthogroup	Species	CBS138_protein	Orthologs
OG0000677	sacCer_protein	XP_444950.1	NP_009502.1
OG0000678	BG2_protein	XP_444951.1	QNG12285.1
OG0000678	sacCer_protein	XP_444951.1	NP_009501.1
OG0000679	BG2_protein	XP_444953.1	QNG12287.1
OG0000679	sacCer_protein	XP_444953.1	NP_009498.1
OG0000680	BG2_protein	XP_444955.1	QNG12289.1
OG0000680	sacCer_protein	XP_444955.1	NP_009496.2
OG0000681	BG2_protein	XP_444956.1	QNG12290.1
OG0000681	sacCer_protein	XP_444956.1	NP_009495.1
OG0000682	sacCer_protein	XP_444958.2	NP_031358.1
OG0000682	BG2_protein	XP_444958.2	QNG12291.1
OG0000683	sacCer_protein	XP_444957.1	NP_009494.1
OG0000683	BG2_protein	XP_444957.1	QNG12292.1
OG0000684	BG2_protein	XP_444960.1	QNG12294.1
OG0000684	sacCer_protein	XP_444960.1	NP_009489.1
OG0000685	sacCer_protein	XP_444961.1	NP_009487.2
OG0000685	BG2_protein	XP_444961.1	QNG12295.1
OG0000686	sacCer_protein	XP_444963.1	NP_660100.1
OG0000686	BG2_protein	XP_444963.1	QNG12297.1
OG0000687	BG2_protein	XP_444965.1	QNG12299.1
OG0000687	sacCer_protein	XP_444965.1	NP_009479.1
OG0000688	BG2_protein	XP_444966.1	QNG12300.1
OG0000688	sacCer_protein	XP_444966.1	NP_011036.1
OG0000689	BG2_protein	XP_444967.1	QNG12301.1
OG0000689	sacCer_protein	XP_444967.1	NP_009471.1
OG0000690	sacCer_protein	XP_444969.1	NP_009472.1
OG0000690	BG2_protein	XP_444969.1	QNG12302.1
OG0000691	sacCer_protein	XP_444970.1	NP_009473.2
OG0000691	BG2_protein	XP_444970.1	QNG12303.1
OG0000692	BG2_protein	XP_444971.1	QNG12304.1
OG0000692	sacCer_protein	XP_444971.1	NP_009475.1
OG0000693	sacCer_protein	XP_444972.1	NP_116707.3
OG0000693	BG2_protein	XP_444972.1	QNG12305.1
OG0000694	BG2_protein	XP_444973.1	QNG12306.1
OG0000694	sacCer_protein	XP_444973.1	NP_116708.1
OG0000695	BG2_protein	XP_444974.1	QNG12307.1
OG0000695	sacCer_protein	XP_444974.1	NP_116709.3
OG0000696	sacCer_protein	XP_444976.1	NP_011262.1
OG0000696	BG2_protein	XP_444976.1	QNG12308.1
OG0000697	sacCer_protein	XP_444977.1	NP_116710.1
OG0000697	BG2_protein	XP_444977.1	QNG12309.1
OG0000698	sacCer_protein	XP_444982.1	NP_001018030.1
OG0000698	BG2_protein	XP_444982.1	QNG12316.1
OG0000699	sacCer_protein	XP_444983.1	NP_009870.1
OG0000699	BG2_protein	XP_444983.1	QNG12317.1
OG0000700	BG2_protein	XP_444984.1	QNG12318.1
OG0000700	sacCer_protein	XP_444984.1	NP_009871.2
OG0000701	BG2_protein	XP_444985.1	QNG12319.1
OG0000701	sacCer_protein	XP_444985.1	NP_009872.1
OG0000702	BG2_protein	XP_444986.1	QNG12320.1
OG0000702	sacCer_protein	XP_444986.1	NP_001018031.2
OG0000703	BG2_protein	XP_444987.2	QNG12321.1
OG0000703	sacCer_protein	XP_444987.2	NP_065435.1
OG0000704	sacCer_protein	XP_444988.1	NP_009874.1
OG0000704	BG2_protein	XP_444988.1	QNG12322.1
OG0000705	sacCer_protein	XP_444990.1	NP_009876.1
OG0000705	BG2_protein	XP_444990.1	QNG12324.1
OG0000706	sacCer_protein	XP_444991.1	NP_009877.1
OG0000706	BG2_protein	XP_444991.1	QNG12325.1
OG0000707	sacCer_protein	XP_444992.1	NP_009878.1
OG0000707	BG2_protein	XP_444992.1	QNG12326.1
OG0000708	BG2_protein	XP_444998.1	QNG12331.1
OG0000708	sacCer_protein	XP_444998.1	NP_009883.1
OG0000709	BG2_protein	XP_444999.1	QNG12332.1
OG0000709	sacCer_protein	XP_444999.1	NP_009884.1
OG0000710	BG2_protein	XP_445000.1	QNG12333.1
OG0000710	sacCer_protein	XP_445000.1	NP_009886.1
OG0000711	sacCer_protein	XP_445001.1	NP_009887.1
OG0000711	BG2_protein	XP_445001.1	QNG12334.1
OG0000712	sacCer_protein	XP_445003.1	NP_009891.1
OG0000712	BG2_protein	XP_445003.1	QNG12337.1
OG0000713	BG2_protein	XP_445004.1	QNG12338.1
OG0000713	sacCer_protein	XP_445004.1	NP_009892.1
OG0000714	sacCer_protein	XP_445006.1	NP_009896.2
OG0000714	BG2_protein	XP_445006.1	QNG12340.1
OG0000715	sacCer_protein	XP_445007.1	NP_009897.1
OG0000715	BG2_protein	XP_445007.1	QNG12341.1
OG0000716	sacCer_protein	XP_445008.1	NP_009898.1
OG0000716	BG2_protein	XP_445008.1	QNG12342.1
OG0000717	BG2_protein	XP_445009.1	QNG12343.1
OG0000717	sacCer_protein	XP_445009.1	NP_009899.1
OG0000718	sacCer_protein	XP_445010.1	NP_009900.2
OG0000718	BG2_protein	XP_445010.1	QNG12344.1
OG0000719	BG2_protein	XP_445011.1	QNG12345.1
OG0000719	sacCer_protein	XP_445011.1	NP_009901.1
OG0000720	BG2_protein	XP_445012.1	QNG12346.1
OG0000720	sacCer_protein	XP_445012.1	NP_009902.2
OG0000721	sacCer_protein	XP_445013.1	NP_009903.2
OG0000721	BG2_protein	XP_445013.1	QNG12347.1
OG0000722	sacCer_protein	XP_445014.1	NP_065436.1
OG0000722	BG2_protein	XP_445014.1	QNG12348.1
OG0000723	sacCer_protein	XP_445019.1	NP_013282.1
OG0000723	BG2_protein	XP_445019.1	QNG12353.1
OG0000724	sacCer_protein	XP_445020.1	NP_013283.1
OG0000724	BG2_protein	XP_445020.1	QNG12354.1
OG0000725	sacCer_protein	XP_445023.1	NP_013287.1
OG0000725	BG2_protein	XP_445023.1	QNG12357.1
OG0000726	BG2_protein	XP_445027.1	QNG12360.1
OG0000726	sacCer_protein	XP_445027.1	NP_014492.1
OG0000727	sacCer_protein	XP_445028.1	NP_014493.1
OG0000727	BG2_protein	XP_445028.1	QNG12361.1
OG0000728	BG2_protein	XP_445029.1	QNG12362.1
OG0000728	sacCer_protein	XP_445029.1	NP_014496.2
OG0000729	sacCer_protein	XP_445030.1	NP_014497.1
OG0000729	BG2_protein	XP_445030.1	QNG12363.1
OG0000730	sacCer_protein	XP_445031.1	NP_014498.1
OG0000730	BG2_protein	XP_445031.1	QNG12364.1
OG0000731	BG2_protein	XP_445032.1	QNG12365.1
OG0000731	sacCer_protein	XP_445032.1	NP_014069.1
OG0000732	sacCer_protein	XP_445033.1	NP_014499.2
OG0000732	BG2_protein	XP_445033.1	QNG12366.1
OG0000733	sacCer_protein	XP_445034.1	NP_014500.2
OG0000733	BG2_protein	XP_445034.1	QNG12367.1
OG0000734	BG2_protein	XP_445035.1	QNG12368.1
OG0000734	sacCer_protein	XP_445035.1	NP_014501.1
OG0000735	BG2_protein	XP_445036.1	QNG12369.1
OG0000735	sacCer_protein	XP_445036.1	NP_010426.1
OG0000736	sacCer_protein	XP_445037.1	NP_010425.1
OG0000736	BG2_protein	XP_445037.1	QNG12370.1
OG0000737	sacCer_protein	XP_445038.1	NP_010424.3
OG0000737	BG2_protein	XP_445038.1	QNG12371.1
OG0000738	sacCer_protein	XP_002999515.1	NP_010423.4
OG0000738	BG2_protein	XP_002999515.1	QNG12372.1
OG0000739	BG2_protein	XP_445040.1	QNG12374.1
OG0000739	sacCer_protein	XP_445040.1	NP_010422.1
OG0000740	sacCer_protein	XP_445041.1	NP_010421.1
OG0000740	BG2_protein	XP_445041.1	QNG12375.1
OG0000741	BG2_protein	XP_445043.1	QNG12377.1
OG0000741	sacCer_protein	XP_445043.1	NP_010393.3
OG0000742	sacCer_protein	XP_445044.1	NP_010394.3
OG0000742	BG2_protein	XP_445044.1	QNG12378.1
OG0000743	sacCer_protein	XP_445046.1	NP_010395.1
OG0000743	BG2_protein	XP_445046.1	QNG12380.1
OG0000744	sacCer_protein	XP_445047.2	NP_010400.1
OG0000744	BG2_protein	XP_445047.2	QNG12381.1
OG0000745	BG2_protein	XP_445048.1	QNG12382.1
OG0000745	sacCer_protein	XP_445048.1	NP_010401.1
OG0000746	BG2_protein	XP_445049.1	QNG12383.1
OG0000746	sacCer_protein	XP_445049.1	NP_010402.3
OG0000747	BG2_protein	XP_445050.1	QNG12384.1
OG0000747	sacCer_protein	XP_445050.1	NP_010403.3
OG0000748	sacCer_protein	XP_002999516.1	NP_001032575.1
OG0000748	BG2_protein	XP_002999516.1	QNG12385.1
OG0000749	BG2_protein	XP_445051.1	QNG12386.1
OG0000749	sacCer_protein	XP_445051.1	NP_010405.3
OG0000750	sacCer_protein	XP_445052.1	NP_010406.3
OG0000750	BG2_protein	XP_445052.1	QNG12387.1
OG0000751	sacCer_protein	XP_445054.1	NP_010408.1
OG0000751	BG2_protein	XP_445054.1	QNG12389.1
OG0000752	BG2_protein	XP_445055.1	QNG12390.1
OG0000752	sacCer_protein	XP_445055.1	NP_010410.3
OG0000753	sacCer_protein	XP_445056.1	NP_010411.1
OG0000753	BG2_protein	XP_445056.1	QNG12391.1
OG0000754	sacCer_protein	XP_445057.1	NP_010413.3
OG0000754	BG2_protein	XP_445057.1	QNG12392.1
OG0000755	sacCer_protein	XP_445058.1	NP_010414.3
OG0000755	BG2_protein	XP_445058.1	QNG12393.1
OG0000756	sacCer_protein	XP_445059.1	NP_010415.1
OG0000756	BG2_protein	XP_445059.1	QNG12394.1
OG0000757	sacCer_protein	XP_445060.1	NP_011740.3
OG0000757	BG2_protein	XP_445060.1	QNG12395.1
OG0000758	sacCer_protein	XP_445061.1	NP_011739.1
OG0000758	BG2_protein	XP_445061.1	QNG12396.1
OG0000759	BG2_protein	XP_445062.1	QNG12397.1
OG0000759	sacCer_protein	XP_445062.1	NP_011738.3
OG0000760	sacCer_protein	XP_445064.1	NP_011736.1
OG0000760	BG2_protein	XP_445064.1	QNG12399.1
OG0000761	sacCer_protein	XP_445065.1	NP_011734.3
OG0000761	BG2_protein	XP_445065.1	QNG12400.1
OG0000762	BG2_protein	XP_445066.1	QNG12401.1
OG0000762	sacCer_protein	XP_445066.1	NP_011733.3
OG0000763	sacCer_protein	XP_445067.1	NP_011732.1
OG0000763	BG2_protein	XP_445067.1	QNG12402.1
OG0000764	sacCer_protein	XP_445068.1	NP_011731.3
OG0000764	BG2_protein	XP_445068.1	QNG12403.1
OG0000765	BG2_protein	XP_445069.1	QNG12404.1
OG0000765	sacCer_protein	XP_445069.1	NP_013594.1
OG0000766	BG2_protein	XP_445070.1	QNG12405.1
OG0000766	sacCer_protein	XP_445070.1	NP_013593.1
OG0000767	sacCer_protein	XP_445071.1	NP_013592.1
OG0000767	BG2_protein	XP_445071.1	QNG12406.1
OG0000768	sacCer_protein	XP_445073.2	NP_013589.1
OG0000768	BG2_protein	XP_445073.2	QNG12408.1
OG0000769	BG2_protein	XP_445075.1	QNG12410.1
OG0000769	sacCer_protein	XP_445075.1	NP_013587.1
OG0000770	sacCer_protein	XP_445076.1	NP_013586.1
OG0000770	BG2_protein	XP_445076.1	QNG12411.1
OG0000771	sacCer_protein	XP_445077.1	NP_013585.1
OG0000771	BG2_protein	XP_445077.1	QNG12412.1
OG0000772	BG2_protein	XP_445078.1	QNG12413.1
OG0000772	sacCer_protein	XP_445078.1	NP_013583.1
OG0000773	sacCer_protein	XP_445081.1	NP_013579.1
OG0000773	BG2_protein	XP_445081.1	QNG12416.1
OG0000774	sacCer_protein	XP_445082.1	NP_013578.1
OG0000774	BG2_protein	XP_445082.1	QNG12417.1
OG0000775	sacCer_protein	XP_445083.1	NP_010519.3
OG0000775	BG2_protein	XP_445083.1	QNG12418.1
OG0000776	BG2_protein	XP_445084.1	QNG12419.1
OG0000776	sacCer_protein	XP_445084.1	NP_010518.1
OG0000777	BG2_protein	XP_445087.1	QNG12422.1
OG0000777	sacCer_protein	XP_445087.1	NP_010540.3
OG0000778	BG2_protein	XP_445088.1	QNG12423.1
OG0000778	sacCer_protein	XP_445088.1	NP_010541.3
OG0000779	sacCer_protein	XP_445090.1	NP_013466.1
OG0000779	BG2_protein	XP_445090.1	QNG12425.1
OG0000780	sacCer_protein	XP_445092.1	NP_013464.3
OG0000780	BG2_protein	XP_445092.1	QNG12428.1
OG0000781	BG2_protein	XP_445093.1	QNG12429.1
OG0000781	sacCer_protein	XP_445093.1	NP_013463.1
OG0000782	BG2_protein	XP_445096.1	QNG12432.1
OG0000782	sacCer_protein	XP_445096.1	NP_013460.1
OG0000783	BG2_protein	XP_445105.1	QNG12439.1
OG0000783	sacCer_protein	XP_445105.1	NP_013459.1
OG0000784	BG2_protein	XP_445106.1	QNG12440.1
OG0000784	sacCer_protein	XP_445106.1	NP_013458.1
OG0000785	sacCer_protein	XP_445108.1	NP_013456.1
OG0000785	BG2_protein	XP_445108.1	QNG12442.1
OG0000786	BG2_protein	XP_445110.1	QNG12444.1
OG0000786	sacCer_protein	XP_445110.1	NP_012936.1
OG0000787	sacCer_protein	XP_445112.1	NP_009842.1
OG0000787	BG2_protein	XP_445112.1	QNG12446.1
OG0000788	sacCer_protein	XP_445113.1	NP_009841.1
OG0000788	BG2_protein	XP_445113.1	QNG12447.1
OG0000789	sacCer_protein	XP_445114.1	NP_009840.3
OG0000789	BG2_protein	XP_445114.1	QNG12448.1
OG0000790	BG2_protein	XP_445115.1	QNG12449.1
OG0000790	sacCer_protein	XP_445115.1	NP_009839.4
OG0000791	sacCer_protein	XP_445116.1	NP_009838.1
OG0000791	BG2_protein	XP_445116.1	QNG12450.1
OG0000792	sacCer_protein	XP_445117.1	NP_009837.1
OG0000792	BG2_protein	XP_445117.1	QNG12451.1
OG0000793	BG2_protein	XP_445118.1	QNG12452.1
OG0000793	sacCer_protein	XP_445118.1	NP_009835.3
OG0000794	BG2_protein	XP_445119.1	QNG12453.1
OG0000794	sacCer_protein	XP_445119.1	NP_009834.4
OG0000795	sacCer_protein	XP_445121.1	NP_013354.1
OG0000795	BG2_protein	XP_445121.1	QNG12455.1
OG0000796	BG2_protein	XP_445122.1	QNG12456.1
OG0000796	sacCer_protein	XP_445122.1	NP_013352.1
OG0000797	sacCer_protein	XP_445125.2	NP_009941.2
OG0000797	BG2_protein	XP_445125.2	QNG12459.1
OG0000798	BG2_protein	XP_445126.1	QNG12460.1
OG0000798	sacCer_protein	XP_445126.1	NP_010859.1
OG0000799	BG2_protein	XP_445127.1	QNG12461.1
OG0000799	sacCer_protein	XP_445127.1	NP_010858.3
OG0000800	sacCer_protein	XP_445128.1	NP_010856.1
OG0000800	BG2_protein	XP_445128.1	QNG12462.1
OG0000801	sacCer_protein	XP_445130.1	NP_010853.2
OG0000801	BG2_protein	XP_445130.1	QNG12465.1
OG0000802	BG2_protein	XP_445132.1	QNG12467.1
OG0000802	sacCer_protein	XP_445132.1	NP_009930.1
OG0000803	BG2_protein	XP_445133.1	QNG12468.1
OG0000803	sacCer_protein	XP_445133.1	NP_012539.1
OG0000804	sacCer_protein	XP_445134.1	NP_011707.1
OG0000804	BG2_protein	XP_445134.1	QNG12469.1
OG0000805	BG2_protein	XP_445135.1	QNG12470.1
OG0000805	sacCer_protein	XP_445135.1	NP_012540.3
OG0000806	sacCer_protein	XP_445136.1	NP_012541.1
OG0000806	BG2_protein	XP_445136.1	QNG12471.1
OG0000807	sacCer_protein	XP_445137.1	NP_012543.3
OG0000807	BG2_protein	XP_445137.1	QNG12472.1
OG0000808	BG2_protein	XP_002999519.1	QNG12473.1
OG0000808	sacCer_protein	XP_002999519.1	NP_012544.1
OG0000809	sacCer_protein	XP_002999520.1	NP_012546.4
OG0000809	BG2_protein	XP_002999520.1	QNG12476.1
OG0000810	sacCer_protein	XP_445140.1	NP_012547.2
OG0000810	BG2_protein	XP_445140.1	QNG12477.1
OG0000811	BG2_protein	XP_445141.1	QNG12478.1
OG0000811	sacCer_protein	XP_445141.1	NP_012548.1
OG0000812	sacCer_protein	XP_445144.1	NP_012550.1
OG0000812	BG2_protein	XP_445144.1	QNG12481.1
OG0000813	BG2_protein	XP_445145.1	QNG12482.1
OG0000813	sacCer_protein	XP_445145.1	NP_011718.1
OG0000814	BG2_protein	XP_445146.1	QNG12483.1
OG0000814	sacCer_protein	XP_445146.1	NP_012551.2
OG0000815	sacCer_protein	XP_445147.1	NP_012553.3
OG0000815	BG2_protein	XP_445147.1	QNG12484.1
OG0000816	sacCer_protein	XP_445148.1	NP_015434.1
OG0000816	BG2_protein	XP_445148.1	QNG12485.1
OG0000817	BG2_protein	XP_445149.1	QNG12486.1
OG0000817	sacCer_protein	XP_445149.1	NP_015435.1
OG0000818	BG2_protein	XP_445151.1	QNG12488.1
OG0000818	sacCer_protein	XP_445151.1	NP_015437.1
OG0000819	sacCer_protein	XP_445152.1	NP_015439.1
OG0000819	BG2_protein	XP_445152.1	QNG12489.1
OG0000820	sacCer_protein	XP_445156.1	NP_009586.1
OG0000820	BG2_protein	XP_445156.1	QNG12493.1
OG0000821	sacCer_protein	XP_445157.1	NP_009584.1
OG0000821	BG2_protein	XP_445157.1	QNG12494.1
OG0000822	sacCer_protein	XP_445158.1	NP_009582.1
OG0000822	BG2_protein	XP_445158.1	QNG12495.1
OG0000823	sacCer_protein	XP_445159.1	NP_009581.1
OG0000823	BG2_protein	XP_445159.1	QNG12496.1
OG0000824	sacCer_protein	XP_445162.1	NP_009578.1
OG0000824	BG2_protein	XP_445162.1	QNG12499.1
OG0000825	BG2_protein	XP_445165.1	QNG12502.1
OG0000825	sacCer_protein	XP_445165.1	NP_014747.1
OG0000826	BG2_protein	XP_445166.1	QNG12503.1
OG0000826	sacCer_protein	XP_445166.1	NP_014746.2
OG0000827	sacCer_protein	XP_445168.1	NP_014743.1
OG0000827	BG2_protein	XP_445168.1	QNG12505.1
OG0000828	BG2_protein	XP_445169.1	QNG12506.1
OG0000828	sacCer_protein	XP_445169.1	NP_014742.1
OG0000829	BG2_protein	XP_445170.1	QNG12507.1
OG0000829	sacCer_protein	XP_445170.1	NP_014291.1
OG0000830	sacCer_protein	XP_445171.1	NP_014292.3
OG0000830	BG2_protein	XP_445171.1	QNG12508.1
OG0000831	BG2_protein	XP_445174.1	QNG12511.1
OG0000831	sacCer_protein	XP_445174.1	NP_009925.1
OG0000832	sacCer_protein	XP_445176.1	NP_009923.2
OG0000832	BG2_protein	XP_445176.1	QNG12513.1
OG0000833	sacCer_protein	XP_445177.1	NP_009922.2
OG0000833	BG2_protein	XP_445177.1	QNG12514.1
OG0000834	BG2_protein	XP_445178.1	QNG12515.1
OG0000834	sacCer_protein	XP_445178.1	NP_009917.1
OG0000835	BG2_protein	XP_445179.1	QNG12516.1
OG0000835	sacCer_protein	XP_445179.1	NP_014394.2
OG0000836	BG2_protein	XP_445180.2	QNG12517.1
OG0000836	sacCer_protein	XP_445180.2	NP_976246.1
OG0000837	sacCer_protein	XP_445181.1	NP_009914.2
OG0000837	BG2_protein	XP_445181.1	QNG12518.1
OG0000838	sacCer_protein	XP_445182.1	NP_009913.2
OG0000838	BG2_protein	XP_445182.1	QNG12519.1
OG0000839	sacCer_protein	XP_445185.1	NP_013274.1
OG0000839	BG2_protein	XP_445185.1	QNG12522.1
OG0000840	sacCer_protein	XP_445186.1	NP_013273.1
OG0000840	BG2_protein	XP_445186.1	QNG12523.1
OG0000841	sacCer_protein	XP_445187.1	NP_013271.1
OG0000841	BG2_protein	XP_445187.1	QNG12524.1
OG0000842	sacCer_protein	XP_445188.1	NP_013348.1
OG0000842	BG2_protein	XP_445188.1	QNG12525.1
OG0000843	BG2_protein	XP_445194.1	QNG12532.1
OG0000843	sacCer_protein	XP_445194.1	NP_012367.2
OG0000844	BG2_protein	XP_445195.1	QNG12533.1
OG0000844	sacCer_protein	XP_445195.1	NP_012363.1
OG0000845	BG2_protein	XP_445196.1	QNG12534.1
OG0000845	sacCer_protein	XP_445196.1	NP_012362.1
OG0000846	BG2_protein	XP_445197.1	QNG12535.1
OG0000846	sacCer_protein	XP_445197.1	NP_012361.1
OG0000847	sacCer_protein	XP_445198.1	NP_013196.1
OG0000847	BG2_protein	XP_445198.1	QNG12536.1
OG0000848	BG2_protein	XP_445199.1	QNG12537.1
OG0000848	sacCer_protein	XP_445199.1	NP_013195.1
OG0000849	BG2_protein	XP_445200.1	QNG12538.1
OG0000849	sacCer_protein	XP_445200.1	NP_013194.2
OG0000850	BG2_protein	XP_445201.1	QNG12539.1
OG0000850	sacCer_protein	XP_445201.1	NP_009695.2
OG0000851	sacCer_protein	XP_445202.1	NP_009694.3
OG0000851	BG2_protein	XP_445202.1	QNG12540.1
OG0000852	sacCer_protein	XP_445203.1	NP_009693.3
OG0000852	BG2_protein	XP_445203.1	QNG12541.1
OG0000853	BG2_protein	XP_445204.1	QNG12542.1
OG0000853	sacCer_protein	XP_445204.1	NP_009691.1
OG0000854	BG2_protein	XP_445205.2	QNG12543.1
OG0000854	sacCer_protein	XP_445205.2	NP_009690.1
OG0000855	sacCer_protein	XP_445206.1	NP_009689.3
OG0000855	BG2_protein	XP_445206.1	QNG12544.1
OG0000856	sacCer_protein	XP_445208.1	NP_009687.1
OG0000856	BG2_protein	XP_445208.1	QNG12546.1
OG0000857	BG2_protein	XP_445209.1	QNG12547.1
OG0000857	sacCer_protein	XP_445209.1	NP_009686.1
OG0000858	sacCer_protein	XP_445210.1	NP_009685.3
OG0000858	BG2_protein	XP_445210.1	QNG12548.1
OG0000859	sacCer_protein	XP_445211.1	NP_013320.1
OG0000859	BG2_protein	XP_445211.1	QNG12549.1
OG0000860	sacCer_protein	XP_445212.1	NP_013321.1
OG0000860	BG2_protein	XP_445212.1	QNG12550.1
OG0000861	BG2_protein	XP_445213.1	QNG12551.1
OG0000861	sacCer_protein	XP_445213.1	NP_013322.1
OG0000862	sacCer_protein	XP_445214.1	NP_013323.1
OG0000862	BG2_protein	XP_445214.1	QNG12552.1
OG0000863	sacCer_protein	XP_445215.1	NP_013324.1
OG0000863	BG2_protein	XP_445215.1	QNG12553.1
OG0000864	sacCer_protein	XP_445224.1	NP_013325.1
OG0000864	BG2_protein	XP_445224.1	QNG12559.1
OG0000865	sacCer_protein	XP_445225.1	NP_013327.1
OG0000865	BG2_protein	XP_445225.1	QNG12560.1
OG0000866	sacCer_protein	XP_445227.1	NP_010497.3
OG0000866	BG2_protein	XP_445227.1	QNG12562.1
OG0000867	BG2_protein	XP_445228.1	QNG12563.1
OG0000867	sacCer_protein	XP_445228.1	NP_012150.1
OG0000868	sacCer_protein	XP_445229.1	NP_012151.1
OG0000868	BG2_protein	XP_445229.1	QNG12564.1
OG0000869	BG2_protein	XP_445231.1	QNG12566.1
OG0000869	sacCer_protein	XP_445231.1	NP_012154.1
OG0000870	sacCer_protein	XP_002999521.1	NP_014346.1
OG0000870	BG2_protein	XP_002999521.1	QNG12567.1
OG0000871	sacCer_protein	XP_445232.1	NP_012156.1
OG0000871	BG2_protein	XP_445232.1	QNG12568.1
OG0000872	sacCer_protein	XP_445234.1	NP_012158.1
OG0000872	BG2_protein	XP_445234.1	QNG12570.1
OG0000873	BG2_protein	XP_445236.1	QNG12572.1
OG0000873	sacCer_protein	XP_445236.1	NP_015140.1
OG0000874	sacCer_protein	XP_002999522.1	NP_015141.1
OG0000874	BG2_protein	XP_002999522.1	QNG12573.1
OG0000875	BG2_protein	XP_445237.1	QNG12574.1
OG0000875	sacCer_protein	XP_445237.1	NP_015142.1
OG0000876	BG2_protein	XP_445238.1	QNG12575.1
OG0000876	sacCer_protein	XP_445238.1	NP_015145.1
OG0000877	BG2_protein	XP_445239.1	QNG12576.1
OG0000877	sacCer_protein	XP_445239.1	NP_015144.1
OG0000878	sacCer_protein	XP_445240.1	NP_015146.1
OG0000878	BG2_protein	XP_445240.1	QNG12577.1
OG0000879	sacCer_protein	XP_445241.1	NP_015147.1
OG0000879	BG2_protein	XP_445241.1	QNG12578.1
OG0000880	BG2_protein	XP_445242.1	QNG12579.1
OG0000880	sacCer_protein	XP_445242.1	NP_015148.1
OG0000881	sacCer_protein	XP_445243.1	NP_009808.1
OG0000881	BG2_protein	XP_445243.1	QNG12580.1
OG0000882	sacCer_protein	XP_445244.1	NP_009807.3
OG0000882	BG2_protein	XP_445244.1	QNG12581.1
OG0000883	BG2_protein	XP_445246.1	QNG12583.1
OG0000883	sacCer_protein	XP_445246.1	NP_009806.3
OG0000884	sacCer_protein	XP_445247.1	NP_009805.1
OG0000884	BG2_protein	XP_445247.1	QNG12584.1
OG0000885	BG2_protein	XP_445250.1	QNG12587.1
OG0000885	sacCer_protein	XP_445250.1	NP_009802.3
OG0000886	sacCer_protein	XP_445251.1	NP_009801.1
OG0000886	BG2_protein	XP_445251.1	QNG12588.1
OG0000887	sacCer_protein	XP_445253.1	NP_009789.1
OG0000887	BG2_protein	XP_445253.1	QNG12590.1
OG0000888	BG2_protein	XP_445254.1	QNG12591.1
OG0000888	sacCer_protein	XP_445254.1	NP_009467.1
OG0000889	sacCer_protein	XP_445258.1	NP_009469.2
OG0000889	BG2_protein	XP_445258.1	QNG12594.1
OG0000890	sacCer_protein	XP_445259.1	NP_011268.1
OG0000890	BG2_protein	XP_445259.1	QNG12596.1
OG0000891	BG2_protein	XP_445260.1	QNG12597.1
OG0000891	sacCer_protein	XP_445260.1	NP_011269.2
OG0000892	BG2_protein	XP_445261.1	QNG12598.1
OG0000892	sacCer_protein	XP_445261.1	NP_683716.1
OG0000893	BG2_protein	XP_445262.1	QNG12599.1
OG0000893	sacCer_protein	XP_445262.1	NP_116704.1
OG0000894	BG2_protein	XP_445263.1	QNG12600.1
OG0000894	sacCer_protein	XP_445263.1	NP_116703.5
OG0000895	sacCer_protein	XP_445264.1	NP_116702.1
OG0000895	BG2_protein	XP_445264.1	QNG12601.1
OG0000896	BG2_protein	XP_445266.1	QNG12603.1
OG0000896	sacCer_protein	XP_445266.1	NP_116701.3
OG0000897	BG2_protein	XP_445267.1	QNG12604.1
OG0000897	sacCer_protein	XP_445267.1	NP_116700.1
OG0000898	sacCer_protein	XP_445268.1	NP_116699.3
OG0000898	BG2_protein	XP_445268.1	QNG12605.1
OG0000899	sacCer_protein	XP_445269.1	NP_116698.3
OG0000899	BG2_protein	XP_445269.1	QNG12606.1
OG0000900	BG2_protein	XP_445270.1	QNG12607.1
OG0000900	sacCer_protein	XP_445270.1	NP_116697.3
OG0000901	sacCer_protein	XP_445271.1	NP_010961.3
OG0000901	BG2_protein	XP_445271.1	QNG12608.1
OG0000902	sacCer_protein	XP_445272.1	NP_010874.3
OG0000902	BG2_protein	XP_445272.1	QNG12609.1
OG0000903	BG2_protein	XP_445273.1	QNG12610.1
OG0000903	sacCer_protein	XP_445273.1	NP_010960.1
OG0000904	sacCer_protein	XP_445274.1	NP_010959.2
OG0000904	BG2_protein	XP_445274.1	QNG12611.1
OG0000905	sacCer_protein	XP_445275.1	NP_010958.3
OG0000905	BG2_protein	XP_445275.1	QNG12612.1
OG0000906	sacCer_protein	XP_445276.1	NP_010955.3
OG0000906	BG2_protein	XP_445276.1	QNG12613.1
OG0000907	BG2_protein	XP_445278.2	QNG12615.1
OG0000907	sacCer_protein	XP_445278.2	NP_010953.1
OG0000908	sacCer_protein	XP_445280.1	NP_010951.1
OG0000908	BG2_protein	XP_445280.1	QNG12617.1
OG0000909	BG2_protein	XP_445281.1	QNG12618.1
OG0000909	sacCer_protein	XP_445281.1	NP_010950.1
OG0000910	sacCer_protein	XP_445282.1	NP_010949.4
OG0000910	BG2_protein	XP_445282.1	QNG12619.1
OG0000911	BG2_protein	XP_445283.1	QNG12620.1
OG0000911	sacCer_protein	XP_445283.1	NP_010948.1
OG0000912	sacCer_protein	XP_445284.1	NP_010947.2
OG0000912	BG2_protein	XP_445284.1	QNG12621.1
OG0000913	BG2_protein	XP_445285.1	QNG12622.1
OG0000913	sacCer_protein	XP_445285.1	NP_010946.3
