Orthogroup	Species	BG2_protein	Orthologs
OG0000700	sacCer_protein	QNG12318.1	NP_009871.2
OG0000701	sacCer_protein	QNG12319.1	NP_009872.1
OG0000701	CBS138_protein	QNG12319.1	XP_444985.1
OG0000702	CBS138_protein	QNG12320.1	XP_444986.1
OG0000702	sacCer_protein	QNG12320.1	NP_001018031.2
OG0000703	sacCer_protein	QNG12321.1	NP_065435.1
OG0000703	CBS138_protein	QNG12321.1	XP_444987.2
OG0000704	sacCer_protein	QNG12322.1	NP_009874.1
OG0000704	CBS138_protein	QNG12322.1	XP_444988.1
OG0000705	sacCer_protein	QNG12324.1	NP_009876.1
OG0000705	CBS138_protein	QNG12324.1	XP_444990.1
OG0000706	sacCer_protein	QNG12325.1	NP_009877.1
OG0000706	CBS138_protein	QNG12325.1	XP_444991.1
OG0000707	sacCer_protein	QNG12326.1	NP_009878.1
OG0000707	CBS138_protein	QNG12326.1	XP_444992.1
OG0000708	CBS138_protein	QNG12331.1	XP_444998.1
OG0000708	sacCer_protein	QNG12331.1	NP_009883.1
OG0000709	sacCer_protein	QNG12332.1	NP_009884.1
OG0000709	CBS138_protein	QNG12332.1	XP_444999.1
OG0000710	CBS138_protein	QNG12333.1	XP_445000.1
OG0000710	sacCer_protein	QNG12333.1	NP_009886.1
OG0000711	sacCer_protein	QNG12334.1	NP_009887.1
OG0000711	CBS138_protein	QNG12334.1	XP_445001.1
OG0000712	CBS138_protein	QNG12337.1	XP_445003.1
OG0000712	sacCer_protein	QNG12337.1	NP_009891.1
OG0000713	CBS138_protein	QNG12338.1	XP_445004.1
OG0000713	sacCer_protein	QNG12338.1	NP_009892.1
OG0000714	sacCer_protein	QNG12340.1	NP_009896.2
OG0000714	CBS138_protein	QNG12340.1	XP_445006.1
OG0000715	CBS138_protein	QNG12341.1	XP_445007.1
OG0000715	sacCer_protein	QNG12341.1	NP_009897.1
OG0000716	sacCer_protein	QNG12342.1	NP_009898.1
OG0000716	CBS138_protein	QNG12342.1	XP_445008.1
OG0000717	CBS138_protein	QNG12343.1	XP_445009.1
OG0000717	sacCer_protein	QNG12343.1	NP_009899.1
OG0000718	CBS138_protein	QNG12344.1	XP_445010.1
OG0000718	sacCer_protein	QNG12344.1	NP_009900.2
OG0000719	CBS138_protein	QNG12345.1	XP_445011.1
OG0000719	sacCer_protein	QNG12345.1	NP_009901.1
OG0000720	CBS138_protein	QNG12346.1	XP_445012.1
OG0000720	sacCer_protein	QNG12346.1	NP_009902.2
OG0000721	sacCer_protein	QNG12347.1	NP_009903.2
OG0000721	CBS138_protein	QNG12347.1	XP_445013.1
OG0000722	CBS138_protein	QNG12348.1	XP_445014.1
OG0000722	sacCer_protein	QNG12348.1	NP_065436.1
OG0000723	CBS138_protein	QNG12353.1	XP_445019.1
OG0000723	sacCer_protein	QNG12353.1	NP_013282.1
OG0000724	sacCer_protein	QNG12354.1	NP_013283.1
OG0000724	CBS138_protein	QNG12354.1	XP_445020.1
OG0000725	sacCer_protein	QNG12357.1	NP_013287.1
OG0000725	CBS138_protein	QNG12357.1	XP_445023.1
OG0000726	sacCer_protein	QNG12360.1	NP_014492.1
OG0000726	CBS138_protein	QNG12360.1	XP_445027.1
OG0000727	sacCer_protein	QNG12361.1	NP_014493.1
OG0000727	CBS138_protein	QNG12361.1	XP_445028.1
OG0000728	sacCer_protein	QNG12362.1	NP_014496.2
OG0000728	CBS138_protein	QNG12362.1	XP_445029.1
OG0000729	sacCer_protein	QNG12363.1	NP_014497.1
OG0000729	CBS138_protein	QNG12363.1	XP_445030.1
OG0000730	sacCer_protein	QNG12364.1	NP_014498.1
OG0000730	CBS138_protein	QNG12364.1	XP_445031.1
OG0000731	CBS138_protein	QNG12365.1	XP_445032.1
OG0000731	sacCer_protein	QNG12365.1	NP_014069.1
OG0000732	CBS138_protein	QNG12366.1	XP_445033.1
OG0000732	sacCer_protein	QNG12366.1	NP_014499.2
OG0000733	CBS138_protein	QNG12367.1	XP_445034.1
OG0000733	sacCer_protein	QNG12367.1	NP_014500.2
OG0000734	CBS138_protein	QNG12368.1	XP_445035.1
OG0000734	sacCer_protein	QNG12368.1	NP_014501.1
OG0000735	sacCer_protein	QNG12369.1	NP_010426.1
OG0000735	CBS138_protein	QNG12369.1	XP_445036.1
OG0000736	CBS138_protein	QNG12370.1	XP_445037.1
OG0000736	sacCer_protein	QNG12370.1	NP_010425.1
OG0000737	sacCer_protein	QNG12371.1	NP_010424.3
OG0000737	CBS138_protein	QNG12371.1	XP_445038.1
OG0000738	sacCer_protein	QNG12372.1	NP_010423.4
OG0000738	CBS138_protein	QNG12372.1	XP_002999515.1
OG0000739	CBS138_protein	QNG12374.1	XP_445040.1
OG0000739	sacCer_protein	QNG12374.1	NP_010422.1
OG0000740	CBS138_protein	QNG12375.1	XP_445041.1
OG0000740	sacCer_protein	QNG12375.1	NP_010421.1
OG0000741	sacCer_protein	QNG12377.1	NP_010393.3
OG0000741	CBS138_protein	QNG12377.1	XP_445043.1
OG0000742	sacCer_protein	QNG12378.1	NP_010394.3
OG0000742	CBS138_protein	QNG12378.1	XP_445044.1
OG0000743	CBS138_protein	QNG12380.1	XP_445046.1
OG0000743	sacCer_protein	QNG12380.1	NP_010395.1
OG0000744	CBS138_protein	QNG12381.1	XP_445047.2
OG0000744	sacCer_protein	QNG12381.1	NP_010400.1
OG0000745	CBS138_protein	QNG12382.1	XP_445048.1
OG0000745	sacCer_protein	QNG12382.1	NP_010401.1
OG0000746	CBS138_protein	QNG12383.1	XP_445049.1
OG0000746	sacCer_protein	QNG12383.1	NP_010402.3
OG0000747	CBS138_protein	QNG12384.1	XP_445050.1
OG0000747	sacCer_protein	QNG12384.1	NP_010403.3
OG0000748	sacCer_protein	QNG12385.1	NP_001032575.1
OG0000748	CBS138_protein	QNG12385.1	XP_002999516.1
OG0000749	sacCer_protein	QNG12386.1	NP_010405.3
OG0000749	CBS138_protein	QNG12386.1	XP_445051.1
OG0000750	sacCer_protein	QNG12387.1	NP_010406.3
OG0000750	CBS138_protein	QNG12387.1	XP_445052.1
OG0000751	sacCer_protein	QNG12389.1	NP_010408.1
OG0000751	CBS138_protein	QNG12389.1	XP_445054.1
OG0000752	CBS138_protein	QNG12390.1	XP_445055.1
OG0000752	sacCer_protein	QNG12390.1	NP_010410.3
OG0000753	CBS138_protein	QNG12391.1	XP_445056.1
OG0000753	sacCer_protein	QNG12391.1	NP_010411.1
OG0000754	sacCer_protein	QNG12392.1	NP_010413.3
OG0000754	CBS138_protein	QNG12392.1	XP_445057.1
OG0000755	sacCer_protein	QNG12393.1	NP_010414.3
OG0000755	CBS138_protein	QNG12393.1	XP_445058.1
OG0000756	sacCer_protein	QNG12394.1	NP_010415.1
OG0000756	CBS138_protein	QNG12394.1	XP_445059.1
OG0000757	CBS138_protein	QNG12395.1	XP_445060.1
OG0000757	sacCer_protein	QNG12395.1	NP_011740.3
OG0000758	sacCer_protein	QNG12396.1	NP_011739.1
OG0000758	CBS138_protein	QNG12396.1	XP_445061.1
OG0000759	CBS138_protein	QNG12397.1	XP_445062.1
OG0000759	sacCer_protein	QNG12397.1	NP_011738.3
OG0000760	CBS138_protein	QNG12399.1	XP_445064.1
OG0000760	sacCer_protein	QNG12399.1	NP_011736.1
OG0000761	CBS138_protein	QNG12400.1	XP_445065.1
OG0000761	sacCer_protein	QNG12400.1	NP_011734.3
OG0000762	CBS138_protein	QNG12401.1	XP_445066.1
OG0000762	sacCer_protein	QNG12401.1	NP_011733.3
OG0000763	sacCer_protein	QNG12402.1	NP_011732.1
OG0000763	CBS138_protein	QNG12402.1	XP_445067.1
OG0000764	CBS138_protein	QNG12403.1	XP_445068.1
OG0000764	sacCer_protein	QNG12403.1	NP_011731.3
OG0000765	sacCer_protein	QNG12404.1	NP_013594.1
OG0000765	CBS138_protein	QNG12404.1	XP_445069.1
OG0000766	CBS138_protein	QNG12405.1	XP_445070.1
OG0000766	sacCer_protein	QNG12405.1	NP_013593.1
OG0000767	CBS138_protein	QNG12406.1	XP_445071.1
OG0000767	sacCer_protein	QNG12406.1	NP_013592.1
OG0000768	sacCer_protein	QNG12408.1	NP_013589.1
OG0000768	CBS138_protein	QNG12408.1	XP_445073.2
OG0000769	CBS138_protein	QNG12410.1	XP_445075.1
OG0000769	sacCer_protein	QNG12410.1	NP_013587.1
OG0000770	CBS138_protein	QNG12411.1	XP_445076.1
OG0000770	sacCer_protein	QNG12411.1	NP_013586.1
OG0000771	sacCer_protein	QNG12412.1	NP_013585.1
OG0000771	CBS138_protein	QNG12412.1	XP_445077.1
OG0000772	CBS138_protein	QNG12413.1	XP_445078.1
OG0000772	sacCer_protein	QNG12413.1	NP_013583.1
OG0000773	sacCer_protein	QNG12416.1	NP_013579.1
OG0000773	CBS138_protein	QNG12416.1	XP_445081.1
OG0000774	sacCer_protein	QNG12417.1	NP_013578.1
OG0000774	CBS138_protein	QNG12417.1	XP_445082.1
OG0000775	CBS138_protein	QNG12418.1	XP_445083.1
OG0000775	sacCer_protein	QNG12418.1	NP_010519.3
OG0000776	CBS138_protein	QNG12419.1	XP_445084.1
OG0000776	sacCer_protein	QNG12419.1	NP_010518.1
OG0000777	CBS138_protein	QNG12422.1	XP_445087.1
OG0000777	sacCer_protein	QNG12422.1	NP_010540.3
OG0000778	sacCer_protein	QNG12423.1	NP_010541.3
OG0000778	CBS138_protein	QNG12423.1	XP_445088.1
OG0000779	CBS138_protein	QNG12425.1	XP_445090.1
OG0000779	sacCer_protein	QNG12425.1	NP_013466.1
OG0000780	sacCer_protein	QNG12428.1	NP_013464.3
OG0000780	CBS138_protein	QNG12428.1	XP_445092.1
OG0000781	sacCer_protein	QNG12429.1	NP_013463.1
OG0000781	CBS138_protein	QNG12429.1	XP_445093.1
OG0000782	CBS138_protein	QNG12432.1	XP_445096.1
OG0000782	sacCer_protein	QNG12432.1	NP_013460.1
OG0000783	sacCer_protein	QNG12439.1	NP_013459.1
OG0000783	CBS138_protein	QNG12439.1	XP_445105.1
OG0000784	sacCer_protein	QNG12440.1	NP_013458.1
OG0000784	CBS138_protein	QNG12440.1	XP_445106.1
OG0000785	sacCer_protein	QNG12442.1	NP_013456.1
OG0000785	CBS138_protein	QNG12442.1	XP_445108.1
OG0000786	CBS138_protein	QNG12444.1	XP_445110.1
OG0000786	sacCer_protein	QNG12444.1	NP_012936.1
OG0000787	sacCer_protein	QNG12446.1	NP_009842.1
OG0000787	CBS138_protein	QNG12446.1	XP_445112.1
OG0000788	sacCer_protein	QNG12447.1	NP_009841.1
OG0000788	CBS138_protein	QNG12447.1	XP_445113.1
OG0000789	sacCer_protein	QNG12448.1	NP_009840.3
OG0000789	CBS138_protein	QNG12448.1	XP_445114.1
OG0000790	sacCer_protein	QNG12449.1	NP_009839.4
OG0000790	CBS138_protein	QNG12449.1	XP_445115.1
OG0000791	sacCer_protein	QNG12450.1	NP_009838.1
OG0000791	CBS138_protein	QNG12450.1	XP_445116.1
OG0000792	sacCer_protein	QNG12451.1	NP_009837.1
OG0000792	CBS138_protein	QNG12451.1	XP_445117.1
OG0000793	CBS138_protein	QNG12452.1	XP_445118.1
OG0000793	sacCer_protein	QNG12452.1	NP_009835.3
OG0000794	CBS138_protein	QNG12453.1	XP_445119.1
OG0000794	sacCer_protein	QNG12453.1	NP_009834.4
OG0000795	sacCer_protein	QNG12455.1	NP_013354.1
OG0000795	CBS138_protein	QNG12455.1	XP_445121.1
OG0000796	CBS138_protein	QNG12456.1	XP_445122.1
OG0000796	sacCer_protein	QNG12456.1	NP_013352.1
OG0000797	sacCer_protein	QNG12459.1	NP_009941.2
OG0000797	CBS138_protein	QNG12459.1	XP_445125.2
OG0000798	sacCer_protein	QNG12460.1	NP_010859.1
OG0000798	CBS138_protein	QNG12460.1	XP_445126.1
OG0000799	CBS138_protein	QNG12461.1	XP_445127.1
OG0000799	sacCer_protein	QNG12461.1	NP_010858.3
OG0000800	CBS138_protein	QNG12462.1	XP_445128.1
OG0000800	sacCer_protein	QNG12462.1	NP_010856.1
OG0000801	CBS138_protein	QNG12465.1	XP_445130.1
OG0000801	sacCer_protein	QNG12465.1	NP_010853.2
OG0000802	sacCer_protein	QNG12467.1	NP_009930.1
OG0000802	CBS138_protein	QNG12467.1	XP_445132.1
OG0000803	sacCer_protein	QNG12468.1	NP_012539.1
OG0000803	CBS138_protein	QNG12468.1	XP_445133.1
OG0000804	sacCer_protein	QNG12469.1	NP_011707.1
OG0000804	CBS138_protein	QNG12469.1	XP_445134.1
OG0000805	CBS138_protein	QNG12470.1	XP_445135.1
OG0000805	sacCer_protein	QNG12470.1	NP_012540.3
OG0000806	sacCer_protein	QNG12471.1	NP_012541.1
OG0000806	CBS138_protein	QNG12471.1	XP_445136.1
OG0000807	CBS138_protein	QNG12472.1	XP_445137.1
OG0000807	sacCer_protein	QNG12472.1	NP_012543.3
OG0000808	CBS138_protein	QNG12473.1	XP_002999519.1
OG0000808	sacCer_protein	QNG12473.1	NP_012544.1
OG0000809	CBS138_protein	QNG12476.1	XP_002999520.1
OG0000809	sacCer_protein	QNG12476.1	NP_012546.4
OG0000810	sacCer_protein	QNG12477.1	NP_012547.2
OG0000810	CBS138_protein	QNG12477.1	XP_445140.1
OG0000811	sacCer_protein	QNG12478.1	NP_012548.1
OG0000811	CBS138_protein	QNG12478.1	XP_445141.1
OG0000812	sacCer_protein	QNG12481.1	NP_012550.1
OG0000812	CBS138_protein	QNG12481.1	XP_445144.1
OG0000813	sacCer_protein	QNG12482.1	NP_011718.1
OG0000813	CBS138_protein	QNG12482.1	XP_445145.1
OG0000814	CBS138_protein	QNG12483.1	XP_445146.1
OG0000814	sacCer_protein	QNG12483.1	NP_012551.2
OG0000815	sacCer_protein	QNG12484.1	NP_012553.3
OG0000815	CBS138_protein	QNG12484.1	XP_445147.1
OG0000816	sacCer_protein	QNG12485.1	NP_015434.1
OG0000816	CBS138_protein	QNG12485.1	XP_445148.1
OG0000817	CBS138_protein	QNG12486.1	XP_445149.1
OG0000817	sacCer_protein	QNG12486.1	NP_015435.1
OG0000818	CBS138_protein	QNG12488.1	XP_445151.1
OG0000818	sacCer_protein	QNG12488.1	NP_015437.1
OG0000819	sacCer_protein	QNG12489.1	NP_015439.1
OG0000819	CBS138_protein	QNG12489.1	XP_445152.1
OG0000820	sacCer_protein	QNG12493.1	NP_009586.1
OG0000820	CBS138_protein	QNG12493.1	XP_445156.1
OG0000821	CBS138_protein	QNG12494.1	XP_445157.1
OG0000821	sacCer_protein	QNG12494.1	NP_009584.1
OG0000822	CBS138_protein	QNG12495.1	XP_445158.1
OG0000822	sacCer_protein	QNG12495.1	NP_009582.1
OG0000823	sacCer_protein	QNG12496.1	NP_009581.1
OG0000823	CBS138_protein	QNG12496.1	XP_445159.1
OG0000824	sacCer_protein	QNG12499.1	NP_009578.1
OG0000824	CBS138_protein	QNG12499.1	XP_445162.1
OG0000825	CBS138_protein	QNG12502.1	XP_445165.1
OG0000825	sacCer_protein	QNG12502.1	NP_014747.1
OG0000826	CBS138_protein	QNG12503.1	XP_445166.1
OG0000826	sacCer_protein	QNG12503.1	NP_014746.2
OG0000827	CBS138_protein	QNG12505.1	XP_445168.1
OG0000827	sacCer_protein	QNG12505.1	NP_014743.1
OG0000828	CBS138_protein	QNG12506.1	XP_445169.1
OG0000828	sacCer_protein	QNG12506.1	NP_014742.1
OG0000829	sacCer_protein	QNG12507.1	NP_014291.1
OG0000829	CBS138_protein	QNG12507.1	XP_445170.1
OG0000830	CBS138_protein	QNG12508.1	XP_445171.1
OG0000830	sacCer_protein	QNG12508.1	NP_014292.3
OG0000831	sacCer_protein	QNG12511.1	NP_009925.1
OG0000831	CBS138_protein	QNG12511.1	XP_445174.1
OG0000832	sacCer_protein	QNG12513.1	NP_009923.2
OG0000832	CBS138_protein	QNG12513.1	XP_445176.1
OG0000833	CBS138_protein	QNG12514.1	XP_445177.1
OG0000833	sacCer_protein	QNG12514.1	NP_009922.2
OG0000834	CBS138_protein	QNG12515.1	XP_445178.1
OG0000834	sacCer_protein	QNG12515.1	NP_009917.1
OG0000835	sacCer_protein	QNG12516.1	NP_014394.2
OG0000835	CBS138_protein	QNG12516.1	XP_445179.1
OG0000836	sacCer_protein	QNG12517.1	NP_976246.1
OG0000836	CBS138_protein	QNG12517.1	XP_445180.2
OG0000837	sacCer_protein	QNG12518.1	NP_009914.2
OG0000837	CBS138_protein	QNG12518.1	XP_445181.1
OG0000838	sacCer_protein	QNG12519.1	NP_009913.2
OG0000838	CBS138_protein	QNG12519.1	XP_445182.1
OG0000839	sacCer_protein	QNG12522.1	NP_013274.1
OG0000839	CBS138_protein	QNG12522.1	XP_445185.1
OG0000840	sacCer_protein	QNG12523.1	NP_013273.1
OG0000840	CBS138_protein	QNG12523.1	XP_445186.1
OG0000841	sacCer_protein	QNG12524.1	NP_013271.1
OG0000841	CBS138_protein	QNG12524.1	XP_445187.1
OG0000842	CBS138_protein	QNG12525.1	XP_445188.1
OG0000842	sacCer_protein	QNG12525.1	NP_013348.1
OG0000843	sacCer_protein	QNG12532.1	NP_012367.2
OG0000843	CBS138_protein	QNG12532.1	XP_445194.1
OG0000844	sacCer_protein	QNG12533.1	NP_012363.1
OG0000844	CBS138_protein	QNG12533.1	XP_445195.1
OG0000845	CBS138_protein	QNG12534.1	XP_445196.1
OG0000845	sacCer_protein	QNG12534.1	NP_012362.1
OG0000846	sacCer_protein	QNG12535.1	NP_012361.1
OG0000846	CBS138_protein	QNG12535.1	XP_445197.1
OG0000847	sacCer_protein	QNG12536.1	NP_013196.1
OG0000847	CBS138_protein	QNG12536.1	XP_445198.1
OG0000848	CBS138_protein	QNG12537.1	XP_445199.1
OG0000848	sacCer_protein	QNG12537.1	NP_013195.1
OG0000849	CBS138_protein	QNG12538.1	XP_445200.1
OG0000849	sacCer_protein	QNG12538.1	NP_013194.2
OG0000850	CBS138_protein	QNG12539.1	XP_445201.1
OG0000850	sacCer_protein	QNG12539.1	NP_009695.2
OG0000851	CBS138_protein	QNG12540.1	XP_445202.1
OG0000851	sacCer_protein	QNG12540.1	NP_009694.3
OG0000852	sacCer_protein	QNG12541.1	NP_009693.3
OG0000852	CBS138_protein	QNG12541.1	XP_445203.1
OG0000853	CBS138_protein	QNG12542.1	XP_445204.1
OG0000853	sacCer_protein	QNG12542.1	NP_009691.1
OG0000854	CBS138_protein	QNG12543.1	XP_445205.2
OG0000854	sacCer_protein	QNG12543.1	NP_009690.1
OG0000855	CBS138_protein	QNG12544.1	XP_445206.1
OG0000855	sacCer_protein	QNG12544.1	NP_009689.3
OG0000856	sacCer_protein	QNG12546.1	NP_009687.1
OG0000856	CBS138_protein	QNG12546.1	XP_445208.1
OG0000857	CBS138_protein	QNG12547.1	XP_445209.1
OG0000857	sacCer_protein	QNG12547.1	NP_009686.1
OG0000858	sacCer_protein	QNG12548.1	NP_009685.3
OG0000858	CBS138_protein	QNG12548.1	XP_445210.1
OG0000859	sacCer_protein	QNG12549.1	NP_013320.1
OG0000859	CBS138_protein	QNG12549.1	XP_445211.1
OG0000860	CBS138_protein	QNG12550.1	XP_445212.1
OG0000860	sacCer_protein	QNG12550.1	NP_013321.1
OG0000861	sacCer_protein	QNG12551.1	NP_013322.1
OG0000861	CBS138_protein	QNG12551.1	XP_445213.1
OG0000862	CBS138_protein	QNG12552.1	XP_445214.1
OG0000862	sacCer_protein	QNG12552.1	NP_013323.1
OG0000863	sacCer_protein	QNG12553.1	NP_013324.1
OG0000863	CBS138_protein	QNG12553.1	XP_445215.1
OG0000864	sacCer_protein	QNG12559.1	NP_013325.1
OG0000864	CBS138_protein	QNG12559.1	XP_445224.1
OG0000865	sacCer_protein	QNG12560.1	NP_013327.1
OG0000865	CBS138_protein	QNG12560.1	XP_445225.1
OG0000866	CBS138_protein	QNG12562.1	XP_445227.1
OG0000866	sacCer_protein	QNG12562.1	NP_010497.3
OG0000867	CBS138_protein	QNG12563.1	XP_445228.1
OG0000867	sacCer_protein	QNG12563.1	NP_012150.1
OG0000868	sacCer_protein	QNG12564.1	NP_012151.1
OG0000868	CBS138_protein	QNG12564.1	XP_445229.1
OG0000869	CBS138_protein	QNG12566.1	XP_445231.1
OG0000869	sacCer_protein	QNG12566.1	NP_012154.1
OG0000870	sacCer_protein	QNG12567.1	NP_014346.1
OG0000870	CBS138_protein	QNG12567.1	XP_002999521.1
OG0000871	sacCer_protein	QNG12568.1	NP_012156.1
OG0000871	CBS138_protein	QNG12568.1	XP_445232.1
OG0000872	sacCer_protein	QNG12570.1	NP_012158.1
OG0000872	CBS138_protein	QNG12570.1	XP_445234.1
OG0000873	sacCer_protein	QNG12572.1	NP_015140.1
OG0000873	CBS138_protein	QNG12572.1	XP_445236.1
OG0000874	CBS138_protein	QNG12573.1	XP_002999522.1
OG0000874	sacCer_protein	QNG12573.1	NP_015141.1
OG0000875	sacCer_protein	QNG12574.1	NP_015142.1
OG0000875	CBS138_protein	QNG12574.1	XP_445237.1
OG0000876	CBS138_protein	QNG12575.1	XP_445238.1
OG0000876	sacCer_protein	QNG12575.1	NP_015145.1
OG0000877	CBS138_protein	QNG12576.1	XP_445239.1
OG0000877	sacCer_protein	QNG12576.1	NP_015144.1
OG0000878	CBS138_protein	QNG12577.1	XP_445240.1
OG0000878	sacCer_protein	QNG12577.1	NP_015146.1
OG0000879	sacCer_protein	QNG12578.1	NP_015147.1
OG0000879	CBS138_protein	QNG12578.1	XP_445241.1
OG0000880	CBS138_protein	QNG12579.1	XP_445242.1
OG0000880	sacCer_protein	QNG12579.1	NP_015148.1
OG0000881	sacCer_protein	QNG12580.1	NP_009808.1
OG0000881	CBS138_protein	QNG12580.1	XP_445243.1
OG0000882	CBS138_protein	QNG12581.1	XP_445244.1
OG0000882	sacCer_protein	QNG12581.1	NP_009807.3
OG0000883	CBS138_protein	QNG12583.1	XP_445246.1
OG0000883	sacCer_protein	QNG12583.1	NP_009806.3
OG0000884	sacCer_protein	QNG12584.1	NP_009805.1
OG0000884	CBS138_protein	QNG12584.1	XP_445247.1
OG0000885	CBS138_protein	QNG12587.1	XP_445250.1
OG0000885	sacCer_protein	QNG12587.1	NP_009802.3
OG0000886	sacCer_protein	QNG12588.1	NP_009801.1
OG0000886	CBS138_protein	QNG12588.1	XP_445251.1
OG0000887	sacCer_protein	QNG12590.1	NP_009789.1
OG0000887	CBS138_protein	QNG12590.1	XP_445253.1
OG0000888	CBS138_protein	QNG12591.1	XP_445254.1
OG0000888	sacCer_protein	QNG12591.1	NP_009467.1
OG0000889	sacCer_protein	QNG12594.1	NP_009469.2
OG0000889	CBS138_protein	QNG12594.1	XP_445258.1
OG0000890	sacCer_protein	QNG12596.1	NP_011268.1
OG0000890	CBS138_protein	QNG12596.1	XP_445259.1
OG0000891	CBS138_protein	QNG12597.1	XP_445260.1
OG0000891	sacCer_protein	QNG12597.1	NP_011269.2
OG0000892	CBS138_protein	QNG12598.1	XP_445261.1
OG0000892	sacCer_protein	QNG12598.1	NP_683716.1
OG0000893	CBS138_protein	QNG12599.1	XP_445262.1
OG0000893	sacCer_protein	QNG12599.1	NP_116704.1
OG0000894	CBS138_protein	QNG12600.1	XP_445263.1
OG0000894	sacCer_protein	QNG12600.1	NP_116703.5
OG0000895	CBS138_protein	QNG12601.1	XP_445264.1
OG0000895	sacCer_protein	QNG12601.1	NP_116702.1
OG0000896	CBS138_protein	QNG12603.1	XP_445266.1
OG0000896	sacCer_protein	QNG12603.1	NP_116701.3
OG0000897	sacCer_protein	QNG12604.1	NP_116700.1
OG0000897	CBS138_protein	QNG12604.1	XP_445267.1
OG0000898	sacCer_protein	QNG12605.1	NP_116699.3
OG0000898	CBS138_protein	QNG12605.1	XP_445268.1
OG0000899	CBS138_protein	QNG12606.1	XP_445269.1
OG0000899	sacCer_protein	QNG12606.1	NP_116698.3
OG0000900	sacCer_protein	QNG12607.1	NP_116697.3
OG0000900	CBS138_protein	QNG12607.1	XP_445270.1
OG0000901	sacCer_protein	QNG12608.1	NP_010961.3
OG0000901	CBS138_protein	QNG12608.1	XP_445271.1
OG0000902	sacCer_protein	QNG12609.1	NP_010874.3
OG0000902	CBS138_protein	QNG12609.1	XP_445272.1
OG0000903	sacCer_protein	QNG12610.1	NP_010960.1
OG0000903	CBS138_protein	QNG12610.1	XP_445273.1
OG0000904	sacCer_protein	QNG12611.1	NP_010959.2
OG0000904	CBS138_protein	QNG12611.1	XP_445274.1
OG0000905	sacCer_protein	QNG12612.1	NP_010958.3
OG0000905	CBS138_protein	QNG12612.1	XP_445275.1
OG0000906	CBS138_protein	QNG12613.1	XP_445276.1
OG0000906	sacCer_protein	QNG12613.1	NP_010955.3
OG0000907	sacCer_protein	QNG12615.1	NP_010953.1
OG0000907	CBS138_protein	QNG12615.1	XP_445278.2
OG0000908	sacCer_protein	QNG12617.1	NP_010951.1
OG0000908	CBS138_protein	QNG12617.1	XP_445280.1
OG0000909	CBS138_protein	QNG12618.1	XP_445281.1
OG0000909	sacCer_protein	QNG12618.1	NP_010950.1
OG0000910	sacCer_protein	QNG12619.1	NP_010949.4
OG0000910	CBS138_protein	QNG12619.1	XP_445282.1
OG0000911	CBS138_protein	QNG12620.1	XP_445283.1
OG0000911	sacCer_protein	QNG12620.1	NP_010948.1
OG0000912	sacCer_protein	QNG12621.1	NP_010947.2
OG0000912	CBS138_protein	QNG12621.1	XP_445284.1
OG0000913	CBS138_protein	QNG12622.1	XP_445285.1
OG0000913	sacCer_protein	QNG12622.1	NP_010946.3
OG0000914	sacCer_protein	QNG12623.1	NP_010945.1
OG0000914	CBS138_protein	QNG12623.1	XP_445286.1
OG0000915	CBS138_protein	QNG12624.1	XP_445287.1
OG0000915	sacCer_protein	QNG12624.1	NP_013503.1
OG0000916	CBS138_protein	QNG12625.1	XP_445288.1
OG0000916	sacCer_protein	QNG12625.1	NP_013502.3
OG0000917	CBS138_protein	QNG12626.1	XP_445289.1
OG0000917	sacCer_protein	QNG12626.1	NP_013501.1
OG0000918	sacCer_protein	QNG12627.1	NP_013500.3
OG0000918	CBS138_protein	QNG12627.1	XP_445290.1
OG0000919	CBS138_protein	QNG12628.1	XP_002999524.1
OG0000919	sacCer_protein	QNG12628.1	NP_013499.1
OG0000920	CBS138_protein	QNG12629.1	XP_445291.1
OG0000920	sacCer_protein	QNG12629.1	NP_013498.3
OG0000921	CBS138_protein	QNG12630.1	XP_445292.1
OG0000921	sacCer_protein	QNG12630.1	NP_013497.1
OG0000922	sacCer_protein	QNG12631.1	NP_013496.3
OG0000922	CBS138_protein	QNG12631.1	XP_445293.1
OG0000923	CBS138_protein	QNG12632.1	XP_445294.1
OG0000923	sacCer_protein	QNG12632.1	NP_009392.2
OG0000924	sacCer_protein	QNG12633.1	NP_009393.1
OG0000924	CBS138_protein	QNG12633.1	XP_445295.1
OG0000925	sacCer_protein	QNG12634.1	NP_009394.1
OG0000925	CBS138_protein	QNG12634.1	XP_445296.1
OG0000926	sacCer_protein	QNG12636.1	NP_011841.1
OG0000926	CBS138_protein	QNG12636.1	XP_445298.1
OG0000927	CBS138_protein	QNG12637.1	XP_445299.1
OG0000927	sacCer_protein	QNG12637.1	NP_014905.1
OG0000928	sacCer_protein	QNG12638.1	NP_014907.3
OG0000928	CBS138_protein	QNG12638.1	XP_445300.1
OG0000929	CBS138_protein	QNG12639.1	XP_445301.1
OG0000929	sacCer_protein	QNG12639.1	NP_014908.1
OG0000930	sacCer_protein	QNG12640.1	NP_014909.3
OG0000930	CBS138_protein	QNG12640.1	XP_445302.1
OG0000931	sacCer_protein	QNG12642.1	NP_014912.1
OG0000931	CBS138_protein	QNG12642.1	XP_445305.1
OG0000932	CBS138_protein	QNG12645.1	XP_445308.1
OG0000932	sacCer_protein	QNG12645.1	NP_009980.1
