Orthogroup	Species	sacCer_protein	Orthologs
OG0000529	CBS138_protein	NP_012741.1, NP_012358.1	XP_449699.1
OG0000530	CBS138_protein	NP_009854.2, NP_010556.1	XP_449719.1
OG0000530	BG2_protein	NP_009854.2, NP_010556.1	QNG17081.1
OG0000531	CBS138_protein	NP_014677.1, NP_010550.1	XP_449724.1
OG0000531	BG2_protein	NP_014677.1, NP_010550.1	QNG17086.1
OG0000532	CBS138_protein	NP_012624.1, NP_015367.1	XP_449741.1
OG0000532	BG2_protein	NP_012624.1, NP_015367.1	QNG17103.1
OG0000533	CBS138_protein	NP_009449.1, NP_015355.1	XP_449755.1
OG0000533	BG2_protein	NP_009449.1, NP_015355.1	QNG17117.1
OG0000534	BG2_protein	NP_011862.1, NP_012920.1	QNG17155.1
OG0000534	CBS138_protein	NP_011862.1, NP_012920.1	XP_449792.1
OG0000535	BG2_protein	NP_009559.1, NP_010286.3	QNG17163.1
OG0000535	CBS138_protein	NP_009559.1, NP_010286.3	XP_449800.1
OG0000536	BG2_protein	NP_009978.1, NP_014416.1	QNG17169.1
OG0000536	CBS138_protein	NP_009978.1, NP_014416.1	XP_449806.1
OG0000537	BG2_protein	NP_009993.1, NP_014423.1	QNG17175.1
OG0000537	CBS138_protein	NP_009993.1, NP_014423.1	XP_449812.1
OG0000538	CBS138_protein	NP_014428.1, NP_009998.2	XP_002999605.1
OG0000538	BG2_protein	NP_014428.1, NP_009998.2	QNG17179.1
OG0000539	BG2_protein	NP_009349.3, NP_015008.3	QNG17245.1
OG0000539	CBS138_protein	NP_009349.3, NP_015008.3	XP_449877.1
OG0000540	CBS138_protein	NP_015010.1, NP_009348.2	XP_449878.1
OG0000540	BG2_protein	NP_015010.1, NP_009348.2	QNG17246.1
OG0000541	BG2_protein	NP_010980.1, NP_012214.3	QNG17247.1
OG0000541	CBS138_protein	NP_010980.1, NP_012214.3	XP_449879.1
OG0000542	CBS138_protein	NP_012212.1, NP_010977.2	XP_449882.1
OG0000542	BG2_protein	NP_012212.1, NP_010977.2	QNG17250.1
OG0000543	BG2_protein	NP_011004.3, NP_012191.1	QNG17267.1
OG0000543	CBS138_protein	NP_011004.3, NP_012191.1	XP_449901.1
OG0000544	BG2_protein	NP_013754.1, NP_012858.2	QNG17286.1
OG0000544	CBS138_protein	NP_013754.1, NP_012858.2	XP_449920.1
OG0000545	CBS138_protein	NP_011772.3, NP_012053.3	XP_449923.1
OG0000545	BG2_protein	NP_011772.3, NP_012053.3	QNG17290.1
OG0000546	CBS138_protein	NP_009305.1, NP_009306.1, NP_009307.2	NP_818778.1
OG0000556	BG2_protein	NP_011492.3	QNG12110.1
OG0000556	CBS138_protein	NP_011492.3	XP_444780.1
OG0000557	BG2_protein	NP_011493.1	QNG12111.1
OG0000557	CBS138_protein	NP_011493.1	XP_444781.1
OG0000558	CBS138_protein	NP_011495.1	XP_444783.1
OG0000558	BG2_protein	NP_011495.1	QNG12113.1
OG0000559	CBS138_protein	NP_011496.3	XP_444784.1
OG0000559	BG2_protein	NP_011496.3	QNG12114.1
OG0000560	BG2_protein	NP_011497.1	QNG12115.1
OG0000560	CBS138_protein	NP_011497.1	XP_444785.1
OG0000561	BG2_protein	NP_011498.1	QNG12116.1
OG0000561	CBS138_protein	NP_011498.1	XP_444786.1
OG0000562	CBS138_protein	NP_011505.1	XP_444787.1
OG0000562	BG2_protein	NP_011505.1	QNG12117.1
OG0000563	CBS138_protein	NP_011506.1	XP_444788.1
OG0000563	BG2_protein	NP_011506.1	QNG12118.1
OG0000564	CBS138_protein	NP_011499.1	XP_444789.1
OG0000564	BG2_protein	NP_011499.1	QNG12119.1
OG0000565	BG2_protein	NP_011504.3	QNG12120.1
OG0000565	CBS138_protein	NP_011504.3	XP_444790.1
OG0000566	CBS138_protein	NP_011503.1	XP_444791.1
OG0000566	BG2_protein	NP_011503.1	QNG12121.1
OG0000567	CBS138_protein	NP_011501.1	XP_444793.1
OG0000567	BG2_protein	NP_011501.1	QNG12123.1
OG0000568	BG2_protein	NP_011509.1	QNG12125.1
OG0000568	CBS138_protein	NP_011509.1	XP_444795.1
OG0000569	CBS138_protein	NP_011510.1	XP_444796.1
OG0000569	BG2_protein	NP_011510.1	QNG12126.1
OG0000570	CBS138_protein	NP_011511.3	XP_444797.1
OG0000570	BG2_protein	NP_011511.3	QNG12127.1
OG0000571	BG2_protein	NP_011512.1	QNG12129.1
OG0000571	CBS138_protein	NP_011512.1	XP_444799.1
OG0000572	CBS138_protein	NP_009399.2	XP_444804.1
OG0000572	BG2_protein	NP_009399.2	QNG12136.1
OG0000573	BG2_protein	NP_009400.1	QNG12137.1
OG0000573	CBS138_protein	NP_009400.1	XP_444805.1
OG0000574	BG2_protein	NP_013420.2	QNG12139.1
OG0000574	CBS138_protein	NP_013420.2	XP_444807.1
OG0000575	BG2_protein	NP_013422.2	QNG12140.1
OG0000575	CBS138_protein	NP_013422.2	XP_444808.1
OG0000576	CBS138_protein	NP_013423.1	XP_444809.1
OG0000576	BG2_protein	NP_013423.1	QNG12141.1
OG0000577	CBS138_protein	NP_013424.1	XP_444810.1
OG0000577	BG2_protein	NP_013424.1	QNG12142.1
OG0000578	BG2_protein	NP_013427.1	QNG12143.1
OG0000578	CBS138_protein	NP_013427.1	XP_444811.1
OG0000579	BG2_protein	NP_013429.1	QNG12145.1
OG0000579	CBS138_protein	NP_013429.1	XP_444813.1
OG0000580	BG2_protein	NP_013430.1	QNG12146.1
OG0000580	CBS138_protein	NP_013430.1	XP_444814.1
OG0000581	CBS138_protein	NP_015061.1	XP_444816.1
OG0000581	BG2_protein	NP_015061.1	QNG12148.1
OG0000582	CBS138_protein	NP_015060.1	XP_444817.1
OG0000582	BG2_protein	NP_015060.1	QNG12149.1
OG0000583	CBS138_protein	NP_015051.1	XP_444818.1
OG0000583	BG2_protein	NP_015051.1	QNG12150.1
OG0000584	CBS138_protein	NP_015052.1	XP_444819.1
OG0000584	BG2_protein	NP_015052.1	QNG12151.1
OG0000585	BG2_protein	NP_015053.2	QNG12152.1
OG0000585	CBS138_protein	NP_015053.2	XP_444820.1
OG0000586	BG2_protein	NP_015054.1	QNG12153.1
OG0000586	CBS138_protein	NP_015054.1	XP_444821.1
OG0000587	BG2_protein	NP_015055.1	QNG12154.1
OG0000587	CBS138_protein	NP_015055.1	XP_444822.1
OG0000588	CBS138_protein	NP_015058.1	XP_444823.1
OG0000588	BG2_protein	NP_015058.1	QNG12156.1
OG0000589	BG2_protein	NP_010022.1	QNG12158.1
OG0000589	CBS138_protein	NP_010022.1	XP_444825.1
OG0000590	BG2_protein	NP_011489.1	QNG12163.1
OG0000590	CBS138_protein	NP_011489.1	XP_444829.1
OG0000591	CBS138_protein	NP_011488.1	XP_444830.1
OG0000591	BG2_protein	NP_011488.1	QNG12164.1
OG0000592	BG2_protein	NP_011485.1	QNG12166.1
OG0000592	CBS138_protein	NP_011485.1	XP_444832.1
OG0000593	BG2_protein	NP_011483.3	QNG12168.1
OG0000593	CBS138_protein	NP_011483.3	XP_444834.1
OG0000594	CBS138_protein	NP_011482.3	XP_444835.1
OG0000594	BG2_protein	NP_011482.3	QNG12169.1
OG0000595	BG2_protein	NP_011480.1	QNG12170.1
OG0000595	CBS138_protein	NP_011480.1	XP_444836.1
OG0000596	BG2_protein	NP_011479.1	QNG12173.1
OG0000596	CBS138_protein	NP_011479.1	XP_444839.1
OG0000597	BG2_protein	NP_011478.3	QNG12174.1
OG0000597	CBS138_protein	NP_011478.3	XP_444840.1
OG0000598	CBS138_protein	NP_011477.1	XP_444841.1
OG0000598	BG2_protein	NP_011477.1	QNG12175.1
OG0000599	CBS138_protein	NP_011966.1	XP_444846.1
OG0000599	BG2_protein	NP_011966.1	QNG12180.1
OG0000600	CBS138_protein	NP_011967.1	XP_444849.1
OG0000600	BG2_protein	NP_011967.1	QNG12183.1
OG0000601	CBS138_protein	NP_014620.1	XP_444850.1
OG0000601	BG2_protein	NP_014620.1	QNG12184.1
OG0000602	CBS138_protein	NP_014619.1	XP_444851.1
OG0000602	BG2_protein	NP_014619.1	QNG12185.1
OG0000603	CBS138_protein	NP_116672.1	XP_444852.1
OG0000603	BG2_protein	NP_116672.1	QNG12186.1
OG0000604	CBS138_protein	NP_014617.1	XP_444853.1
OG0000604	BG2_protein	NP_014617.1	QNG12187.1
OG0000605	CBS138_protein	NP_011884.1	XP_444855.1
OG0000605	BG2_protein	NP_011884.1	QNG12189.1
OG0000606	BG2_protein	NP_011883.1	QNG12190.1
OG0000606	CBS138_protein	NP_011883.1	XP_444856.1
OG0000607	CBS138_protein	NP_011881.1	XP_444857.1
OG0000607	BG2_protein	NP_011881.1	QNG12191.1
OG0000609	BG2_protein	NP_010633.3	QNG12200.1
OG0000609	CBS138_protein	NP_010633.3	XP_444867.1
OG0000610	BG2_protein	NP_010634.3	QNG12201.1
OG0000610	CBS138_protein	NP_010634.3	XP_444868.1
OG0000611	CBS138_protein	NP_010635.1	XP_444869.1
OG0000611	BG2_protein	NP_010635.1	QNG12202.1
OG0000612	CBS138_protein	NP_010636.1	XP_444870.1
OG0000612	BG2_protein	NP_010636.1	QNG12203.1
OG0000613	BG2_protein	NP_010637.4	QNG12204.1
OG0000613	CBS138_protein	NP_010637.4	XP_444871.1
OG0000614	BG2_protein	NP_010639.1	QNG12206.1
OG0000614	CBS138_protein	NP_010639.1	XP_444873.1
OG0000615	CBS138_protein	NP_010641.3	XP_444876.1
OG0000615	BG2_protein	NP_010641.3	QNG12209.1
OG0000616	BG2_protein	NP_010643.3	QNG12210.1
OG0000616	CBS138_protein	NP_010643.3	XP_444877.1
OG0000617	CBS138_protein	NP_010644.1	XP_444878.1
OG0000617	BG2_protein	NP_010644.1	QNG12211.1
OG0000618	CBS138_protein	NP_010646.4	XP_444880.1
OG0000618	BG2_protein	NP_010646.4	QNG12213.1
OG0000619	BG2_protein	NP_010648.3	QNG12214.1
OG0000619	CBS138_protein	NP_010648.3	XP_444881.1
OG0000620	BG2_protein	NP_010649.1	QNG12215.1
OG0000620	CBS138_protein	NP_010649.1	XP_444882.1
OG0000621	CBS138_protein	NP_010650.1	XP_444883.1
OG0000621	BG2_protein	NP_010650.1	QNG12216.1
OG0000622	BG2_protein	NP_010651.3	QNG12217.1
OG0000622	CBS138_protein	NP_010651.3	XP_444884.1
OG0000623	BG2_protein	NP_014760.3	QNG12218.1
OG0000623	CBS138_protein	NP_014760.3	XP_444885.1
OG0000624	CBS138_protein	NP_010652.3	XP_444886.1
OG0000624	BG2_protein	NP_010652.3	QNG12219.1
OG0000625	BG2_protein	NP_010655.1	QNG12220.1
OG0000625	CBS138_protein	NP_010655.1	XP_444887.1
OG0000626	CBS138_protein	NP_010657.3	XP_444889.1
OG0000626	BG2_protein	NP_010657.3	QNG12222.1
OG0000627	CBS138_protein	NP_010658.3	XP_444890.1
OG0000627	BG2_protein	NP_010658.3	QNG12223.1
OG0000628	BG2_protein	NP_010659.1	QNG12225.1
OG0000628	CBS138_protein	NP_010659.1	XP_444892.1
OG0000629	CBS138_protein	NP_010660.1	XP_444893.1
OG0000629	BG2_protein	NP_010660.1	QNG12226.1
OG0000630	CBS138_protein	NP_010661.3	XP_444894.1
OG0000630	BG2_protein	NP_010661.3	QNG12227.1
OG0000631	BG2_protein	NP_010662.3	QNG12228.1
OG0000631	CBS138_protein	NP_010662.3	XP_444895.1
OG0000632	CBS138_protein	NP_010663.1	XP_444896.1
OG0000632	BG2_protein	NP_010663.1	QNG12230.1
OG0000633	CBS138_protein	NP_010664.3	XP_444897.1
OG0000633	BG2_protein	NP_010664.3	QNG12231.1
OG0000634	CBS138_protein	NP_010665.3	XP_444898.1
OG0000634	BG2_protein	NP_010665.3	QNG12232.1
OG0000635	BG2_protein	NP_010666.2	QNG12233.1
OG0000635	CBS138_protein	NP_010666.2	XP_002999513.1
OG0000636	BG2_protein	NP_076888.3	QNG12235.1
OG0000636	CBS138_protein	NP_076888.3	XP_444901.1
OG0000637	BG2_protein	NP_010668.3	QNG12236.1
OG0000637	CBS138_protein	NP_010668.3	XP_444902.1
OG0000638	CBS138_protein	NP_010669.1	XP_444903.1
OG0000638	BG2_protein	NP_010669.1	QNG12237.1
OG0000639	CBS138_protein	NP_219495.2	XP_444904.1
OG0000639	BG2_protein	NP_219495.2	QNG12238.1
OG0000640	CBS138_protein	NP_010670.3	XP_444905.1
OG0000640	BG2_protein	NP_010670.3	QNG12239.1
OG0000641	BG2_protein	NP_010671.4	QNG12240.1
OG0000641	CBS138_protein	NP_010671.4	XP_444906.1
OG0000642	CBS138_protein	NP_010672.1	XP_444907.1
OG0000642	BG2_protein	NP_010672.1	QNG12241.1
OG0000643	CBS138_protein	NP_010674.3	XP_444909.1
OG0000643	BG2_protein	NP_010674.3	QNG12243.1
OG0000644	CBS138_protein	NP_011323.3	XP_444911.1
OG0000644	BG2_protein	NP_011323.3	QNG12245.1
OG0000645	BG2_protein	NP_011321.1	QNG12246.1
OG0000645	CBS138_protein	NP_011321.1	XP_444912.1
OG0000646	BG2_protein	NP_014390.2	QNG12247.1
OG0000646	CBS138_protein	NP_014390.2	XP_444913.1
OG0000647	CBS138_protein	NP_013132.1	XP_444917.1
OG0000647	BG2_protein	NP_013132.1	QNG12251.1
OG0000648	BG2_protein	NP_013133.1	QNG12252.1
OG0000648	CBS138_protein	NP_013133.1	XP_444918.1
OG0000649	BG2_protein	NP_013134.1	QNG12253.1
OG0000649	CBS138_protein	NP_013134.1	XP_444919.1
OG0000650	CBS138_protein	NP_013135.1	XP_444920.1
OG0000650	BG2_protein	NP_013135.1	QNG12254.1
OG0000651	CBS138_protein	NP_013139.1	XP_444921.1
OG0000651	BG2_protein	NP_013139.1	QNG12255.1
OG0000652	CBS138_protein	NP_013140.1	XP_444922.1
OG0000652	BG2_protein	NP_013140.1	QNG12256.1
OG0000653	CBS138_protein	NP_013141.1	XP_444923.1
OG0000653	BG2_protein	NP_013141.1	QNG12257.1
OG0000654	CBS138_protein	NP_011561.3	XP_444925.1
OG0000654	BG2_protein	NP_011561.3	QNG12259.1
OG0000655	CBS138_protein	NP_009700.1	XP_444926.1
OG0000655	BG2_protein	NP_009700.1	QNG12260.1
OG0000656	BG2_protein	NP_009699.2	QNG12261.1
OG0000656	CBS138_protein	NP_009699.2	XP_444927.1
OG0000657	CBS138_protein	NP_010944.1	XP_444928.1
OG0000657	BG2_protein	NP_010944.1	QNG12262.1
OG0000658	BG2_protein	NP_011309.1	QNG12263.1
OG0000658	CBS138_protein	NP_011309.1	XP_444929.1
OG0000659	BG2_protein	NP_011310.1	QNG12264.1
OG0000659	CBS138_protein	NP_011310.1	XP_444930.1
OG0000660	CBS138_protein	NP_014940.4	XP_444931.1
OG0000660	BG2_protein	NP_014940.4	QNG12265.1
OG0000661	BG2_protein	NP_014941.1	QNG12266.1
OG0000661	CBS138_protein	NP_014941.1	XP_444932.1
OG0000662	CBS138_protein	NP_014945.3	XP_444933.1
OG0000662	BG2_protein	NP_014945.3	QNG12267.1
OG0000663	BG2_protein	NP_013307.1	QNG12268.1
OG0000663	CBS138_protein	NP_013307.1	XP_444934.1
OG0000664	CBS138_protein	NP_013306.2	XP_444936.1
OG0000664	BG2_protein	NP_013306.2	QNG12270.1
OG0000665	BG2_protein	NP_013304.1	QNG12271.1
OG0000665	CBS138_protein	NP_013304.1	XP_444937.1
OG0000666	BG2_protein	NP_013302.1	QNG12272.1
OG0000666	CBS138_protein	NP_013302.1	XP_444938.1
OG0000667	BG2_protein	NP_013301.1	QNG12273.1
OG0000667	CBS138_protein	NP_013301.1	XP_444939.1
OG0000668	CBS138_protein	NP_013300.2	XP_444940.2
OG0000668	BG2_protein	NP_013300.2	QNG12274.1
OG0000669	BG2_protein	NP_013298.1	QNG12275.1
OG0000669	CBS138_protein	NP_013298.1	XP_444941.1
OG0000670	CBS138_protein	NP_013297.1	XP_444942.1
OG0000670	BG2_protein	NP_013297.1	QNG12276.1
OG0000671	CBS138_protein	NP_013296.1	XP_444943.1
OG0000671	BG2_protein	NP_013296.1	QNG12277.1
OG0000672	CBS138_protein	NP_013295.1	XP_444944.1
OG0000672	BG2_protein	NP_013295.1	QNG12278.1
OG0000673	CBS138_protein	NP_013294.1	XP_444945.1
OG0000673	BG2_protein	NP_013294.1	QNG12279.1
OG0000674	CBS138_protein	NP_013293.1	XP_444946.1
OG0000674	BG2_protein	NP_013293.1	QNG12280.1
OG0000675	CBS138_protein	NP_013292.1	XP_444947.1
OG0000675	BG2_protein	NP_013292.1	QNG12281.1
OG0000676	CBS138_protein	NP_013291.1	XP_444948.1
OG0000676	BG2_protein	NP_013291.1	QNG12282.1
OG0000677	CBS138_protein	NP_009502.1	XP_444950.1
OG0000677	BG2_protein	NP_009502.1	QNG12284.1
OG0000678	BG2_protein	NP_009501.1	QNG12285.1
OG0000678	CBS138_protein	NP_009501.1	XP_444951.1
OG0000679	BG2_protein	NP_009498.1	QNG12287.1
OG0000679	CBS138_protein	NP_009498.1	XP_444953.1
OG0000680	CBS138_protein	NP_009496.2	XP_444955.1
OG0000680	BG2_protein	NP_009496.2	QNG12289.1
OG0000681	CBS138_protein	NP_009495.1	XP_444956.1
OG0000681	BG2_protein	NP_009495.1	QNG12290.1
OG0000682	BG2_protein	NP_031358.1	QNG12291.1
OG0000682	CBS138_protein	NP_031358.1	XP_444958.2
OG0000683	CBS138_protein	NP_009494.1	XP_444957.1
OG0000683	BG2_protein	NP_009494.1	QNG12292.1
OG0000684	BG2_protein	NP_009489.1	QNG12294.1
OG0000684	CBS138_protein	NP_009489.1	XP_444960.1
OG0000685	CBS138_protein	NP_009487.2	XP_444961.1
OG0000685	BG2_protein	NP_009487.2	QNG12295.1
OG0000686	CBS138_protein	NP_660100.1	XP_444963.1
OG0000686	BG2_protein	NP_660100.1	QNG12297.1
OG0000687	CBS138_protein	NP_009479.1	XP_444965.1
OG0000687	BG2_protein	NP_009479.1	QNG12299.1
OG0000688	BG2_protein	NP_011036.1	QNG12300.1
OG0000688	CBS138_protein	NP_011036.1	XP_444966.1
OG0000689	BG2_protein	NP_009471.1	QNG12301.1
OG0000689	CBS138_protein	NP_009471.1	XP_444967.1
OG0000690	BG2_protein	NP_009472.1	QNG12302.1
OG0000690	CBS138_protein	NP_009472.1	XP_444969.1
OG0000691	BG2_protein	NP_009473.2	QNG12303.1
OG0000691	CBS138_protein	NP_009473.2	XP_444970.1
OG0000692	BG2_protein	NP_009475.1	QNG12304.1
OG0000692	CBS138_protein	NP_009475.1	XP_444971.1
OG0000693	BG2_protein	NP_116707.3	QNG12305.1
OG0000693	CBS138_protein	NP_116707.3	XP_444972.1
OG0000694	BG2_protein	NP_116708.1	QNG12306.1
OG0000694	CBS138_protein	NP_116708.1	XP_444973.1
OG0000695	CBS138_protein	NP_116709.3	XP_444974.1
OG0000695	BG2_protein	NP_116709.3	QNG12307.1
OG0000696	CBS138_protein	NP_011262.1	XP_444976.1
OG0000696	BG2_protein	NP_011262.1	QNG12308.1
OG0000697	CBS138_protein	NP_116710.1	XP_444977.1
OG0000697	BG2_protein	NP_116710.1	QNG12309.1
OG0000698	CBS138_protein	NP_001018030.1	XP_444982.1
OG0000698	BG2_protein	NP_001018030.1	QNG12316.1
OG0000699	CBS138_protein	NP_009870.1	XP_444983.1
OG0000699	BG2_protein	NP_009870.1	QNG12317.1
OG0000700	BG2_protein	NP_009871.2	QNG12318.1
OG0000700	CBS138_protein	NP_009871.2	XP_444984.1
OG0000701	BG2_protein	NP_009872.1	QNG12319.1
OG0000701	CBS138_protein	NP_009872.1	XP_444985.1
OG0000702	BG2_protein	NP_001018031.2	QNG12320.1
OG0000702	CBS138_protein	NP_001018031.2	XP_444986.1
OG0000703	BG2_protein	NP_065435.1	QNG12321.1
OG0000703	CBS138_protein	NP_065435.1	XP_444987.2
OG0000704	CBS138_protein	NP_009874.1	XP_444988.1
OG0000704	BG2_protein	NP_009874.1	QNG12322.1
OG0000705	BG2_protein	NP_009876.1	QNG12324.1
OG0000705	CBS138_protein	NP_009876.1	XP_444990.1
OG0000706	BG2_protein	NP_009877.1	QNG12325.1
OG0000706	CBS138_protein	NP_009877.1	XP_444991.1
OG0000707	CBS138_protein	NP_009878.1	XP_444992.1
OG0000707	BG2_protein	NP_009878.1	QNG12326.1
OG0000708	BG2_protein	NP_009883.1	QNG12331.1
OG0000708	CBS138_protein	NP_009883.1	XP_444998.1
OG0000709	BG2_protein	NP_009884.1	QNG12332.1
OG0000709	CBS138_protein	NP_009884.1	XP_444999.1
OG0000710	CBS138_protein	NP_009886.1	XP_445000.1
OG0000710	BG2_protein	NP_009886.1	QNG12333.1
OG0000711	BG2_protein	NP_009887.1	QNG12334.1
OG0000711	CBS138_protein	NP_009887.1	XP_445001.1
OG0000712	CBS138_protein	NP_009891.1	XP_445003.1
OG0000712	BG2_protein	NP_009891.1	QNG12337.1
OG0000713	CBS138_protein	NP_009892.1	XP_445004.1
OG0000713	BG2_protein	NP_009892.1	QNG12338.1
OG0000714	BG2_protein	NP_009896.2	QNG12340.1
OG0000714	CBS138_protein	NP_009896.2	XP_445006.1
OG0000715	CBS138_protein	NP_009897.1	XP_445007.1
OG0000715	BG2_protein	NP_009897.1	QNG12341.1
OG0000716	CBS138_protein	NP_009898.1	XP_445008.1
OG0000716	BG2_protein	NP_009898.1	QNG12342.1
OG0000717	CBS138_protein	NP_009899.1	XP_445009.1
OG0000717	BG2_protein	NP_009899.1	QNG12343.1
OG0000718	CBS138_protein	NP_009900.2	XP_445010.1
OG0000718	BG2_protein	NP_009900.2	QNG12344.1
OG0000719	BG2_protein	NP_009901.1	QNG12345.1
OG0000719	CBS138_protein	NP_009901.1	XP_445011.1
OG0000720	BG2_protein	NP_009902.2	QNG12346.1
OG0000720	CBS138_protein	NP_009902.2	XP_445012.1
OG0000721	BG2_protein	NP_009903.2	QNG12347.1
OG0000721	CBS138_protein	NP_009903.2	XP_445013.1
OG0000722	CBS138_protein	NP_065436.1	XP_445014.1
OG0000722	BG2_protein	NP_065436.1	QNG12348.1
OG0000723	CBS138_protein	NP_013282.1	XP_445019.1
OG0000723	BG2_protein	NP_013282.1	QNG12353.1
OG0000724	CBS138_protein	NP_013283.1	XP_445020.1
OG0000724	BG2_protein	NP_013283.1	QNG12354.1
OG0000725	BG2_protein	NP_013287.1	QNG12357.1
OG0000725	CBS138_protein	NP_013287.1	XP_445023.1
OG0000726	BG2_protein	NP_014492.1	QNG12360.1
OG0000726	CBS138_protein	NP_014492.1	XP_445027.1
OG0000727	CBS138_protein	NP_014493.1	XP_445028.1
OG0000727	BG2_protein	NP_014493.1	QNG12361.1
OG0000728	BG2_protein	NP_014496.2	QNG12362.1
OG0000728	CBS138_protein	NP_014496.2	XP_445029.1
OG0000729	CBS138_protein	NP_014497.1	XP_445030.1
OG0000729	BG2_protein	NP_014497.1	QNG12363.1
OG0000730	BG2_protein	NP_014498.1	QNG12364.1
OG0000730	CBS138_protein	NP_014498.1	XP_445031.1
OG0000731	CBS138_protein	NP_014069.1	XP_445032.1
OG0000731	BG2_protein	NP_014069.1	QNG12365.1
OG0000732	CBS138_protein	NP_014499.2	XP_445033.1
OG0000732	BG2_protein	NP_014499.2	QNG12366.1
OG0000733	CBS138_protein	NP_014500.2	XP_445034.1
OG0000733	BG2_protein	NP_014500.2	QNG12367.1
OG0000734	BG2_protein	NP_014501.1	QNG12368.1
OG0000734	CBS138_protein	NP_014501.1	XP_445035.1
OG0000735	BG2_protein	NP_010426.1	QNG12369.1
OG0000735	CBS138_protein	NP_010426.1	XP_445036.1
OG0000736	CBS138_protein	NP_010425.1	XP_445037.1
OG0000736	BG2_protein	NP_010425.1	QNG12370.1
OG0000737	BG2_protein	NP_010424.3	QNG12371.1
OG0000737	CBS138_protein	NP_010424.3	XP_445038.1
OG0000738	CBS138_protein	NP_010423.4	XP_002999515.1
OG0000738	BG2_protein	NP_010423.4	QNG12372.1
OG0000739	CBS138_protein	NP_010422.1	XP_445040.1
OG0000739	BG2_protein	NP_010422.1	QNG12374.1
OG0000740	CBS138_protein	NP_010421.1	XP_445041.1
OG0000740	BG2_protein	NP_010421.1	QNG12375.1
OG0000741	BG2_protein	NP_010393.3	QNG12377.1
OG0000741	CBS138_protein	NP_010393.3	XP_445043.1
OG0000742	CBS138_protein	NP_010394.3	XP_445044.1
OG0000742	BG2_protein	NP_010394.3	QNG12378.1
OG0000743	CBS138_protein	NP_010395.1	XP_445046.1
OG0000743	BG2_protein	NP_010395.1	QNG12380.1
OG0000744	CBS138_protein	NP_010400.1	XP_445047.2
OG0000744	BG2_protein	NP_010400.1	QNG12381.1
OG0000745	BG2_protein	NP_010401.1	QNG12382.1
OG0000745	CBS138_protein	NP_010401.1	XP_445048.1
OG0000746	CBS138_protein	NP_010402.3	XP_445049.1
OG0000746	BG2_protein	NP_010402.3	QNG12383.1
OG0000747	CBS138_protein	NP_010403.3	XP_445050.1
OG0000747	BG2_protein	NP_010403.3	QNG12384.1
OG0000748	BG2_protein	NP_001032575.1	QNG12385.1
OG0000748	CBS138_protein	NP_001032575.1	XP_002999516.1
OG0000749	BG2_protein	NP_010405.3	QNG12386.1
OG0000749	CBS138_protein	NP_010405.3	XP_445051.1
OG0000750	BG2_protein	NP_010406.3	QNG12387.1
OG0000750	CBS138_protein	NP_010406.3	XP_445052.1
OG0000751	BG2_protein	NP_010408.1	QNG12389.1
OG0000751	CBS138_protein	NP_010408.1	XP_445054.1
OG0000752	BG2_protein	NP_010410.3	QNG12390.1
OG0000752	CBS138_protein	NP_010410.3	XP_445055.1
OG0000753	CBS138_protein	NP_010411.1	XP_445056.1
OG0000753	BG2_protein	NP_010411.1	QNG12391.1
OG0000754	CBS138_protein	NP_010413.3	XP_445057.1
OG0000754	BG2_protein	NP_010413.3	QNG12392.1
OG0000755	BG2_protein	NP_010414.3	QNG12393.1
OG0000755	CBS138_protein	NP_010414.3	XP_445058.1
OG0000756	BG2_protein	NP_010415.1	QNG12394.1
OG0000756	CBS138_protein	NP_010415.1	XP_445059.1
OG0000757	CBS138_protein	NP_011740.3	XP_445060.1
OG0000757	BG2_protein	NP_011740.3	QNG12395.1
OG0000758	BG2_protein	NP_011739.1	QNG12396.1
OG0000758	CBS138_protein	NP_011739.1	XP_445061.1
OG0000759	BG2_protein	NP_011738.3	QNG12397.1
OG0000759	CBS138_protein	NP_011738.3	XP_445062.1
OG0000760	CBS138_protein	NP_011736.1	XP_445064.1
OG0000760	BG2_protein	NP_011736.1	QNG12399.1
OG0000761	CBS138_protein	NP_011734.3	XP_445065.1
OG0000761	BG2_protein	NP_011734.3	QNG12400.1
OG0000762	BG2_protein	NP_011733.3	QNG12401.1
OG0000762	CBS138_protein	NP_011733.3	XP_445066.1
OG0000763	BG2_protein	NP_011732.1	QNG12402.1
OG0000763	CBS138_protein	NP_011732.1	XP_445067.1
OG0000764	CBS138_protein	NP_011731.3	XP_445068.1
OG0000764	BG2_protein	NP_011731.3	QNG12403.1
OG0000765	BG2_protein	NP_013594.1	QNG12404.1
OG0000765	CBS138_protein	NP_013594.1	XP_445069.1
OG0000766	BG2_protein	NP_013593.1	QNG12405.1
OG0000766	CBS138_protein	NP_013593.1	XP_445070.1
OG0000767	CBS138_protein	NP_013592.1	XP_445071.1
OG0000767	BG2_protein	NP_013592.1	QNG12406.1
OG0000768	BG2_protein	NP_013589.1	QNG12408.1
OG0000768	CBS138_protein	NP_013589.1	XP_445073.2
OG0000769	BG2_protein	NP_013587.1	QNG12410.1
OG0000769	CBS138_protein	NP_013587.1	XP_445075.1
OG0000770	CBS138_protein	NP_013586.1	XP_445076.1
OG0000770	BG2_protein	NP_013586.1	QNG12411.1
OG0000771	BG2_protein	NP_013585.1	QNG12412.1
